LGA_NAME16	Year	AustCitizen	Sex	persons
Kiama (A)	2011	0		1574
Kiama (A)	2011	1	F	9389
Kiama (A)	2011	1	M	9022
Kiama (A)	2016	0		2278
Kiama (A)	2016	1	F	9750
Kiama (A)	2016	1	M	9436
Ku-ring-gai (A)	2006	0		12848
Ku-ring-gai (A)	2006	1	F	45917
Ku-ring-gai (A)	2006	1	M	42317
Ku-ring-gai (A)	2011	0		15519
Ku-ring-gai (A)	2011	1	F	48885
Ku-ring-gai (A)	2011	1	M	44895
Ku-ring-gai (A)	2016	0		19648
Ku-ring-gai (A)	2016	1	F	50817
Ku-ring-gai (A)	2016	1	M	47588
Kyogle (A)	2006	0		673
Kyogle (A)	2006	1	F	4257
Kyogle (A)	2006	1	M	4327
Kyogle (A)	2011	0		841
Kyogle (A)	2011	1	F	4182
Kyogle (A)	2011	1	M	4204
Kyogle (A)	2016	0		1086
Kyogle (A)	2016	1	F	3892
Kyogle (A)	2016	1	M	3962
Lachlan (A)	2006	0		410
Lachlan (A)	2006	1	F	3103
Lachlan (A)	2006	1	M	3159
Lachlan (A)	2011	0		463
Lachlan (A)	2011	1	F	3001
Lachlan (A)	2011	1	M	3013
Lachlan (A)	2016	0		826
Lachlan (A)	2016	1	F	2694
Lachlan (A)	2016	1	M	2674
Lake Macquarie (C)	2006	0		13606
Lake Macquarie (C)	2006	1	F	86701
Lake Macquarie (C)	2006	1	M	82835
Lake Macquarie (C)	2011	0		13428
Lake Macquarie (C)	2011	1	F	89938
Lake Macquarie (C)	2011	1	M	85639
Lake Macquarie (C)	2016	0		15355
Lake Macquarie (C)	2016	1	F	93157
Lake Macquarie (C)	2016	1	M	88859
Lane Cove (A)	2006	0		5173
Lane Cove (A)	2006	1	F	13018
Lane Cove (A)	2006	1	M	12236
Lane Cove (A)	2011	0		4981
Lane Cove (A)	2011	1	F	13646
Lane Cove (A)	2011	1	M	12883
Lane Cove (A)	2016	0		7139
Lane Cove (A)	2016	1	F	14604
Lane Cove (A)	2016	1	M	14308
Leeton (A)	2006	0		983
Leeton (A)	2006	1	F	5035
Leeton (A)	2006	1	M	5091
Leeton (A)	2011	0		1034
Leeton (A)	2011	1	F	5067
Leeton (A)	2011	1	M	4938
Leeton (A)	2016	0		1481
Leeton (A)	2016	1	F	4890
Leeton (A)	2016	1	M	4797
Lismore (C)	2006	0		3277
Lismore (C)	2006	1	F	20072
Lismore (C)	2006	1	M	18860
Lismore (C)	2011	0		3355
Lismore (C)	2011	1	F	20243
Lismore (C)	2011	1	M	19166
Lismore (C)	2016	0		4797
Lismore (C)	2016	1	F	19717
Lismore (C)	2016	1	M	18621
Lithgow (C)	2006	0		2014
Lithgow (C)	2006	1	F	8889
Lithgow (C)	2006	1	M	8857
Lithgow (C)	2011	0		2115
Lithgow (C)	2011	1	F	8998
Lithgow (C)	2011	1	M	9049
Lithgow (C)	2016	0		3074
Lithgow (C)	2016	1	F	9050
Lithgow (C)	2016	1	M	8966
Liverpool (C)	2006	0		26652
Liverpool (C)	2006	1	F	69305
Liverpool (C)	2006	1	M	68644
Liverpool (C)	2011	0		27896
Liverpool (C)	2011	1	F	76557
Liverpool (C)	2011	1	M	75688
Liverpool (C)	2016	0		35958
Liverpool (C)	2016	1	F	84748
Liverpool (C)	2016	1	M	83620
Liverpool Plains (A)	2006	0		710
Liverpool Plains (A)	2006	1	F	3401
Liverpool Plains (A)	2006	1	M	3426
Liverpool Plains (A)	2011	0		559
Liverpool Plains (A)	2011	1	F	3432
Liverpool Plains (A)	2011	1	M	3488
Liverpool Plains (A)	2016	0		835
Liverpool Plains (A)	2016	1	F	3375
Liverpool Plains (A)	2016	1	M	3477
Lockhart (A)	2006	0		143
Lockhart (A)	2006	1	F	1487
Lockhart (A)	2006	1	M	1552
Lockhart (A)	2011	0		178
Lockhart (A)	2011	1	F	1389
Lockhart (A)	2011	1	M	1429
Lockhart (A)	2016	0		319
Lockhart (A)	2016	1	F	1402
Lockhart (A)	2016	1	M	1398
Maitland (C)	2006	0		4662
Maitland (C)	2006	1	F	29321
Maitland (C)	2006	1	M	27900
Maitland (C)	2011	0		5027
Maitland (C)	2011	1	F	31956
Maitland (C)	2011	1	M	30496
Maitland (C)	2016	0		6496
Maitland (C)	2016	1	F	36249
Maitland (C)	2016	1	M	34560
Mid-Coast (A)	2006	0		6404
Mid-Coast (A)	2006	1	F	38991
Mid-Coast (A)	2006	1	M	37312
Mid-Coast (A)	2011	0		7224
Mid-Coast (A)	2011	1	F	40293
Mid-Coast (A)	2011	1	M	38331
Mid-Coast (A)	2016	0		8745
Mid-Coast (A)	2016	1	F	41697
Mid-Coast (A)	2016	1	M	39861
Mid-Western Regional (A)	2006	0		1776
Mid-Western Regional (A)	2006	1	F	9663
Mid-Western Regional (A)	2006	1	M	9649
Mid-Western Regional (A)	2011	0		2023
Mid-Western Regional (A)	2011	1	F	10150
Mid-Western Regional (A)	2011	1	M	10147
Mid-Western Regional (A)	2016	0		3060
Mid-Western Regional (A)	2016	1	F	10444
Mid-Western Regional (A)	2016	1	M	10572
Moree Plains (A)	2006	0		1649
Moree Plains (A)	2006	1	F	5999
Moree Plains (A)	2006	1	M	6325
Moree Plains (A)	2011	0		1601
Moree Plains (A)	2011	1	F	5819
Moree Plains (A)	2011	1	M	6008
Moree Plains (A)	2016	0		1927
Moree Plains (A)	2016	1	F	5577
Moree Plains (A)	2016	1	M	5655
Mosman (A)	2006	0		5301
Mosman (A)	2006	1	F	11367
Mosman (A)	2006	1	M	9569
Mosman (A)	2011	0		5572
Mosman (A)	2011	1	F	11723
Mosman (A)	2011	1	M	10157
Mosman (A)	2016	0		5815
Mosman (A)	2016	1	F	12205
Mosman (A)	2016	1	M	10455
Murray River (A)	2006	0		907
Murray River (A)	2006	1	F	4861
Murray River (A)	2006	1	M	5014
Murray River (A)	2011	0		858
Murray River (A)	2011	1	F	5004
Murray River (A)	2011	1	M	5056
Murray River (A)	2016	0		1213
Murray River (A)	2016	1	F	5271
Murray River (A)	2016	1	M	5196
Murrumbidgee (A)	2006	0		310
Murrumbidgee (A)	2006	1	F	1832
Murrumbidgee (A)	2006	1	M	2003
Murrumbidgee (A)	2011	0		364
Murrumbidgee (A)	2011	1	F	1603
Murrumbidgee (A)	2011	1	M	1786
Murrumbidgee (A)	2016	0		552
Murrumbidgee (A)	2016	1	F	1549
Murrumbidgee (A)	2016	1	M	1735
Muswellbrook (A)	2006	0		1650
Muswellbrook (A)	2006	1	F	6735
Muswellbrook (A)	2006	1	M	6851
Muswellbrook (A)	2011	0		2007
Muswellbrook (A)	2011	1	F	6815
Muswellbrook (A)	2011	1	M	6971
Muswellbrook (A)	2016	0		2017
Muswellbrook (A)	2016	1	F	6954
Muswellbrook (A)	2016	1	M	7115
Nambucca (A)	2006	0		1507
Nambucca (A)	2006	1	F	8351
Nambucca (A)	2006	1	M	8036
Nambucca (A)	2011	0		1444
Nambucca (A)	2011	1	F	8823
Nambucca (A)	2011	1	M	8376
Nambucca (A)	2016	0		1970
Nambucca (A)	2016	1	F	8805
Nambucca (A)	2016	1	M	8437
Narrabri (A)	2006	0		937
Narrabri (A)	2006	1	F	6055
Narrabri (A)	2006	1	M	6121
Narrabri (A)	2011	0		1017
Narrabri (A)	2011	1	F	5943
Narrabri (A)	2011	1	M	5966
Narrabri (A)	2016	0		1678
Narrabri (A)	2016	1	F	5699
Narrabri (A)	2016	1	M	5707
Narrandera (A)	2006	0		374
Narrandera (A)	2006	1	F	2866
Narrandera (A)	2006	1	M	2771
Narrandera (A)	2011	0		526
Narrandera (A)	2011	1	F	2725
Narrandera (A)	2011	1	M	2649
Narrandera (A)	2016	0		747
Narrandera (A)	2016	1	F	2574
Narrandera (A)	2016	1	M	2532
Narromine (A)	2006	0		438
Narromine (A)	2006	1	F	3061
