LGA_NAME16	Year	Age	persons
Gladstone (R)	2006	55-64	5372
Gladstone (R)	2006	65-74	2617
Gladstone (R)	2006	75-84	1293
Gladstone (R)	2006	85+	381
Gladstone (R)	2011	0-4	4582
Gladstone (R)	2011	5-14	8654
Gladstone (R)	2011	15-19	3956
Gladstone (R)	2011	20-24	3477
Gladstone (R)	2011	25-34	7842
Gladstone (R)	2011	35-44	8887
Gladstone (R)	2011	45-54	8752
Gladstone (R)	2011	55-64	6480
Gladstone (R)	2011	65-74	3364
Gladstone (R)	2011	75-84	1491
Gladstone (R)	2011	85+	419
Gladstone (R)	2016	0-4	4606
Gladstone (R)	2016	5-14	9338
Gladstone (R)	2016	15-19	3803
Gladstone (R)	2016	20-24	3638
Gladstone (R)	2016	25-34	8552
Gladstone (R)	2016	35-44	8849
Gladstone (R)	2016	45-54	9209
Gladstone (R)	2016	55-64	7270
Gladstone (R)	2016	65-74	4150
Gladstone (R)	2016	75-84	1721
Gladstone (R)	2016	85+	509
Gold Coast (C)	2006	0-4	25214
Gold Coast (C)	2006	5-14	54393
Gold Coast (C)	2006	15-19	28478
Gold Coast (C)	2006	20-24	30327
Gold Coast (C)	2006	25-34	59891
Gold Coast (C)	2006	35-44	63303
Gold Coast (C)	2006	45-54	58997
Gold Coast (C)	2006	55-64	51725
Gold Coast (C)	2006	65-74	32068
Gold Coast (C)	2006	75-84	22293
Gold Coast (C)	2006	85+	7268
Gold Coast (C)	2011	0-4	31083
Gold Coast (C)	2011	5-14	60644
Gold Coast (C)	2011	15-19	32022
Gold Coast (C)	2011	20-24	34451
Gold Coast (C)	2011	25-34	68437
Gold Coast (C)	2011	35-44	72020
Gold Coast (C)	2011	45-54	66554
Gold Coast (C)	2011	55-64	57923
Gold Coast (C)	2011	65-74	39723
Gold Coast (C)	2011	75-84	22343
Gold Coast (C)	2011	85+	9300
Gold Coast (C)	2016	0-4	32978
Gold Coast (C)	2016	5-14	67874
Gold Coast (C)	2016	15-19	34146
Gold Coast (C)	2016	20-24	37264
Gold Coast (C)	2016	25-34	76418
Gold Coast (C)	2016	35-44	76569
Gold Coast (C)	2016	45-54	74972
Gold Coast (C)	2016	55-64	64086
Gold Coast (C)	2016	65-74	52921
Gold Coast (C)	2016	75-84	26838
Gold Coast (C)	2016	85+	11643
Goondiwindi (R)	2006	0-4	860
Goondiwindi (R)	2006	5-14	1511
Goondiwindi (R)	2006	15-19	542
Goondiwindi (R)	2006	20-24	508
Goondiwindi (R)	2006	25-34	1353
Goondiwindi (R)	2006	35-44	1454
Goondiwindi (R)	2006	45-54	1420
Goondiwindi (R)	2006	55-64	1090
Goondiwindi (R)	2006	65-74	811
Goondiwindi (R)	2006	75-84	444
Goondiwindi (R)	2006	85+	141
Goondiwindi (R)	2011	0-4	877
Goondiwindi (R)	2011	5-14	1663
Goondiwindi (R)	2011	15-19	580
Goondiwindi (R)	2011	20-24	532
Goondiwindi (R)	2011	25-34	1197
Goondiwindi (R)	2011	35-44	1510
Goondiwindi (R)	2011	45-54	1463
Goondiwindi (R)	2011	55-64	1227
Goondiwindi (R)	2011	65-74	930
Goondiwindi (R)	2011	75-84	495
Goondiwindi (R)	2011	85+	154
Goondiwindi (R)	2016	0-4	733
Goondiwindi (R)	2016	5-14	1537
Goondiwindi (R)	2016	15-19	595
Goondiwindi (R)	2016	20-24	547
Goondiwindi (R)	2016	25-34	1292
Goondiwindi (R)	2016	35-44	1240
Goondiwindi (R)	2016	45-54	1403
Goondiwindi (R)	2016	55-64	1412
Goondiwindi (R)	2016	65-74	1069
Goondiwindi (R)	2016	75-84	591
Goondiwindi (R)	2016	85+	216
Gympie (R)	2006	0-4	2624
Gympie (R)	2006	5-14	6361
Gympie (R)	2006	15-19	2646
Gympie (R)	2006	20-24	1782
Gympie (R)	2006	25-34	3972
Gympie (R)	2006	35-44	5734
Gympie (R)	2006	45-54	6234
Gympie (R)	2006	55-64	6125
Gympie (R)	2006	65-74	3772
Gympie (R)	2006	75-84	2007
Gympie (R)	2006	85+	612
Gympie (R)	2011	0-4	2934
Gympie (R)	2011	5-14	6452
Gympie (R)	2011	15-19	2902
Gympie (R)	2011	20-24	1859
Gympie (R)	2011	25-34	4195
Gympie (R)	2011	35-44	5575
Gympie (R)	2011	45-54	6649
Gympie (R)	2011	55-64	6805
Gympie (R)	2011	65-74	5165
Gympie (R)	2011	75-84	2415
Gympie (R)	2011	85+	809
Gympie (R)	2016	0-4	2638
Gympie (R)	2016	5-14	6417
Gympie (R)	2016	15-19	2817
Gympie (R)	2016	20-24	2171
Gympie (R)	2016	25-34	4459
Gympie (R)	2016	35-44	5210
Gympie (R)	2016	45-54	6976
Gympie (R)	2016	55-64	7719
Gympie (R)	2016	65-74	7007
Gympie (R)	2016	75-84	3108
Gympie (R)	2016	85+	1037
Hinchinbrook (S)	2006	0-4	603
Hinchinbrook (S)	2006	5-14	1743
Hinchinbrook (S)	2006	15-19	783
Hinchinbrook (S)	2006	20-24	373
Hinchinbrook (S)	2006	25-34	981
Hinchinbrook (S)	2006	35-44	1537
Hinchinbrook (S)	2006	45-54	1633
Hinchinbrook (S)	2006	55-64	1550
Hinchinbrook (S)	2006	65-74	1286
Hinchinbrook (S)	2006	75-84	857
Hinchinbrook (S)	2006	85+	209
Hinchinbrook (S)	2011	0-4	594
Hinchinbrook (S)	2011	5-14	1450
Hinchinbrook (S)	2011	15-19	752
Hinchinbrook (S)	2011	20-24	465
Hinchinbrook (S)	2011	25-34	945
Hinchinbrook (S)	2011	35-44	1329
Hinchinbrook (S)	2011	45-54	1769
Hinchinbrook (S)	2011	55-64	1699
Hinchinbrook (S)	2011	65-74	1342
Hinchinbrook (S)	2011	75-84	913
Hinchinbrook (S)	2011	85+	316
Hinchinbrook (S)	2016	0-4	468
Hinchinbrook (S)	2016	5-14	1239
Hinchinbrook (S)	2016	15-19	647
Hinchinbrook (S)	2016	20-24	449
Hinchinbrook (S)	2016	25-34	842
Hinchinbrook (S)	2016	35-44	1053
Hinchinbrook (S)	2016	45-54	1521
Hinchinbrook (S)	2016	55-64	1728
Hinchinbrook (S)	2016	65-74	1518
Hinchinbrook (S)	2016	75-84	994
Hinchinbrook (S)	2016	85+	414
Hope Vale (S)	2006	0-4	81
Hope Vale (S)	2006	5-14	136
Hope Vale (S)	2006	15-19	83
Hope Vale (S)	2006	20-24	64
Hope Vale (S)	2006	25-34	130
Hope Vale (S)	2006	35-44	108
Hope Vale (S)	2006	45-54	83
Hope Vale (S)	2006	55-64	57
Hope Vale (S)	2006	65-74	27
Hope Vale (S)	2006	75-84	9
Hope Vale (S)	2006	85+	0
Hope Vale (S)	2011	0-4	93
Hope Vale (S)	2011	5-14	202
Hope Vale (S)	2011	15-19	85
Hope Vale (S)	2011	20-24	114
Hope Vale (S)	2011	25-34	158
Hope Vale (S)	2011	35-44	134
Hope Vale (S)	2011	45-54	97
Hope Vale (S)	2011	55-64	63
Hope Vale (S)	2011	65-74	19
Hope Vale (S)	2011	75-84	12
Hope Vale (S)	2011	85+	3
Hope Vale (S)	2016	0-4	103
Hope Vale (S)	2016	5-14	157
Hope Vale (S)	2016	15-19	89
Hope Vale (S)	2016	20-24	81
Hope Vale (S)	2016	25-34	139
Hope Vale (S)	2016	35-44	130
Hope Vale (S)	2016	45-54	101
Hope Vale (S)	2016	55-64	69
Hope Vale (S)	2016	65-74	28
Hope Vale (S)	2016	75-84	17
Hope Vale (S)	2016	85+	7
Ipswich (C)	2006	0-4	10882
Ipswich (C)	2006	5-14	22471
Ipswich (C)	2006	15-19	10369
Ipswich (C)	2006	20-24	9928
Ipswich (C)	2006	25-34	19264
Ipswich (C)	2006	35-44	20949
Ipswich (C)	2006	45-54	18179
Ipswich (C)	2006	55-64	13309
Ipswich (C)	2006	65-74	7661
Ipswich (C)	2006	75-84	4555
Ipswich (C)	2006	85+	1544
Ipswich (C)	2011	0-4	14551
Ipswich (C)	2011	5-14	25282
Ipswich (C)	2011	15-19	12518
Ipswich (C)	2011	20-24	12194
Ipswich (C)	2011	25-34	24954
Ipswich (C)	2011	35-44	23995
Ipswich (C)	2011	45-54	21131
Ipswich (C)	2011	55-64	15996
Ipswich (C)	2011	65-74	9480
Ipswich (C)	2011	75-84	5006
Ipswich (C)	2011	85+	1802
Ipswich (C)	2016	0-4	16211
Ipswich (C)	2016	5-14	29717
Ipswich (C)	2016	15-19	13460
Ipswich (C)	2016	20-24	13931
Ipswich (C)	2016	25-34	30018
Ipswich (C)	2016	35-44	26216
Ipswich (C)	2016	45-54	24379
Ipswich (C)	2016	55-64	19058
Ipswich (C)	2016	65-74	12336
Ipswich (C)	2016	75-84	6165
Ipswich (C)	2016	85+	2246
Isaac (R)	2006	0-4	1889
Isaac (R)	2006	5-14	3220
Isaac (R)	2006	15-19	1178
Isaac (R)	2006	20-24	1396
Isaac (R)	2006	25-34	3490
Isaac (R)	2006	35-44	3461
Isaac (R)	2006	45-54	2806
Isaac (R)	2006	55-64	1624
Isaac (R)	2006	65-74	496
Isaac (R)	2006	75-84	219
Isaac (R)	2006	85+	56
Isaac (R)	2011	0-4	2220
Isaac (R)	2011	5-14	3492
Isaac (R)	2011	15-19	1220
Isaac (R)	2011	20-24	1550
Isaac (R)	2011	25-34	4142
Isaac (R)	2011	35-44	3907
Isaac (R)	2011	45-54	3216
Isaac (R)	2011	55-64	1914
Isaac (R)	2011	65-74	622
Isaac (R)	2011	75-84	243
Isaac (R)	2011	85+	67
Isaac (R)	2016	0-4	2034
Isaac (R)	2016	5-14	3270
Isaac (R)	2016	15-19	1020
Isaac (R)	2016	20-24	1273
Isaac (R)	2016	25-34	4014
Isaac (R)	2016	35-44	3470
Isaac (R)	2016	45-54	2783
Isaac (R)	2016	55-64	1948
Isaac (R)	2016	65-74	797
Isaac (R)	2016	75-84	255
Isaac (R)	2016	85+	72
Kowanyama (S)	2006	0-4	103
Kowanyama (S)	2006	5-14	181
Kowanyama (S)	2006	15-19	91
Kowanyama (S)	2006	20-24	75
Kowanyama (S)	2006	25-34	163
Kowanyama (S)	2006	35-44	179
Kowanyama (S)	2006	45-54	107
Kowanyama (S)	2006	55-64	74
Kowanyama (S)	2006	65-74	20
Kowanyama (S)	2006	75-84	17
Kowanyama (S)	2006	85+	0
Kowanyama (S)	2011	0-4	116
Kowanyama (S)	2011	5-14	171
Kowanyama (S)	2011	15-19	87
Kowanyama (S)	2011	20-24	81
Kowanyama (S)	2011	25-34	137
Kowanyama (S)	2011	35-44	190
Kowanyama (S)	2011	45-54	119
Kowanyama (S)	2011	55-64	95
Kowanyama (S)	2011	65-74	25
Kowanyama (S)	2011	75-84	3
Kowanyama (S)	2011	85+	6
Kowanyama (S)	2016	0-4	87
Kowanyama (S)	2016	5-14	167
Kowanyama (S)	2016	15-19	69
Kowanyama (S)	2016	20-24	82
Kowanyama (S)	2016	25-34	154
Kowanyama (S)	2016	35-44	133
Kowanyama (S)	2016	45-54	119
Kowanyama (S)	2016	55-64	95
Kowanyama (S)	2016	65-74	35
Kowanyama (S)	2016	75-84	5
Kowanyama (S)	2016	85+	7
Livingstone (S)	2006	0-4	1621
Livingstone (S)	2006	5-14	4504
Livingstone (S)	2006	15-19	2110
Livingstone (S)	2006	20-24	1303
Livingstone (S)	2006	25-34	2810
Livingstone (S)	2006	35-44	4263
Livingstone (S)	2006	45-54	4603
Livingstone (S)	2006	55-64	3752
Livingstone (S)	2006	65-74	2366
Livingstone (S)	2006	75-84	1198
Livingstone (S)	2006	85+	340
Livingstone (S)	2011	0-4	1900
Livingstone (S)	2011	5-14	4589
Livingstone (S)	2011	15-19	2415
Livingstone (S)	2011	20-24	1510
Livingstone (S)	2011	25-34	3222
Livingstone (S)	2011	35-44	4366
Livingstone (S)	2011	45-54	5152
Livingstone (S)	2011	55-64	4597
Livingstone (S)	2011	65-74	2889
Livingstone (S)	2011	75-84	1445
Livingstone (S)	2011	85+	478
Livingstone (S)	2016	0-4	2035
Livingstone (S)	2016	5-14	4815
Livingstone (S)	2016	15-19	2345
Livingstone (S)	2016	20-24	1833
Livingstone (S)	2016	25-34	3717
Livingstone (S)	2016	35-44	4481
Livingstone (S)	2016	45-54	5354
Livingstone (S)	2016	55-64	5298
Livingstone (S)	2016	65-74	3828
Livingstone (S)	2016	75-84	1868
Livingstone (S)	2016	85+	694
Lockhart River (S)	2006	0-4	76
Lockhart River (S)	2006	5-14	98
Lockhart River (S)	2006	15-19	55
Lockhart River (S)	2006	20-24	45
Lockhart River (S)	2006	25-34	90
Lockhart River (S)	2006	35-44	80
Lockhart River (S)	2006	45-54	63
Lockhart River (S)	2006	55-64	39
Lockhart River (S)	2006	65-74	8
Lockhart River (S)	2006	75-84	7
Lockhart River (S)	2006	85+	0
Lockhart River (S)	2011	0-4	48
Lockhart River (S)	2011	5-14	81
Lockhart River (S)	2011	15-19	50
Lockhart River (S)	2011	20-24	56
Lockhart River (S)	2011	25-34	75
Lockhart River (S)	2011	35-44	68
Lockhart River (S)	2011	45-54	48
Lockhart River (S)	2011	55-64	32
Lockhart River (S)	2011	65-74	18
Lockhart River (S)	2011	75-84	3
Lockhart River (S)	2011	85+	0
Lockhart River (S)	2016	0-4	83
Lockhart River (S)	2016	5-14	141
Lockhart River (S)	2016	15-19	62
Lockhart River (S)	2016	20-24	62
Lockhart River (S)	2016	25-34	110
Lockhart River (S)	2016	35-44	87
Lockhart River (S)	2016	45-54	85
Lockhart River (S)	2016	55-64	54
Lockhart River (S)	2016	65-74	26
Lockhart River (S)	2016	75-84	10
Lockhart River (S)	2016	85+	0
Lockyer Valley (R)	2006	0-4	1939
Lockyer Valley (R)	2006	5-14	4929
Lockyer Valley (R)	2006	15-19	2229
Lockyer Valley (R)	2006	20-24	1577
Lockyer Valley (R)	2006	25-34	3080
Lockyer Valley (R)	2006	35-44	4463
Lockyer Valley (R)	2006	45-54	4278
Lockyer Valley (R)	2006	55-64	3893
Lockyer Valley (R)	2006	65-74	2263
Lockyer Valley (R)	2006	75-84	1135
Lockyer Valley (R)	2006	85+	330
Lockyer Valley (R)	2011	0-4	2428
Lockyer Valley (R)	2011	5-14	5297
Lockyer Valley (R)	2011	15-19	2643
Lockyer Valley (R)	2011	20-24	2128
Lockyer Valley (R)	2011	25-34	3877
Lockyer Valley (R)	2011	35-44	4575
Lockyer Valley (R)	2011	45-54	4982
Lockyer Valley (R)	2011	55-64	4276
Lockyer Valley (R)	2011	65-74	2953
Lockyer Valley (R)	2011	75-84	1336
Lockyer Valley (R)	2011	85+	463
Lockyer Valley (R)	2016	0-4	2324
Lockyer Valley (R)	2016	5-14	5219
Lockyer Valley (R)	2016	15-19	2721
Lockyer Valley (R)	2016	20-24	2599
Lockyer Valley (R)	2016	25-34	4650
Lockyer Valley (R)	2016	35-44	4595
Lockyer Valley (R)	2016	45-54	5435
Lockyer Valley (R)	2016	55-64	4809
Lockyer Valley (R)	2016	65-74	3945
Lockyer Valley (R)	2016	75-84	1717
Lockyer Valley (R)	2016	85+	587
Logan (C)	2006	0-4	19110
Logan (C)	2006	5-14	41302
Logan (C)	2006	15-19	20174
Logan (C)	2006	20-24	17796
Logan (C)	2006	25-34	34604
Logan (C)	2006	35-44	37263
Logan (C)	2006	45-54	34550
Logan (C)	2006	55-64	26506
Logan (C)	2006	65-74	11845
Logan (C)	2006	75-84	5925
Logan (C)	2006	85+	1795
Logan (C)	2011	0-4	22692
Logan (C)	2011	5-14	41941
Logan (C)	2011	15-19	21664
Logan (C)	2011	20-24	19549
Logan (C)	2011	25-34	38866
Logan (C)	2011	35-44	39955
Logan (C)	2011	45-54	36521
Logan (C)	2011	55-64	30570
Logan (C)	2011	65-74	16620
Logan (C)	2011	75-84	7175
Logan (C)	2011	85+	2501
Logan (C)	2016	0-4	23109
Logan (C)	2016	5-14	45424
Logan (C)	2016	15-19	21444
Logan (C)	2016	20-24	21029
Logan (C)	2016	25-34	42713
Logan (C)	2016	35-44	41352
Logan (C)	2016	45-54	38980
Logan (C)	2016	55-64	32961
Logan (C)	2016	65-74	23460
Logan (C)	2016	75-84	9550
Logan (C)	2016	85+	3357
Longreach (R)	2006	0-4	304
Longreach (R)	2006	5-14	640
Longreach (R)	2006	15-19	260
Longreach (R)	2006	20-24	314
Longreach (R)	2006	25-34	537
Longreach (R)	2006	35-44	607
Longreach (R)	2006	45-54	547
Longreach (R)	2006	55-64	355
Longreach (R)	2006	65-74	246
Longreach (R)	2006	75-84	191
Longreach (R)	2006	85+	61
Longreach (R)	2011	0-4	343
Longreach (R)	2011	5-14	689
Longreach (R)	2011	15-19	228
Longreach (R)	2011	20-24	252
Longreach (R)	2011	25-34	606
Longreach (R)	2011	35-44	567
Longreach (R)	2011	45-54	578
Longreach (R)	2011	55-64	452
Longreach (R)	2011	65-74	217
Longreach (R)	2011	75-84	193
Longreach (R)	2011	85+	65
Longreach (R)	2016	0-4	226
Longreach (R)	2016	5-14	473
Longreach (R)	2016	15-19	247
Longreach (R)	2016	20-24	223
Longreach (R)	2016	25-34	445
Longreach (R)	2016	35-44	420
Longreach (R)	2016	45-54	520
Longreach (R)	2016	55-64	527
Longreach (R)	2016	65-74	317
Longreach (R)	2016	75-84	182
Longreach (R)	2016	85+	76
Mackay (R)	2006	0-4	6910
Mackay (R)	2006	5-14	15440
Mackay (R)	2006	15-19	6990
Mackay (R)	2006	20-24	6339
Mackay (R)	2006	25-34	13210
Mackay (R)	2006	35-44	15829
Mackay (R)	2006	45-54	15015
Mackay (R)	2006	55-64	10538
Mackay (R)	2006	65-74	6025
Mackay (R)	2006	75-84	3606
Mackay (R)	2006	85+	1120
Mackay (R)	2011	0-4	8130
Mackay (R)	2011	5-14	15833
Mackay (R)	2011	15-19	7750
Mackay (R)	2011	20-24	7274
Mackay (R)	2011	25-34	15731
Mackay (R)	2011	35-44	16600
Mackay (R)	2011	45-54	17025
Mackay (R)	2011	55-64	12344
Mackay (R)	2011	65-74	6992
Mackay (R)	2011	75-84	3839
Mackay (R)	2011	85+	1279
Mackay (R)	2016	0-4	7757
Mackay (R)	2016	5-14	16012
Mackay (R)	2016	15-19	7264
Mackay (R)	2016	20-24	6700
Mackay (R)	2016	25-34	15483
Mackay (R)	2016	35-44	15281
Mackay (R)	2016	45-54	16946
Mackay (R)	2016	55-64	14415
Mackay (R)	2016	65-74	8952
Mackay (R)	2016	75-84	4517
Mackay (R)	2016	85+	1645
McKinlay (S)	2006	0-4	67
McKinlay (S)	2006	5-14	107
McKinlay (S)	2006	15-19	35
McKinlay (S)	2006	20-24	76
McKinlay (S)	2006	25-34	152
McKinlay (S)	2006	35-44	131
McKinlay (S)	2006	45-54	141
McKinlay (S)	2006	55-64	100
McKinlay (S)	2006	65-74	41
McKinlay (S)	2006	75-84	26
McKinlay (S)	2006	85+	11
McKinlay (S)	2011	0-4	76
McKinlay (S)	2011	5-14	89
McKinlay (S)	2011	15-19	58
McKinlay (S)	2011	20-24	101
McKinlay (S)	2011	25-34	208
McKinlay (S)	2011	35-44	148
McKinlay (S)	2011	45-54	128
McKinlay (S)	2011	55-64	140
McKinlay (S)	2011	65-74	64
McKinlay (S)	2011	75-84	27
McKinlay (S)	2011	85+	7
McKinlay (S)	2016	0-4	58
McKinlay (S)	2016	5-14	79
McKinlay (S)	2016	15-19	21
McKinlay (S)	2016	20-24	50
McKinlay (S)	2016	25-34	124
McKinlay (S)	2016	35-44	130
McKinlay (S)	2016	45-54	118
McKinlay (S)	2016	55-64	123
McKinlay (S)	2016	65-74	72
McKinlay (S)	2016	75-84	25
McKinlay (S)	2016	85+	9
Mapoon (S)	2006	0-4	28
Mapoon (S)	2006	5-14	36
Mapoon (S)	2006	15-19	18
Mapoon (S)	2006	20-24	17
Mapoon (S)	2006	25-34	37
Mapoon (S)	2006	35-44	32
Mapoon (S)	2006	45-54	39
Mapoon (S)	2006	55-64	16
Mapoon (S)	2006	65-74	12
Mapoon (S)	2006	75-84	9
Mapoon (S)	2006	85+	0
Mapoon (S)	2011	0-4	22
Mapoon (S)	2011	5-14	43
Mapoon (S)	2011	15-19	24
Mapoon (S)	2011	20-24	19
Mapoon (S)	2011	25-34	38
Mapoon (S)	2011	35-44	39
Mapoon (S)	2011	45-54	47
Mapoon (S)	2011	55-64	22
Mapoon (S)	2011	65-74	11
Mapoon (S)	2011	75-84	3
Mapoon (S)	2011	85+	5
Mapoon (S)	2016	0-4	38
Mapoon (S)	2016	5-14	47
Mapoon (S)	2016	15-19	22
Mapoon (S)	2016	20-24	33
Mapoon (S)	2016	25-34	43
Mapoon (S)	2016	35-44	28
Mapoon (S)	2016	45-54	33
Mapoon (S)	2016	55-64	44
Mapoon (S)	2016	65-74	12
Mapoon (S)	2016	75-84	5
Mapoon (S)	2016	85+	0
Maranoa (R)	2006	0-4	935
Maranoa (R)	2006	5-14	1953
Maranoa (R)	2006	15-19	719
Maranoa (R)	2006	20-24	774
Maranoa (R)	2006	25-34	1651
Maranoa (R)	2006	35-44	1804
Maranoa (R)	2006	45-54	1649
Maranoa (R)	2006	55-64	1324
Maranoa (R)	2006	65-74	842
Maranoa (R)	2006	75-84	496
Maranoa (R)	2006	85+	142
Maranoa (R)	2011	0-4	1071
Maranoa (R)	2011	5-14	1900
Maranoa (R)	2011	15-19	793
Maranoa (R)	2011	20-24	780
Maranoa (R)	2011	25-34	1821
Maranoa (R)	2011	35-44	1834
Maranoa (R)	2011	45-54	1814
Maranoa (R)	2011	55-64	1448
Maranoa (R)	2011	65-74	946
Maranoa (R)	2011	75-84	519
Maranoa (R)	2011	85+	155
Maranoa (R)	2016	0-4	996
Maranoa (R)	2016	5-14	1762
Maranoa (R)	2016	15-19	693
Maranoa (R)	2016	20-24	729
Maranoa (R)	2016	25-34	1858
Maranoa (R)	2016	35-44	1614
Maranoa (R)	2016	45-54	1683
Maranoa (R)	2016	55-64	1492
Maranoa (R)	2016	65-74	1027
Maranoa (R)	2016	75-84	589
Maranoa (R)	2016	85+	225
Mareeba (S)	2006	0-4	1132
Mareeba (S)	2006	5-14	2677
Mareeba (S)	2006	15-19	1046
Mareeba (S)	2006	20-24	785
Mareeba (S)	2006	25-34	2015
Mareeba (S)	2006	35-44	2746
Mareeba (S)	2006	45-54	2751
Mareeba (S)	2006	55-64	2525
Mareeba (S)	2006	65-74	1539
Mareeba (S)	2006	75-84	794
Mareeba (S)	2006	85+	207
Mareeba (S)	2011	0-4	1234
Mareeba (S)	2011	5-14	2788
Mareeba (S)	2011	15-19	1288
Mareeba (S)	2011	20-24	959
Mareeba (S)	2011	25-34	1967
Mareeba (S)	2011	35-44	2815
Mareeba (S)	2011	45-54	2936
Mareeba (S)	2011	55-64	2779
Mareeba (S)	2011	65-74	2021
Mareeba (S)	2011	75-84	976
Mareeba (S)	2011	85+	252
Mareeba (S)	2016	0-4	1064
Mareeba (S)	2016	5-14	2812
Mareeba (S)	2016	15-19	1228
Mareeba (S)	2016	20-24	1128
Mareeba (S)	2016	25-34	2339
Mareeba (S)	2016	35-44	2635
Mareeba (S)	2016	45-54	3100
Mareeba (S)	2016	55-64	3117
Mareeba (S)	2016	65-74	2489
Mareeba (S)	2016	75-84	1267
Mareeba (S)	2016	85+	379
Moreton Bay (R)	2006	0-4	22788
Moreton Bay (R)	2006	5-14	50308
Moreton Bay (R)	2006	15-19	23210
Moreton Bay (R)	2006	20-24	18198
Moreton Bay (R)	2006	25-34	39655
Moreton Bay (R)	2006	35-44	49083
Moreton Bay (R)	2006	45-54	44655
Moreton Bay (R)	2006	55-64	38009
Moreton Bay (R)	2006	65-74	21398
Moreton Bay (R)	2006	75-84	13209
Moreton Bay (R)	2006	85+	4280
Moreton Bay (R)	2011	0-4	28198
Moreton Bay (R)	2011	5-14	54759
Moreton Bay (R)	2011	15-19	27016
Moreton Bay (R)	2011	20-24	22207
Moreton Bay (R)	2011	25-34	45747
Moreton Bay (R)	2011	35-44	55775
Moreton Bay (R)	2011	45-54	50990
Moreton Bay (R)	2011	55-64	44248
Moreton Bay (R)	2011	65-74	28784
Moreton Bay (R)	2011	75-84	14739
Moreton Bay (R)	2011	85+	5577
Moreton Bay (R)	2016	0-4	28417
Moreton Bay (R)	2016	5-14	60716
Moreton Bay (R)	2016	15-19	27602
Moreton Bay (R)	2016	20-24	25704
Moreton Bay (R)	2016	25-34	52002
Moreton Bay (R)	2016	35-44	57623
Moreton Bay (R)	2016	45-54	57823
Moreton Bay (R)	2016	55-64	49090
Moreton Bay (R)	2016	65-74	40430
Moreton Bay (R)	2016	75-84	18548
Moreton Bay (R)	2016	85+	7364
Mornington (S)	2006	0-4	150
Mornington (S)	2006	5-14	179
Mornington (S)	2006	15-19	58
Mornington (S)	2006	20-24	86
Mornington (S)	2006	25-34	171
Mornington (S)	2006	35-44	157
Mornington (S)	2006	45-54	106
Mornington (S)	2006	55-64	79
Mornington (S)	2006	65-74	39
Mornington (S)	2006	75-84	11
Mornington (S)	2006	85+	6
Mornington (S)	2011	0-4	135
Mornington (S)	2011	5-14	270
Mornington (S)	2011	15-19	78
Mornington (S)	2011	20-24	63
Mornington (S)	2011	25-34	169
Mornington (S)	2011	35-44	141
Mornington (S)	2011	45-54	143
Mornington (S)	2011	55-64	88
Mornington (S)	2011	65-74	41
Mornington (S)	2011	75-84	9
Mornington (S)	2011	85+	3
Mornington (S)	2016	0-4	95
Mornington (S)	2016	5-14	251
Mornington (S)	2016	15-19	105
Mornington (S)	2016	20-24	83
Mornington (S)	2016	25-34	182
Mornington (S)	2016	35-44	146
Mornington (S)	2016	45-54	134
Mornington (S)	2016	55-64	77
Mornington (S)	2016	65-74	47
Mornington (S)	2016	75-84	17
Mornington (S)	2016	85+	0
Mount Isa (C)	2006	0-4	1839
Mount Isa (C)	2006	5-14	3354
Mount Isa (C)	2006	15-19	1325
Mount Isa (C)	2006	20-24	1597
Mount Isa (C)	2006	25-34	3426
Mount Isa (C)	2006	35-44	3007
Mount Isa (C)	2006	45-54	2392
Mount Isa (C)	2006	55-64	1619
Mount Isa (C)	2006	65-74	701
Mount Isa (C)	2006	75-84	330
Mount Isa (C)	2006	85+	81
Mount Isa (C)	2011	0-4	1924
Mount Isa (C)	2011	5-14	3194
Mount Isa (C)	2011	15-19	1396
Mount Isa (C)	2011	20-24	1724
Mount Isa (C)	2011	25-34	3915
Mount Isa (C)	2011	35-44	3204
Mount Isa (C)	2011	45-54	2831
Mount Isa (C)	2011	55-64	1748
Mount Isa (C)	2011	65-74	860
Mount Isa (C)	2011	75-84	375
Mount Isa (C)	2011	85+	71
Mount Isa (C)	2016	0-4	1712
Mount Isa (C)	2016	5-14	2763
Mount Isa (C)	2016	15-19	1118
Mount Isa (C)	2016	20-24	1398
Mount Isa (C)	2016	25-34	3526
Mount Isa (C)	2016	35-44	2596
Mount Isa (C)	2016	45-54	2532
Mount Isa (C)	2016	55-64	1708
Mount Isa (C)	2016	65-74	902
Mount Isa (C)	2016	75-84	335
Mount Isa (C)	2016	85+	80
Murweh (S)	2006	0-4	349
Murweh (S)	2006	5-14	723
Murweh (S)	2006	15-19	265
Murweh (S)	2006	20-24	256
Murweh (S)	2006	25-34	583
Murweh (S)	2006	35-44	721
Murweh (S)	2006	45-54	634
Murweh (S)	2006	55-64	440
Murweh (S)	2006	65-74	311
Murweh (S)	2006	75-84	214
Murweh (S)	2006	85+	82
Murweh (S)	2011	0-4	358
Murweh (S)	2011	5-14	658
Murweh (S)	2011	15-19	298
Murweh (S)	2011	20-24	255
Murweh (S)	2011	25-34	578
Murweh (S)	2011	35-44	614
Murweh (S)	2011	45-54	654
Murweh (S)	2011	55-64	527
Murweh (S)	2011	65-74	371
Murweh (S)	2011	75-84	218
Murweh (S)	2011	85+	74
Murweh (S)	2016	0-4	333
Murweh (S)	2016	5-14	570
Murweh (S)	2016	15-19	224
Murweh (S)	2016	20-24	267
