LGA_NAME16	Year	NonSchoolQualification	persons
Playford (C)	2016	Certificate III and IV Level	13483
Playford (C)	2016	Advanced Diploma and Diploma	4339
Playford (C)	2016	Bachelor	3372
Playford (C)	2016	Graduate Diploma and Graduate Certificate	416
Playford (C)	2016	Postgraduate	559
Port Adelaide Enfield (C)	2006		75107
Port Adelaide Enfield (C)	2006	Certificate nfd	1290
Port Adelaide Enfield (C)	2006	Certificate I and II Level	972
Port Adelaide Enfield (C)	2006	Certificate III and IV Level	11557
Port Adelaide Enfield (C)	2006	Advanced Diploma and Diploma	4653
Port Adelaide Enfield (C)	2006	Bachelor	7151
Port Adelaide Enfield (C)	2006	Graduate Diploma and Graduate Certificate	918
Port Adelaide Enfield (C)	2006	Postgraduate	1281
Port Adelaide Enfield (C)	2011		75773
Port Adelaide Enfield (C)	2011	Certificate nfd	1273
Port Adelaide Enfield (C)	2011	Certificate I and II Level	1212
Port Adelaide Enfield (C)	2011	Certificate III and IV Level	13372
Port Adelaide Enfield (C)	2011	Advanced Diploma and Diploma	6390
Port Adelaide Enfield (C)	2011	Bachelor	10727
Port Adelaide Enfield (C)	2011	Graduate Diploma and Graduate Certificate	1235
Port Adelaide Enfield (C)	2011	Postgraduate	2834
Port Adelaide Enfield (C)	2016		75290
Port Adelaide Enfield (C)	2016	Certificate nfd	1716
Port Adelaide Enfield (C)	2016	Certificate I and II Level	1325
Port Adelaide Enfield (C)	2016	Certificate III and IV Level	14848
Port Adelaide Enfield (C)	2016	Advanced Diploma and Diploma	8075
Port Adelaide Enfield (C)	2016	Bachelor	13984
Port Adelaide Enfield (C)	2016	Graduate Diploma and Graduate Certificate	1653
Port Adelaide Enfield (C)	2016	Postgraduate	4339
Port Augusta (C)	2006		10676
Port Augusta (C)	2006	Certificate nfd	161
Port Augusta (C)	2006	Certificate I and II Level	168
Port Augusta (C)	2006	Certificate III and IV Level	1794
Port Augusta (C)	2006	Advanced Diploma and Diploma	441
Port Augusta (C)	2006	Bachelor	502
Port Augusta (C)	2006	Graduate Diploma and Graduate Certificate	88
Port Augusta (C)	2006	Postgraduate	45
Port Augusta (C)	2011		10481
Port Augusta (C)	2011	Certificate nfd	135
Port Augusta (C)	2011	Certificate I and II Level	181
Port Augusta (C)	2011	Certificate III and IV Level	1938
Port Augusta (C)	2011	Advanced Diploma and Diploma	488
Port Augusta (C)	2011	Bachelor	583
Port Augusta (C)	2011	Graduate Diploma and Graduate Certificate	100
Port Augusta (C)	2011	Postgraduate	80
Port Augusta (C)	2016		9861
Port Augusta (C)	2016	Certificate nfd	184
Port Augusta (C)	2016	Certificate I and II Level	205
Port Augusta (C)	2016	Certificate III and IV Level	2100
Port Augusta (C)	2016	Advanced Diploma and Diploma	572
Port Augusta (C)	2016	Bachelor	656
Port Augusta (C)	2016	Graduate Diploma and Graduate Certificate	121
Port Augusta (C)	2016	Postgraduate	109
Port Lincoln (C)	2006		10205
Port Lincoln (C)	2006	Certificate nfd	178
Port Lincoln (C)	2006	Certificate I and II Level	231
Port Lincoln (C)	2006	Certificate III and IV Level	1710
Port Lincoln (C)	2006	Advanced Diploma and Diploma	497
Port Lincoln (C)	2006	Bachelor	618
Port Lincoln (C)	2006	Graduate Diploma and Graduate Certificate	83
Port Lincoln (C)	2006	Postgraduate	82
Port Lincoln (C)	2011		9948
Port Lincoln (C)	2011	Certificate nfd	184
Port Lincoln (C)	2011	Certificate I and II Level	258
Port Lincoln (C)	2011	Certificate III and IV Level	2076
Port Lincoln (C)	2011	Advanced Diploma and Diploma	648
Port Lincoln (C)	2011	Bachelor	779
Port Lincoln (C)	2011	Graduate Diploma and Graduate Certificate	96
Port Lincoln (C)	2011	Postgraduate	97
Port Lincoln (C)	2016		9444
Port Lincoln (C)	2016	Certificate nfd	229
Port Lincoln (C)	2016	Certificate I and II Level	219
Port Lincoln (C)	2016	Certificate III and IV Level	2303
Port Lincoln (C)	2016	Advanced Diploma and Diploma	722
Port Lincoln (C)	2016	Bachelor	883
Port Lincoln (C)	2016	Graduate Diploma and Graduate Certificate	149
Port Lincoln (C)	2016	Postgraduate	115
Port Pirie City and Dists (M)	2006		13595
Port Pirie City and Dists (M)	2006	Certificate nfd	169
Port Pirie City and Dists (M)	2006	Certificate I and II Level	197
Port Pirie City and Dists (M)	2006	Certificate III and IV Level	1980
Port Pirie City and Dists (M)	2006	Advanced Diploma and Diploma	488
Port Pirie City and Dists (M)	2006	Bachelor	583
Port Pirie City and Dists (M)	2006	Graduate Diploma and Graduate Certificate	75
Port Pirie City and Dists (M)	2006	Postgraduate	52
Port Pirie City and Dists (M)	2011		13096
Port Pirie City and Dists (M)	2011	Certificate nfd	192
Port Pirie City and Dists (M)	2011	Certificate I and II Level	261
Port Pirie City and Dists (M)	2011	Certificate III and IV Level	2349
Port Pirie City and Dists (M)	2011	Advanced Diploma and Diploma	586
Port Pirie City and Dists (M)	2011	Bachelor	688
Port Pirie City and Dists (M)	2011	Graduate Diploma and Graduate Certificate	93
Port Pirie City and Dists (M)	2011	Postgraduate	67
Port Pirie City and Dists (M)	2016		12317
Port Pirie City and Dists (M)	2016	Certificate nfd	236
Port Pirie City and Dists (M)	2016	Certificate I and II Level	258
Port Pirie City and Dists (M)	2016	Certificate III and IV Level	2766
Port Pirie City and Dists (M)	2016	Advanced Diploma and Diploma	769
Port Pirie City and Dists (M)	2016	Bachelor	788
Port Pirie City and Dists (M)	2016	Graduate Diploma and Graduate Certificate	125
Port Pirie City and Dists (M)	2016	Postgraduate	105
Prospect (C)	2006		11766
Prospect (C)	2006	Certificate nfd	279
Prospect (C)	2006	Certificate I and II Level	160
Prospect (C)	2006	Certificate III and IV Level	1796
Prospect (C)	2006	Advanced Diploma and Diploma	1307
Prospect (C)	2006	Bachelor	2934
Prospect (C)	2006	Graduate Diploma and Graduate Certificate	388
Prospect (C)	2006	Postgraduate	663
Prospect (C)	2011		11330
Prospect (C)	2011	Certificate nfd	236
Prospect (C)	2011	Certificate I and II Level	147
Prospect (C)	2011	Certificate III and IV Level	1927
Prospect (C)	2011	Advanced Diploma and Diploma	1421
Prospect (C)	2011	Bachelor	3394
Prospect (C)	2011	Graduate Diploma and Graduate Certificate	478
Prospect (C)	2011	Postgraduate	1022
Prospect (C)	2016		10863
Prospect (C)	2016	Certificate nfd	257
Prospect (C)	2016	Certificate I and II Level	141
Prospect (C)	2016	Certificate III and IV Level	1997
Prospect (C)	2016	Advanced Diploma and Diploma	1581
Prospect (C)	2016	Bachelor	3869
Prospect (C)	2016	Graduate Diploma and Graduate Certificate	561
Prospect (C)	2016	Postgraduate	1258
Renmark Paringa (DC)	2006		7629
Renmark Paringa (DC)	2006	Certificate nfd	90
Renmark Paringa (DC)	2006	Certificate I and II Level	77
Renmark Paringa (DC)	2006	Certificate III and IV Level	948
Renmark Paringa (DC)	2006	Advanced Diploma and Diploma	334
Renmark Paringa (DC)	2006	Bachelor	312
Renmark Paringa (DC)	2006	Graduate Diploma and Graduate Certificate	35
Renmark Paringa (DC)	2006	Postgraduate	27
Renmark Paringa (DC)	2011		7037
Renmark Paringa (DC)	2011	Certificate nfd	82
Renmark Paringa (DC)	2011	Certificate I and II Level	101
Renmark Paringa (DC)	2011	Certificate III and IV Level	1157
Renmark Paringa (DC)	2011	Advanced Diploma and Diploma	402
Renmark Paringa (DC)	2011	Bachelor	358
Renmark Paringa (DC)	2011	Graduate Diploma and Graduate Certificate	56
Renmark Paringa (DC)	2011	Postgraduate	51
Renmark Paringa (DC)	2016		6765
Renmark Paringa (DC)	2016	Certificate nfd	173
Renmark Paringa (DC)	2016	Certificate I and II Level	94
Renmark Paringa (DC)	2016	Certificate III and IV Level	1319
Renmark Paringa (DC)	2016	Advanced Diploma and Diploma	527
Renmark Paringa (DC)	2016	Bachelor	460
Renmark Paringa (DC)	2016	Graduate Diploma and Graduate Certificate	72
Renmark Paringa (DC)	2016	Postgraduate	65
Robe (DC)	2006		1364
Robe (DC)	2006	Certificate nfd	20
Robe (DC)	2006	Certificate I and II Level	9
Robe (DC)	2006	Certificate III and IV Level	169
Robe (DC)	2006	Advanced Diploma and Diploma	63
Robe (DC)	2006	Bachelor	63
Robe (DC)	2006	Graduate Diploma and Graduate Certificate	10
Robe (DC)	2006	Postgraduate	4
Robe (DC)	2011		966
Robe (DC)	2011	Certificate nfd	23
Robe (DC)	2011	Certificate I and II Level	18
Robe (DC)	2011	Certificate III and IV Level	203
Robe (DC)	2011	Advanced Diploma and Diploma	72
Robe (DC)	2011	Bachelor	93
Robe (DC)	2011	Graduate Diploma and Graduate Certificate	12
Robe (DC)	2011	Postgraduate	11
Robe (DC)	2016		825
Robe (DC)	2016	Certificate nfd	33
Robe (DC)	2016	Certificate I and II Level	21
Robe (DC)	2016	Certificate III and IV Level	255
Robe (DC)	2016	Advanced Diploma and Diploma	98
Robe (DC)	2016	Bachelor	107
Robe (DC)	2016	Graduate Diploma and Graduate Certificate	24
Robe (DC)	2016	Postgraduate	15
Roxby Downs (M)	2006		2737
Roxby Downs (M)	2006	Certificate nfd	46
Roxby Downs (M)	2006	Certificate I and II Level	47
Roxby Downs (M)	2006	Certificate III and IV Level	673
Roxby Downs (M)	2006	Advanced Diploma and Diploma	147
Roxby Downs (M)	2006	Bachelor	338
Roxby Downs (M)	2006	Graduate Diploma and Graduate Certificate	30
Roxby Downs (M)	2006	Postgraduate	38
Roxby Downs (M)	2011		2951
Roxby Downs (M)	2011	Certificate nfd	30
Roxby Downs (M)	2011	Certificate I and II Level	50
Roxby Downs (M)	2011	Certificate III and IV Level	989
Roxby Downs (M)	2011	Advanced Diploma and Diploma	207
Roxby Downs (M)	2011	Bachelor	365
Roxby Downs (M)	2011	Graduate Diploma and Graduate Certificate	43
Roxby Downs (M)	2011	Postgraduate	67
Roxby Downs (M)	2016		2363
Roxby Downs (M)	2016	Certificate nfd	57
Roxby Downs (M)	2016	Certificate I and II Level	54
Roxby Downs (M)	2016	Certificate III and IV Level	842
Roxby Downs (M)	2016	Advanced Diploma and Diploma	174
Roxby Downs (M)	2016	Bachelor	294
Roxby Downs (M)	2016	Graduate Diploma and Graduate Certificate	38
Roxby Downs (M)	2016	Postgraduate	62
Salisbury (C)	2006		90466
Salisbury (C)	2006	Certificate nfd	1480
Salisbury (C)	2006	Certificate I and II Level	1408
Salisbury (C)	2006	Certificate III and IV Level	14718
Salisbury (C)	2006	Advanced Diploma and Diploma	4454
Salisbury (C)	2006	Bachelor	4786
Salisbury (C)	2006	Graduate Diploma and Graduate Certificate	498
Salisbury (C)	2006	Postgraduate	614
Salisbury (C)	2011		92802
Salisbury (C)	2011	Certificate nfd	1668
Salisbury (C)	2011	Certificate I and II Level	1743
Salisbury (C)	2011	Certificate III and IV Level	17623
Salisbury (C)	2011	Advanced Diploma and Diploma	5885
Salisbury (C)	2011	Bachelor	7206
Salisbury (C)	2011	Graduate Diploma and Graduate Certificate	728
Salisbury (C)	2011	Postgraduate	1453
Salisbury (C)	2016		93179
Salisbury (C)	2016	Certificate nfd	2074
Salisbury (C)	2016	Certificate I and II Level	1864
Salisbury (C)	2016	Certificate III and IV Level	20208
Salisbury (C)	2016	Advanced Diploma and Diploma	7771
Salisbury (C)	2016	Bachelor	9312
Salisbury (C)	2016	Graduate Diploma and Graduate Certificate	987
Salisbury (C)	2016	Postgraduate	2584
Southern Mallee (DC)	2006		1680
Southern Mallee (DC)	2006	Certificate nfd	25
Southern Mallee (DC)	2006	Certificate I and II Level	14
Southern Mallee (DC)	2006	Certificate III and IV Level	212
Southern Mallee (DC)	2006	Advanced Diploma and Diploma	98
Southern Mallee (DC)	2006	Bachelor	92
Southern Mallee (DC)	2006	Graduate Diploma and Graduate Certificate	9
Southern Mallee (DC)	2006	Postgraduate	8
Southern Mallee (DC)	2011		1558
Southern Mallee (DC)	2011	Certificate nfd	35
Southern Mallee (DC)	2011	Certificate I and II Level	35
Southern Mallee (DC)	2011	Certificate III and IV Level	237
Southern Mallee (DC)	2011	Advanced Diploma and Diploma	100
Southern Mallee (DC)	2011	Bachelor	117
Southern Mallee (DC)	2011	Graduate Diploma and Graduate Certificate	11
Southern Mallee (DC)	2011	Postgraduate	8
Southern Mallee (DC)	2016		1469
Southern Mallee (DC)	2016	Certificate nfd	20
Southern Mallee (DC)	2016	Certificate I and II Level	22
Southern Mallee (DC)	2016	Certificate III and IV Level	268
Southern Mallee (DC)	2016	Advanced Diploma and Diploma	98
Southern Mallee (DC)	2016	Bachelor	122
Southern Mallee (DC)	2016	Graduate Diploma and Graduate Certificate	17
Southern Mallee (DC)	2016	Postgraduate	11
Streaky Bay (DC)	2006		1577
Streaky Bay (DC)	2006	Certificate nfd	25
Streaky Bay (DC)	2006	Certificate I and II Level	13
Streaky Bay (DC)	2006	Certificate III and IV Level	247
Streaky Bay (DC)	2006	Advanced Diploma and Diploma	63
Streaky Bay (DC)	2006	Bachelor	80
Streaky Bay (DC)	2006	Graduate Diploma and Graduate Certificate	13
Streaky Bay (DC)	2006	Postgraduate	3
Streaky Bay (DC)	2011		1587
Streaky Bay (DC)	2011	Certificate nfd	16
Streaky Bay (DC)	2011	Certificate I and II Level	20
Streaky Bay (DC)	2011	Certificate III and IV Level	290
Streaky Bay (DC)	2011	Advanced Diploma and Diploma	75
Streaky Bay (DC)	2011	Bachelor	95
Streaky Bay (DC)	2011	Graduate Diploma and Graduate Certificate	16
Streaky Bay (DC)	2011	Postgraduate	3
Streaky Bay (DC)	2016		1430
Streaky Bay (DC)	2016	Certificate nfd	37
Streaky Bay (DC)	2016	Certificate I and II Level	22
Streaky Bay (DC)	2016	Certificate III and IV Level	330
Streaky Bay (DC)	2016	Advanced Diploma and Diploma	96
Streaky Bay (DC)	2016	Bachelor	133
Streaky Bay (DC)	2016	Graduate Diploma and Graduate Certificate	18
Streaky Bay (DC)	2016	Postgraduate	8
Tatiara (DC)	2006		5325
Tatiara (DC)	2006	Certificate nfd	105
Tatiara (DC)	2006	Certificate I and II Level	79
Tatiara (DC)	2006	Certificate III and IV Level	728
Tatiara (DC)	2006	Advanced Diploma and Diploma	307
Tatiara (DC)	2006	Bachelor	271
Tatiara (DC)	2006	Graduate Diploma and Graduate Certificate	31
Tatiara (DC)	2006	Postgraduate	19
Tatiara (DC)	2011		4758
Tatiara (DC)	2011	Certificate nfd	90
Tatiara (DC)	2011	Certificate I and II Level	82
Tatiara (DC)	2011	Certificate III and IV Level	888
Tatiara (DC)	2011	Advanced Diploma and Diploma	327
Tatiara (DC)	2011	Bachelor	338
Tatiara (DC)	2011	Graduate Diploma and Graduate Certificate	39
Tatiara (DC)	2011	Postgraduate	32
Tatiara (DC)	2016		4628
Tatiara (DC)	2016	Certificate nfd	115
Tatiara (DC)	2016	Certificate I and II Level	84
Tatiara (DC)	2016	Certificate III and IV Level	946
Tatiara (DC)	2016	Advanced Diploma and Diploma	401
Tatiara (DC)	2016	Bachelor	367
Tatiara (DC)	2016	Graduate Diploma and Graduate Certificate	49
Tatiara (DC)	2016	Postgraduate	30
Tea Tree Gully (C)	2006		65005
Tea Tree Gully (C)	2006	Certificate nfd	1543
Tea Tree Gully (C)	2006	Certificate I and II Level	1028
Tea Tree Gully (C)	2006	Certificate III and IV Level	13557
Tea Tree Gully (C)	2006	Advanced Diploma and Diploma	6084
Tea Tree Gully (C)	2006	Bachelor	6874
Tea Tree Gully (C)	2006	Graduate Diploma and Graduate Certificate	894
Tea Tree Gully (C)	2006	Postgraduate	988
Tea Tree Gully (C)	2011		60436
Tea Tree Gully (C)	2011	Certificate nfd	1510
Tea Tree Gully (C)	2011	Certificate I and II Level	1029
Tea Tree Gully (C)	2011	Certificate III and IV Level	14549
Tea Tree Gully (C)	2011	Advanced Diploma and Diploma	6936
Tea Tree Gully (C)	2011	Bachelor	8362
Tea Tree Gully (C)	2011	Graduate Diploma and Graduate Certificate	1095
Tea Tree Gully (C)	2011	Postgraduate	1550
Tea Tree Gully (C)	2016		57142
Tea Tree Gully (C)	2016	Certificate nfd	1696
Tea Tree Gully (C)	2016	Certificate I and II Level	1104
Tea Tree Gully (C)	2016	Certificate III and IV Level	16073
Tea Tree Gully (C)	2016	Advanced Diploma and Diploma	8009
Tea Tree Gully (C)	2016	Bachelor	9934
Tea Tree Gully (C)	2016	Graduate Diploma and Graduate Certificate	1486
Tea Tree Gully (C)	2016	Postgraduate	2290
The Coorong (DC)	2006		4547
The Coorong (DC)	2006	Certificate nfd	68
The Coorong (DC)	2006	Certificate I and II Level	75
The Coorong (DC)	2006	Certificate III and IV Level	550
The Coorong (DC)	2006	Advanced Diploma and Diploma	205
The Coorong (DC)	2006	Bachelor	191
The Coorong (DC)	2006	Graduate Diploma and Graduate Certificate	18
The Coorong (DC)	2006	Postgraduate	12
The Coorong (DC)	2011		4194
The Coorong (DC)	2011	Certificate nfd	69
The Coorong (DC)	2011	Certificate I and II Level	87
The Coorong (DC)	2011	Certificate III and IV Level	669
The Coorong (DC)	2011	Advanced Diploma and Diploma	243
The Coorong (DC)	2011	Bachelor	212
The Coorong (DC)	2011	Graduate Diploma and Graduate Certificate	29
The Coorong (DC)	2011	Postgraduate	20
The Coorong (DC)	2016		3888
The Coorong (DC)	2016	Certificate nfd	88
The Coorong (DC)	2016	Certificate I and II Level	82
The Coorong (DC)	2016	Certificate III and IV Level	754
The Coorong (DC)	2016	Advanced Diploma and Diploma	286
The Coorong (DC)	2016	Bachelor	223
The Coorong (DC)	2016	Graduate Diploma and Graduate Certificate	31
The Coorong (DC)	2016	Postgraduate	28
Tumby Bay (DC)	2006		1987
Tumby Bay (DC)	2006	Certificate nfd	40
Tumby Bay (DC)	2006	Certificate I and II Level	18
Tumby Bay (DC)	2006	Certificate III and IV Level	260
Tumby Bay (DC)	2006	Advanced Diploma and Diploma	93
Tumby Bay (DC)	2006	Bachelor	108
Tumby Bay (DC)	2006	Graduate Diploma and Graduate Certificate	25
Tumby Bay (DC)	2006	Postgraduate	7
Tumby Bay (DC)	2011		1880
Tumby Bay (DC)	2011	Certificate nfd	34
Tumby Bay (DC)	2011	Certificate I and II Level	39
Tumby Bay (DC)	2011	Certificate III and IV Level	353
Tumby Bay (DC)	2011	Advanced Diploma and Diploma	121
Tumby Bay (DC)	2011	Bachelor	129
Tumby Bay (DC)	2011	Graduate Diploma and Graduate Certificate	23
Tumby Bay (DC)	2011	Postgraduate	9
Tumby Bay (DC)	2016		1832
Tumby Bay (DC)	2016	Certificate nfd	59
Tumby Bay (DC)	2016	Certificate I and II Level	25
Tumby Bay (DC)	2016	Certificate III and IV Level	360
Tumby Bay (DC)	2016	Advanced Diploma and Diploma	140
Tumby Bay (DC)	2016	Bachelor	154
Tumby Bay (DC)	2016	Graduate Diploma and Graduate Certificate	23
Tumby Bay (DC)	2016	Postgraduate	17
Unley (C)	2006		20434
Unley (C)	2006	Certificate nfd	522
Unley (C)	2006	Certificate I and II Level	276
Unley (C)	2006	Certificate III and IV Level	2525
Unley (C)	2006	Advanced Diploma and Diploma	2733
Unley (C)	2006	Bachelor	6796
Unley (C)	2006	Graduate Diploma and Graduate Certificate	939
Unley (C)	2006	Postgraduate	1774
Unley (C)	2011		19520
Unley (C)	2011	Certificate nfd	435
Unley (C)	2011	Certificate I and II Level	268
Unley (C)	2011	Certificate III and IV Level	2546
Unley (C)	2011	Advanced Diploma and Diploma	2731
Unley (C)	2011	Bachelor	7705
Unley (C)	2011	Graduate Diploma and Graduate Certificate	1111
Unley (C)	2011	Postgraduate	2522
Unley (C)	2016		18641
Unley (C)	2016	Certificate nfd	509
Unley (C)	2016	Certificate I and II Level	196
Unley (C)	2016	Certificate III and IV Level	2628
Unley (C)	2016	Advanced Diploma and Diploma	2850
Unley (C)	2016	Bachelor	8399
Unley (C)	2016	Graduate Diploma and Graduate Certificate	1290
Unley (C)	2016	Postgraduate	3208
Victor Harbor (C)	2006		8477
Victor Harbor (C)	2006	Certificate nfd	212
Victor Harbor (C)	2006	Certificate I and II Level	126
Victor Harbor (C)	2006	Certificate III and IV Level	1584
Victor Harbor (C)	2006	Advanced Diploma and Diploma	746
Victor Harbor (C)	2006	Bachelor	641
Victor Harbor (C)	2006	Graduate Diploma and Graduate Certificate	108
Victor Harbor (C)	2006	Postgraduate	119
Victor Harbor (C)	2011		9259
Victor Harbor (C)	2011	Certificate nfd	252
Victor Harbor (C)	2011	Certificate I and II Level	179
Victor Harbor (C)	2011	Certificate III and IV Level	2028
Victor Harbor (C)	2011	Advanced Diploma and Diploma	925
Victor Harbor (C)	2011	Bachelor	877
Victor Harbor (C)	2011	Graduate Diploma and Graduate Certificate	155
Victor Harbor (C)	2011	Postgraduate	166
Victor Harbor (C)	2016		9052
Victor Harbor (C)	2016	Certificate nfd	333
Victor Harbor (C)	2016	Certificate I and II Level	205
Victor Harbor (C)	2016	Certificate III and IV Level	2406
Victor Harbor (C)	2016	Advanced Diploma and Diploma	1149
Victor Harbor (C)	2016	Bachelor	1113
Victor Harbor (C)	2016	Graduate Diploma and Graduate Certificate	183
Victor Harbor (C)	2016	Postgraduate	224
Wakefield (DC)	2006		5037
Wakefield (DC)	2006	Certificate nfd	95
Wakefield (DC)	2006	Certificate I and II Level	55
Wakefield (DC)	2006	Certificate III and IV Level	692
Wakefield (DC)	2006	Advanced Diploma and Diploma	209
Wakefield (DC)	2006	Bachelor	229
Wakefield (DC)	2006	Graduate Diploma and Graduate Certificate	33
Wakefield (DC)	2006	Postgraduate	19
Wakefield (DC)	2011		5078
Wakefield (DC)	2011	Certificate nfd	77
Wakefield (DC)	2011	Certificate I and II Level	64
Wakefield (DC)	2011	Certificate III and IV Level	812
Wakefield (DC)	2011	Advanced Diploma and Diploma	273
Wakefield (DC)	2011	Bachelor	298
Wakefield (DC)	2011	Graduate Diploma and Graduate Certificate	25
Wakefield (DC)	2011	Postgraduate	33
Wakefield (DC)	2016		4847
Wakefield (DC)	2016	Certificate nfd	119
Wakefield (DC)	2016	Certificate I and II Level	97
Wakefield (DC)	2016	Certificate III and IV Level	972
Wakefield (DC)	2016	Advanced Diploma and Diploma	332
Wakefield (DC)	2016	Bachelor	353
Wakefield (DC)	2016	Graduate Diploma and Graduate Certificate	49
Wakefield (DC)	2016	Postgraduate	32
Walkerville (M)	2006		3998
Walkerville (M)	2006	Certificate nfd	93
Walkerville (M)	2006	Certificate I and II Level	38
Walkerville (M)	2006	Certificate III and IV Level	436
Walkerville (M)	2006	Advanced Diploma and Diploma	537
Walkerville (M)	2006	Bachelor	1327
Walkerville (M)	2006	Graduate Diploma and Graduate Certificate	158
Walkerville (M)	2006	Postgraduate	375
Walkerville (M)	2011		3807
Walkerville (M)	2011	Certificate nfd	91
Walkerville (M)	2011	Certificate I and II Level	39
Walkerville (M)	2011	Certificate III and IV Level	485
Walkerville (M)	2011	Advanced Diploma and Diploma	542
Walkerville (M)	2011	Bachelor	1381
Walkerville (M)	2011	Graduate Diploma and Graduate Certificate	183
Walkerville (M)	2011	Postgraduate	473
Walkerville (M)	2016		3772
Walkerville (M)	2016	Certificate nfd	114
Walkerville (M)	2016	Certificate I and II Level	48
Walkerville (M)	2016	Certificate III and IV Level	531
Walkerville (M)	2016	Advanced Diploma and Diploma	604
Walkerville (M)	2016	Bachelor	1643
Walkerville (M)	2016	Graduate Diploma and Graduate Certificate	220
Walkerville (M)	2016	Postgraduate	618
Wattle Range (DC)	2006		9303
Wattle Range (DC)	2006	Certificate nfd	129
Wattle Range (DC)	2006	Certificate I and II Level	142
Wattle Range (DC)	2006	Certificate III and IV Level	1361
Wattle Range (DC)	2006	Advanced Diploma and Diploma	411
Wattle Range (DC)	2006	Bachelor	445
Wattle Range (DC)	2006	Graduate Diploma and Graduate Certificate	63
Wattle Range (DC)	2006	Postgraduate	34
Wattle Range (DC)	2011		8608
Wattle Range (DC)	2011	Certificate nfd	143
Wattle Range (DC)	2011	Certificate I and II Level	180
Wattle Range (DC)	2011	Certificate III and IV Level	1592
Wattle Range (DC)	2011	Advanced Diploma and Diploma	446
Wattle Range (DC)	2011	Bachelor	540
Wattle Range (DC)	2011	Graduate Diploma and Graduate Certificate	71
Wattle Range (DC)	2011	Postgraduate	44
Wattle Range (DC)	2016		8180
Wattle Range (DC)	2016	Certificate nfd	222
Wattle Range (DC)	2016	Certificate I and II Level	170
Wattle Range (DC)	2016	Certificate III and IV Level	1823
Wattle Range (DC)	2016	Advanced Diploma and Diploma	534
Wattle Range (DC)	2016	Bachelor	586
Wattle Range (DC)	2016	Graduate Diploma and Graduate Certificate	90
Wattle Range (DC)	2016	Postgraduate	72
West Torrens (C)	2006		34921
West Torrens (C)	2006	Certificate nfd	759
West Torrens (C)	2006	Certificate I and II Level	503
West Torrens (C)	2006	Certificate III and IV Level	5841
West Torrens (C)	2006	Advanced Diploma and Diploma	3038
West Torrens (C)	2006	Bachelor	5531
West Torrens (C)	2006	Graduate Diploma and Graduate Certificate	648
West Torrens (C)	2006	Postgraduate	918
West Torrens (C)	2011		33689
West Torrens (C)	2011	Certificate nfd	642
West Torrens (C)	2011	Certificate I and II Level	547
West Torrens (C)	2011	Certificate III and IV Level	6381
West Torrens (C)	2011	Advanced Diploma and Diploma	3783
West Torrens (C)	2011	Bachelor	7328
West Torrens (C)	2011	Graduate Diploma and Graduate Certificate	838
West Torrens (C)	2011	Postgraduate	1754
West Torrens (C)	2016		32752
West Torrens (C)	2016	Certificate nfd	852
West Torrens (C)	2016	Certificate I and II Level	537
West Torrens (C)	2016	Certificate III and IV Level	6737
West Torrens (C)	2016	Advanced Diploma and Diploma	4403
West Torrens (C)	2016	Bachelor	8833
West Torrens (C)	2016	Graduate Diploma and Graduate Certificate	1049
West Torrens (C)	2016	Postgraduate	2738
Whyalla (C)	2006		15988
Whyalla (C)	2006	Certificate nfd	219
Whyalla (C)	2006	Certificate I and II Level	258
Whyalla (C)	2006	Certificate III and IV Level	3128
Whyalla (C)	2006	Advanced Diploma and Diploma	624
Whyalla (C)	2006	Bachelor	970
Whyalla (C)	2006	Graduate Diploma and Graduate Certificate	115
Whyalla (C)	2006	Postgraduate	115
Whyalla (C)	2011		15696
Whyalla (C)	2011	Certificate nfd	235
Whyalla (C)	2011	Certificate I and II Level	313
Whyalla (C)	2011	Certificate III and IV Level	3664
Whyalla (C)	2011	Advanced Diploma and Diploma	751
Whyalla (C)	2011	Bachelor	1162
Whyalla (C)	2011	Graduate Diploma and Graduate Certificate	109
Whyalla (C)	2011	Postgraduate	159
Whyalla (C)	2016		14724
Whyalla (C)	2016	Certificate nfd	311
Whyalla (C)	2016	Certificate I and II Level	365
Whyalla (C)	2016	Certificate III and IV Level	3944
Whyalla (C)	2016	Advanced Diploma and Diploma	965
Whyalla (C)	2016	Bachelor	1194
Whyalla (C)	2016	Graduate Diploma and Graduate Certificate	130
Whyalla (C)	2016	Postgraduate	195
Wudinna (DC)	2006		1046
Wudinna (DC)	2006	Certificate nfd	19
Wudinna (DC)	2006	Certificate I and II Level	13
Wudinna (DC)	2006	Certificate III and IV Level	128
Wudinna (DC)	2006	Advanced Diploma and Diploma	46
Wudinna (DC)	2006	Bachelor	55
Wudinna (DC)	2006	Graduate Diploma and Graduate Certificate	5
Wudinna (DC)	2006	Postgraduate	0
Wudinna (DC)	2011		914
Wudinna (DC)	2011	Certificate nfd	17
Wudinna (DC)	2011	Certificate I and II Level	19
Wudinna (DC)	2011	Certificate III and IV Level	164
Wudinna (DC)	2011	Advanced Diploma and Diploma	50
Wudinna (DC)	2011	Bachelor	81
Wudinna (DC)	2011	Graduate Diploma and Graduate Certificate	3
Wudinna (DC)	2011	Postgraduate	5
Wudinna (DC)	2016		926
Wudinna (DC)	2016	Certificate nfd	13
Wudinna (DC)	2016	Certificate I and II Level	15
Wudinna (DC)	2016	Certificate III and IV Level	154
Wudinna (DC)	2016	Advanced Diploma and Diploma	53
