LGA_NAME16	Year	NonSchoolQualification	Sex	persons
Migratory - Offshore - Shipping (Vic.)	2016	Advanced Diploma and Diploma	F	0
Migratory - Offshore - Shipping (Vic.)	2016	Advanced Diploma and Diploma	M	0
Migratory - Offshore - Shipping (Vic.)	2016	Bachelor	F	0
Migratory - Offshore - Shipping (Vic.)	2016	Bachelor	M	3
Migratory - Offshore - Shipping (Vic.)	2016	Graduate Diploma and Graduate Certificate	F	0
Migratory - Offshore - Shipping (Vic.)	2016	Graduate Diploma and Graduate Certificate	M	0
Migratory - Offshore - Shipping (Vic.)	2016	Postgraduate	F	0
Migratory - Offshore - Shipping (Vic.)	2016	Postgraduate	M	0
Aurukun (S)	2006		F	514
Aurukun (S)	2006		M	472
Aurukun (S)	2006	Certificate nfd	F	0
Aurukun (S)	2006	Certificate nfd	M	0
Aurukun (S)	2006	Certificate I and II Level	F	3
Aurukun (S)	2006	Certificate I and II Level	M	0
Aurukun (S)	2006	Certificate III and IV Level	F	3
Aurukun (S)	2006	Certificate III and IV Level	M	8
Aurukun (S)	2006	Advanced Diploma and Diploma	F	0
Aurukun (S)	2006	Advanced Diploma and Diploma	M	5
Aurukun (S)	2006	Bachelor	F	15
Aurukun (S)	2006	Bachelor	M	15
Aurukun (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Aurukun (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Aurukun (S)	2006	Postgraduate	F	5
Aurukun (S)	2006	Postgraduate	M	3
Aurukun (S)	2011		F	595
Aurukun (S)	2011		M	564
Aurukun (S)	2011	Certificate nfd	F	3
Aurukun (S)	2011	Certificate nfd	M	12
Aurukun (S)	2011	Certificate I and II Level	F	11
Aurukun (S)	2011	Certificate I and II Level	M	3
Aurukun (S)	2011	Certificate III and IV Level	F	6
Aurukun (S)	2011	Certificate III and IV Level	M	35
Aurukun (S)	2011	Advanced Diploma and Diploma	F	12
Aurukun (S)	2011	Advanced Diploma and Diploma	M	11
Aurukun (S)	2011	Bachelor	F	20
Aurukun (S)	2011	Bachelor	M	12
Aurukun (S)	2011	Graduate Diploma and Graduate Certificate	F	6
Aurukun (S)	2011	Graduate Diploma and Graduate Certificate	M	3
Aurukun (S)	2011	Postgraduate	F	0
Aurukun (S)	2011	Postgraduate	M	0
Aurukun (S)	2016		F	560
Aurukun (S)	2016		M	521
Aurukun (S)	2016	Certificate nfd	F	4
Aurukun (S)	2016	Certificate nfd	M	5
Aurukun (S)	2016	Certificate I and II Level	F	12
Aurukun (S)	2016	Certificate I and II Level	M	11
Aurukun (S)	2016	Certificate III and IV Level	F	26
Aurukun (S)	2016	Certificate III and IV Level	M	74
Aurukun (S)	2016	Advanced Diploma and Diploma	F	19
Aurukun (S)	2016	Advanced Diploma and Diploma	M	8
Aurukun (S)	2016	Bachelor	F	11
Aurukun (S)	2016	Bachelor	M	13
Aurukun (S)	2016	Graduate Diploma and Graduate Certificate	F	0
Aurukun (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Aurukun (S)	2016	Postgraduate	F	3
Aurukun (S)	2016	Postgraduate	M	0
Balonne (S)	2006		F	1775
Balonne (S)	2006		M	1876
Balonne (S)	2006	Certificate nfd	F	26
Balonne (S)	2006	Certificate nfd	M	29
Balonne (S)	2006	Certificate I and II Level	F	20
Balonne (S)	2006	Certificate I and II Level	M	15
Balonne (S)	2006	Certificate III and IV Level	F	119
Balonne (S)	2006	Certificate III and IV Level	M	296
Balonne (S)	2006	Advanced Diploma and Diploma	F	115
Balonne (S)	2006	Advanced Diploma and Diploma	M	71
Balonne (S)	2006	Bachelor	F	166
Balonne (S)	2006	Bachelor	M	77
Balonne (S)	2006	Graduate Diploma and Graduate Certificate	F	18
Balonne (S)	2006	Graduate Diploma and Graduate Certificate	M	5
Balonne (S)	2006	Postgraduate	F	11
Balonne (S)	2006	Postgraduate	M	3
Balonne (S)	2011		F	1726
Balonne (S)	2011		M	1873
Balonne (S)	2011	Certificate nfd	F	27
Balonne (S)	2011	Certificate nfd	M	23
Balonne (S)	2011	Certificate I and II Level	F	24
Balonne (S)	2011	Certificate I and II Level	M	14
Balonne (S)	2011	Certificate III and IV Level	F	137
Balonne (S)	2011	Certificate III and IV Level	M	333
Balonne (S)	2011	Advanced Diploma and Diploma	F	132
Balonne (S)	2011	Advanced Diploma and Diploma	M	96
Balonne (S)	2011	Bachelor	F	195
Balonne (S)	2011	Bachelor	M	88
Balonne (S)	2011	Graduate Diploma and Graduate Certificate	F	28
Balonne (S)	2011	Graduate Diploma and Graduate Certificate	M	5
Balonne (S)	2011	Postgraduate	F	14
Balonne (S)	2011	Postgraduate	M	5
Balonne (S)	2016		F	1487
Balonne (S)	2016		M	1653
Balonne (S)	2016	Certificate nfd	F	22
Balonne (S)	2016	Certificate nfd	M	25
Balonne (S)	2016	Certificate I and II Level	F	29
Balonne (S)	2016	Certificate I and II Level	M	11
Balonne (S)	2016	Certificate III and IV Level	F	162
Balonne (S)	2016	Certificate III and IV Level	M	351
Balonne (S)	2016	Advanced Diploma and Diploma	F	168
Balonne (S)	2016	Advanced Diploma and Diploma	M	99
Balonne (S)	2016	Bachelor	F	216
Balonne (S)	2016	Bachelor	M	91
Balonne (S)	2016	Graduate Diploma and Graduate Certificate	F	28
Balonne (S)	2016	Graduate Diploma and Graduate Certificate	M	9
Balonne (S)	2016	Postgraduate	F	17
Balonne (S)	2016	Postgraduate	M	12
Banana (S)	2006		F	5678
Banana (S)	2006		M	5704
Banana (S)	2006	Certificate nfd	F	82
Banana (S)	2006	Certificate nfd	M	63
Banana (S)	2006	Certificate I and II Level	F	78
Banana (S)	2006	Certificate I and II Level	M	45
Banana (S)	2006	Certificate III and IV Level	F	414
Banana (S)	2006	Certificate III and IV Level	M	1296
Banana (S)	2006	Advanced Diploma and Diploma	F	268
Banana (S)	2006	Advanced Diploma and Diploma	M	189
Banana (S)	2006	Bachelor	F	445
Banana (S)	2006	Bachelor	M	254
Banana (S)	2006	Graduate Diploma and Graduate Certificate	F	57
Banana (S)	2006	Graduate Diploma and Graduate Certificate	M	19
Banana (S)	2006	Postgraduate	F	27
Banana (S)	2006	Postgraduate	M	33
Banana (S)	2011		F	5330
Banana (S)	2011		M	5313
Banana (S)	2011	Certificate nfd	F	80
Banana (S)	2011	Certificate nfd	M	100
Banana (S)	2011	Certificate I and II Level	F	96
Banana (S)	2011	Certificate I and II Level	M	60
Banana (S)	2011	Certificate III and IV Level	F	550
Banana (S)	2011	Certificate III and IV Level	M	1457
Banana (S)	2011	Advanced Diploma and Diploma	F	306
Banana (S)	2011	Advanced Diploma and Diploma	M	186
Banana (S)	2011	Bachelor	F	497
Banana (S)	2011	Bachelor	M	298
Banana (S)	2011	Graduate Diploma and Graduate Certificate	F	70
Banana (S)	2011	Graduate Diploma and Graduate Certificate	M	33
Banana (S)	2011	Postgraduate	F	48
Banana (S)	2011	Postgraduate	M	32
Banana (S)	2016		F	5020
Banana (S)	2016		M	5155
Banana (S)	2016	Certificate nfd	F	104
Banana (S)	2016	Certificate nfd	M	97
Banana (S)	2016	Certificate I and II Level	F	92
Banana (S)	2016	Certificate I and II Level	M	53
Banana (S)	2016	Certificate III and IV Level	F	618
Banana (S)	2016	Certificate III and IV Level	M	1515
Banana (S)	2016	Advanced Diploma and Diploma	F	367
Banana (S)	2016	Advanced Diploma and Diploma	M	220
Banana (S)	2016	Bachelor	F	576
Banana (S)	2016	Bachelor	M	268
Banana (S)	2016	Graduate Diploma and Graduate Certificate	F	89
Banana (S)	2016	Graduate Diploma and Graduate Certificate	M	28
Banana (S)	2016	Postgraduate	F	62
Banana (S)	2016	Postgraduate	M	52
Barcaldine (R)	2006		F	1258
Barcaldine (R)	2006		M	1329
Barcaldine (R)	2006	Certificate nfd	F	14
Barcaldine (R)	2006	Certificate nfd	M	18
Barcaldine (R)	2006	Certificate I and II Level	F	28
Barcaldine (R)	2006	Certificate I and II Level	M	9
Barcaldine (R)	2006	Certificate III and IV Level	F	87
Barcaldine (R)	2006	Certificate III and IV Level	M	225
Barcaldine (R)	2006	Advanced Diploma and Diploma	F	71
Barcaldine (R)	2006	Advanced Diploma and Diploma	M	37
Barcaldine (R)	2006	Bachelor	F	106
Barcaldine (R)	2006	Bachelor	M	47
Barcaldine (R)	2006	Graduate Diploma and Graduate Certificate	F	11
Barcaldine (R)	2006	Graduate Diploma and Graduate Certificate	M	4
Barcaldine (R)	2006	Postgraduate	F	7
Barcaldine (R)	2006	Postgraduate	M	10
Barcaldine (R)	2011		F	1212
Barcaldine (R)	2011		M	1212
Barcaldine (R)	2011	Certificate nfd	F	17
Barcaldine (R)	2011	Certificate nfd	M	20
Barcaldine (R)	2011	Certificate I and II Level	F	28
Barcaldine (R)	2011	Certificate I and II Level	M	9
Barcaldine (R)	2011	Certificate III and IV Level	F	128
Barcaldine (R)	2011	Certificate III and IV Level	M	256
Barcaldine (R)	2011	Advanced Diploma and Diploma	F	75
Barcaldine (R)	2011	Advanced Diploma and Diploma	M	51
Barcaldine (R)	2011	Bachelor	F	115
Barcaldine (R)	2011	Bachelor	M	49
Barcaldine (R)	2011	Graduate Diploma and Graduate Certificate	F	14
Barcaldine (R)	2011	Graduate Diploma and Graduate Certificate	M	4
Barcaldine (R)	2011	Postgraduate	F	6
Barcaldine (R)	2011	Postgraduate	M	19
Barcaldine (R)	2016		F	990
Barcaldine (R)	2016		M	1024
Barcaldine (R)	2016	Certificate nfd	F	22
Barcaldine (R)	2016	Certificate nfd	M	20
Barcaldine (R)	2016	Certificate I and II Level	F	18
Barcaldine (R)	2016	Certificate I and II Level	M	16
Barcaldine (R)	2016	Certificate III and IV Level	F	140
Barcaldine (R)	2016	Certificate III and IV Level	M	250
Barcaldine (R)	2016	Advanced Diploma and Diploma	F	69
Barcaldine (R)	2016	Advanced Diploma and Diploma	M	49
Barcaldine (R)	2016	Bachelor	F	151
Barcaldine (R)	2016	Bachelor	M	64
Barcaldine (R)	2016	Graduate Diploma and Graduate Certificate	F	17
Barcaldine (R)	2016	Graduate Diploma and Graduate Certificate	M	6
Barcaldine (R)	2016	Postgraduate	F	12
Barcaldine (R)	2016	Postgraduate	M	20
Barcoo (S)	2006		F	120
Barcoo (S)	2006		M	152
Barcoo (S)	2006	Certificate nfd	F	0
Barcoo (S)	2006	Certificate nfd	M	0
Barcoo (S)	2006	Certificate I and II Level	F	7
Barcoo (S)	2006	Certificate I and II Level	M	3
Barcoo (S)	2006	Certificate III and IV Level	F	11
Barcoo (S)	2006	Certificate III and IV Level	M	29
Barcoo (S)	2006	Advanced Diploma and Diploma	F	10
Barcoo (S)	2006	Advanced Diploma and Diploma	M	7
Barcoo (S)	2006	Bachelor	F	13
Barcoo (S)	2006	Bachelor	M	5
Barcoo (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Barcoo (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Barcoo (S)	2006	Postgraduate	F	0
Barcoo (S)	2006	Postgraduate	M	0
Barcoo (S)	2011		F	115
Barcoo (S)	2011		M	146
Barcoo (S)	2011	Certificate nfd	F	0
Barcoo (S)	2011	Certificate nfd	M	3
Barcoo (S)	2011	Certificate I and II Level	F	0
Barcoo (S)	2011	Certificate I and II Level	M	4
Barcoo (S)	2011	Certificate III and IV Level	F	19
Barcoo (S)	2011	Certificate III and IV Level	M	31
Barcoo (S)	2011	Advanced Diploma and Diploma	F	9
Barcoo (S)	2011	Advanced Diploma and Diploma	M	5
Barcoo (S)	2011	Bachelor	F	16
Barcoo (S)	2011	Bachelor	M	0
Barcoo (S)	2011	Graduate Diploma and Graduate Certificate	F	0
Barcoo (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Barcoo (S)	2011	Postgraduate	F	0
Barcoo (S)	2011	Postgraduate	M	0
Barcoo (S)	2016		F	86
Barcoo (S)	2016		M	105
Barcoo (S)	2016	Certificate nfd	F	3
Barcoo (S)	2016	Certificate nfd	M	3
Barcoo (S)	2016	Certificate I and II Level	F	3
Barcoo (S)	2016	Certificate I and II Level	M	3
Barcoo (S)	2016	Certificate III and IV Level	F	11
Barcoo (S)	2016	Certificate III and IV Level	M	29
Barcoo (S)	2016	Advanced Diploma and Diploma	F	8
Barcoo (S)	2016	Advanced Diploma and Diploma	M	6
Barcoo (S)	2016	Bachelor	F	12
Barcoo (S)	2016	Bachelor	M	3
Barcoo (S)	2016	Graduate Diploma and Graduate Certificate	F	0
Barcoo (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Barcoo (S)	2016	Postgraduate	F	0
Barcoo (S)	2016	Postgraduate	M	0
Blackall-Tambo (R)	2006		F	797
Blackall-Tambo (R)	2006		M	799
Blackall-Tambo (R)	2006	Certificate nfd	F	13
Blackall-Tambo (R)	2006	Certificate nfd	M	11
Blackall-Tambo (R)	2006	Certificate I and II Level	F	20
Blackall-Tambo (R)	2006	Certificate I and II Level	M	9
Blackall-Tambo (R)	2006	Certificate III and IV Level	F	63
Blackall-Tambo (R)	2006	Certificate III and IV Level	M	113
Blackall-Tambo (R)	2006	Advanced Diploma and Diploma	F	41
Blackall-Tambo (R)	2006	Advanced Diploma and Diploma	M	30
Blackall-Tambo (R)	2006	Bachelor	F	73
Blackall-Tambo (R)	2006	Bachelor	M	25
Blackall-Tambo (R)	2006	Graduate Diploma and Graduate Certificate	F	12
Blackall-Tambo (R)	2006	Graduate Diploma and Graduate Certificate	M	4
Blackall-Tambo (R)	2006	Postgraduate	F	3
Blackall-Tambo (R)	2006	Postgraduate	M	3
Blackall-Tambo (R)	2011		F	822
Blackall-Tambo (R)	2011		M	835
Blackall-Tambo (R)	2011	Certificate nfd	F	22
Blackall-Tambo (R)	2011	Certificate nfd	M	13
Blackall-Tambo (R)	2011	Certificate I and II Level	F	16
Blackall-Tambo (R)	2011	Certificate I and II Level	M	11
Blackall-Tambo (R)	2011	Certificate III and IV Level	F	90
Blackall-Tambo (R)	2011	Certificate III and IV Level	M	152
Blackall-Tambo (R)	2011	Advanced Diploma and Diploma	F	57
Blackall-Tambo (R)	2011	Advanced Diploma and Diploma	M	42
Blackall-Tambo (R)	2011	Bachelor	F	88
Blackall-Tambo (R)	2011	Bachelor	M	31
Blackall-Tambo (R)	2011	Graduate Diploma and Graduate Certificate	F	12
Blackall-Tambo (R)	2011	Graduate Diploma and Graduate Certificate	M	3
Blackall-Tambo (R)	2011	Postgraduate	F	4
Blackall-Tambo (R)	2011	Postgraduate	M	4
Blackall-Tambo (R)	2016		F	671
Blackall-Tambo (R)	2016		M	696
Blackall-Tambo (R)	2016	Certificate nfd	F	13
Blackall-Tambo (R)	2016	Certificate nfd	M	19
Blackall-Tambo (R)	2016	Certificate I and II Level	F	10
Blackall-Tambo (R)	2016	Certificate I and II Level	M	10
Blackall-Tambo (R)	2016	Certificate III and IV Level	F	92
Blackall-Tambo (R)	2016	Certificate III and IV Level	M	146
Blackall-Tambo (R)	2016	Advanced Diploma and Diploma	F	68
Blackall-Tambo (R)	2016	Advanced Diploma and Diploma	M	38
Blackall-Tambo (R)	2016	Bachelor	F	86
Blackall-Tambo (R)	2016	Bachelor	M	20
Blackall-Tambo (R)	2016	Graduate Diploma and Graduate Certificate	F	10
Blackall-Tambo (R)	2016	Graduate Diploma and Graduate Certificate	M	11
Blackall-Tambo (R)	2016	Postgraduate	F	8
Blackall-Tambo (R)	2016	Postgraduate	M	4
Boulia (S)	2006		F	170
Boulia (S)	2006		M	179
Boulia (S)	2006	Certificate nfd	F	5
Boulia (S)	2006	Certificate nfd	M	0
Boulia (S)	2006	Certificate I and II Level	F	4
Boulia (S)	2006	Certificate I and II Level	M	4
Boulia (S)	2006	Certificate III and IV Level	F	7
Boulia (S)	2006	Certificate III and IV Level	M	27
Boulia (S)	2006	Advanced Diploma and Diploma	F	3
Boulia (S)	2006	Advanced Diploma and Diploma	M	4
Boulia (S)	2006	Bachelor	F	13
Boulia (S)	2006	Bachelor	M	8
Boulia (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Boulia (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Boulia (S)	2006	Postgraduate	F	0
Boulia (S)	2006	Postgraduate	M	0
Boulia (S)	2011		F	176
Boulia (S)	2011		M	205
Boulia (S)	2011	Certificate nfd	F	6
Boulia (S)	2011	Certificate nfd	M	4
Boulia (S)	2011	Certificate I and II Level	F	3
Boulia (S)	2011	Certificate I and II Level	M	0
Boulia (S)	2011	Certificate III and IV Level	F	7
Boulia (S)	2011	Certificate III and IV Level	M	39
Boulia (S)	2011	Advanced Diploma and Diploma	F	9
Boulia (S)	2011	Advanced Diploma and Diploma	M	11
Boulia (S)	2011	Bachelor	F	15
Boulia (S)	2011	Bachelor	M	4
Boulia (S)	2011	Graduate Diploma and Graduate Certificate	F	0
Boulia (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Boulia (S)	2011	Postgraduate	F	0
Boulia (S)	2011	Postgraduate	M	0
Boulia (S)	2016		F	154
Boulia (S)	2016		M	183
Boulia (S)	2016	Certificate nfd	F	3
Boulia (S)	2016	Certificate nfd	M	0
Boulia (S)	2016	Certificate I and II Level	F	4
Boulia (S)	2016	Certificate I and II Level	M	4
Boulia (S)	2016	Certificate III and IV Level	F	23
Boulia (S)	2016	Certificate III and IV Level	M	33
Boulia (S)	2016	Advanced Diploma and Diploma	F	5
Boulia (S)	2016	Advanced Diploma and Diploma	M	4
Boulia (S)	2016	Bachelor	F	6
Boulia (S)	2016	Bachelor	M	4
Boulia (S)	2016	Graduate Diploma and Graduate Certificate	F	6
Boulia (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Boulia (S)	2016	Postgraduate	F	0
Boulia (S)	2016	Postgraduate	M	0
Brisbane (C)	2006		F	321235
Brisbane (C)	2006		M	280131
Brisbane (C)	2006	Certificate nfd	F	7325
Brisbane (C)	2006	Certificate nfd	M	4189
Brisbane (C)	2006	Certificate I and II Level	F	4639
Brisbane (C)	2006	Certificate I and II Level	M	2701
Brisbane (C)	2006	Certificate III and IV Level	F	24212
Brisbane (C)	2006	Certificate III and IV Level	M	65390
Brisbane (C)	2006	Advanced Diploma and Diploma	F	34515
Brisbane (C)	2006	Advanced Diploma and Diploma	M	27621
Brisbane (C)	2006	Bachelor	F	72895
Brisbane (C)	2006	Bachelor	M	62433
Brisbane (C)	2006	Graduate Diploma and Graduate Certificate	F	9504
Brisbane (C)	2006	Graduate Diploma and Graduate Certificate	M	5840
Brisbane (C)	2006	Postgraduate	F	14466
Brisbane (C)	2006	Postgraduate	M	19038
Brisbane (C)	2011		F	313799
Brisbane (C)	2011		M	285181
Brisbane (C)	2011	Certificate nfd	F	7141
Brisbane (C)	2011	Certificate nfd	M	4158
Brisbane (C)	2011	Certificate I and II Level	F	5162
Brisbane (C)	2011	Certificate I and II Level	M	3292
Brisbane (C)	2011	Certificate III and IV Level	F	31025
Brisbane (C)	2011	Certificate III and IV Level	M	72484
Brisbane (C)	2011	Advanced Diploma and Diploma	F	40654
Brisbane (C)	2011	Advanced Diploma and Diploma	M	33067
Brisbane (C)	2011	Bachelor	F	93660
Brisbane (C)	2011	Bachelor	M	79575
Brisbane (C)	2011	Graduate Diploma and Graduate Certificate	F	12896
Brisbane (C)	2011	Graduate Diploma and Graduate Certificate	M	7838
Brisbane (C)	2011	Postgraduate	F	23790
Brisbane (C)	2011	Postgraduate	M	28113
Brisbane (C)	2016		F	312420
Brisbane (C)	2016		M	291804
Brisbane (C)	2016	Certificate nfd	F	8481
Brisbane (C)	2016	Certificate nfd	M	5723
Brisbane (C)	2016	Certificate I and II Level	F	4808
Brisbane (C)	2016	Certificate I and II Level	M	3334
Brisbane (C)	2016	Certificate III and IV Level	F	37605
Brisbane (C)	2016	Certificate III and IV Level	M	76594
Brisbane (C)	2016	Advanced Diploma and Diploma	F	47349
Brisbane (C)	2016	Advanced Diploma and Diploma	M	39067
Brisbane (C)	2016	Bachelor	F	112699
Brisbane (C)	2016	Bachelor	M	93141
Brisbane (C)	2016	Graduate Diploma and Graduate Certificate	F	16569
Brisbane (C)	2016	Graduate Diploma and Graduate Certificate	M	9883
Brisbane (C)	2016	Postgraduate	F	34789
Brisbane (C)	2016	Postgraduate	M	36894
Bulloo (S)	2006		F	120
Bulloo (S)	2006		M	179
Bulloo (S)	2006	Certificate nfd	F	0
Bulloo (S)	2006	Certificate nfd	M	0
Bulloo (S)	2006	Certificate I and II Level	F	6
Bulloo (S)	2006	Certificate I and II Level	M	3
Bulloo (S)	2006	Certificate III and IV Level	F	16
Bulloo (S)	2006	Certificate III and IV Level	M	26
Bulloo (S)	2006	Advanced Diploma and Diploma	F	3
Bulloo (S)	2006	Advanced Diploma and Diploma	M	3
Bulloo (S)	2006	Bachelor	F	10
Bulloo (S)	2006	Bachelor	M	4
Bulloo (S)	2006	Graduate Diploma and Graduate Certificate	F	0
Bulloo (S)	2006	Graduate Diploma and Graduate Certificate	M	0
Bulloo (S)	2006	Postgraduate	F	0
Bulloo (S)	2006	Postgraduate	M	0
Bulloo (S)	2011		F	108
Bulloo (S)	2011		M	181
Bulloo (S)	2011	Certificate nfd	F	6
Bulloo (S)	2011	Certificate nfd	M	0
Bulloo (S)	2011	Certificate I and II Level	F	6
Bulloo (S)	2011	Certificate I and II Level	M	3
Bulloo (S)	2011	Certificate III and IV Level	F	18
Bulloo (S)	2011	Certificate III and IV Level	M	38
Bulloo (S)	2011	Advanced Diploma and Diploma	F	13
Bulloo (S)	2011	Advanced Diploma and Diploma	M	12
Bulloo (S)	2011	Bachelor	F	11
Bulloo (S)	2011	Bachelor	M	5
Bulloo (S)	2011	Graduate Diploma and Graduate Certificate	F	0
Bulloo (S)	2011	Graduate Diploma and Graduate Certificate	M	0
Bulloo (S)	2011	Postgraduate	F	0
Bulloo (S)	2011	Postgraduate	M	0
Bulloo (S)	2016		F	100
Bulloo (S)	2016		M	124
Bulloo (S)	2016	Certificate nfd	F	3
Bulloo (S)	2016	Certificate nfd	M	3
Bulloo (S)	2016	Certificate I and II Level	F	8
Bulloo (S)	2016	Certificate I and II Level	M	0
Bulloo (S)	2016	Certificate III and IV Level	F	26
Bulloo (S)	2016	Certificate III and IV Level	M	49
Bulloo (S)	2016	Advanced Diploma and Diploma	F	14
Bulloo (S)	2016	Advanced Diploma and Diploma	M	8
Bulloo (S)	2016	Bachelor	F	10
Bulloo (S)	2016	Bachelor	M	3
Bulloo (S)	2016	Graduate Diploma and Graduate Certificate	F	0
Bulloo (S)	2016	Graduate Diploma and Graduate Certificate	M	0
Bulloo (S)	2016	Postgraduate	F	3
Bulloo (S)	2016	Postgraduate	M	0
Bundaberg (R)	2006		F	33782
Bundaberg (R)	2006		M	29240
Bundaberg (R)	2006	Certificate nfd	F	601
Bundaberg (R)	2006	Certificate nfd	M	343
Bundaberg (R)	2006	Certificate I and II Level	F	574
Bundaberg (R)	2006	Certificate I and II Level	M	293
Bundaberg (R)	2006	Certificate III and IV Level	F	2614
Bundaberg (R)	2006	Certificate III and IV Level	M	7845
Bundaberg (R)	2006	Advanced Diploma and Diploma	F	1690
Bundaberg (R)	2006	Advanced Diploma and Diploma	M	1192
Bundaberg (R)	2006	Bachelor	F	2417
Bundaberg (R)	2006	Bachelor	M	1405
Bundaberg (R)	2006	Graduate Diploma and Graduate Certificate	F	308
Bundaberg (R)	2006	Graduate Diploma and Graduate Certificate	M	195
Bundaberg (R)	2006	Postgraduate	F	200
Bundaberg (R)	2006	Postgraduate	M	262
Bundaberg (R)	2011		F	34010
Bundaberg (R)	2011		M	30223
Bundaberg (R)	2011	Certificate nfd	F	688
Bundaberg (R)	2011	Certificate nfd	M	364
Bundaberg (R)	2011	Certificate I and II Level	F	831
Bundaberg (R)	2011	Certificate I and II Level	M	441
Bundaberg (R)	2011	Certificate III and IV Level	F	3791
Bundaberg (R)	2011	Certificate III and IV Level	M	9319
Bundaberg (R)	2011	Advanced Diploma and Diploma	F	2388
Bundaberg (R)	2011	Advanced Diploma and Diploma	M	1512
Bundaberg (R)	2011	Bachelor	F	3089
Bundaberg (R)	2011	Bachelor	M	1785
Bundaberg (R)	2011	Graduate Diploma and Graduate Certificate	F	425
Bundaberg (R)	2011	Graduate Diploma and Graduate Certificate	M	227
Bundaberg (R)	2011	Postgraduate	F	358
Bundaberg (R)	2011	Postgraduate	M	355
Bundaberg (R)	2016		F	32947
Bundaberg (R)	2016		M	29761
Bundaberg (R)	2016	Certificate nfd	F	856
Bundaberg (R)	2016	Certificate nfd	M	604
Bundaberg (R)	2016	Certificate I and II Level	F	758
Bundaberg (R)	2016	Certificate I and II Level	M	464
Bundaberg (R)	2016	Certificate III and IV Level	F	4774
Bundaberg (R)	2016	Certificate III and IV Level	M	10371
Bundaberg (R)	2016	Advanced Diploma and Diploma	F	3069
Bundaberg (R)	2016	Advanced Diploma and Diploma	M	1814
Bundaberg (R)	2016	Bachelor	F	3761
Bundaberg (R)	2016	Bachelor	M	1944
Bundaberg (R)	2016	Graduate Diploma and Graduate Certificate	F	557
Bundaberg (R)	2016	Graduate Diploma and Graduate Certificate	M	279
Bundaberg (R)	2016	Postgraduate	F	458
Bundaberg (R)	2016	Postgraduate	M	479
Burdekin (S)	2006		F	7018
Burdekin (S)	2006		M	6255
Burdekin (S)	2006	Certificate nfd	F	118
Burdekin (S)	2006	Certificate nfd	M	51
Burdekin (S)	2006	Certificate I and II Level	F	65
Burdekin (S)	2006	Certificate I and II Level	M	36
Burdekin (S)	2006	Certificate III and IV Level	F	476
Burdekin (S)	2006	Certificate III and IV Level	M	1742
Burdekin (S)	2006	Advanced Diploma and Diploma	F	309
Burdekin (S)	2006	Advanced Diploma and Diploma	M	211
Burdekin (S)	2006	Bachelor	F	393
Burdekin (S)	2006	Bachelor	M	232
Burdekin (S)	2006	Graduate Diploma and Graduate Certificate	F	41
Burdekin (S)	2006	Graduate Diploma and Graduate Certificate	M	17
Burdekin (S)	2006	Postgraduate	F	20
Burdekin (S)	2006	Postgraduate	M	35
Burdekin (S)	2011		F	6827
Burdekin (S)	2011		M	6103
Burdekin (S)	2011	Certificate nfd	F	117
Burdekin (S)	2011	Certificate nfd	M	46
Burdekin (S)	2011	Certificate I and II Level	F	99
Burdekin (S)	2011	Certificate I and II Level	M	41
Burdekin (S)	2011	Certificate III and IV Level	F	667
Burdekin (S)	2011	Certificate III and IV Level	M	1946
Burdekin (S)	2011	Advanced Diploma and Diploma	F	365
Burdekin (S)	2011	Advanced Diploma and Diploma	M	234
Burdekin (S)	2011	Bachelor	F	484
Burdekin (S)	2011	Bachelor	M	288
Burdekin (S)	2011	Graduate Diploma and Graduate Certificate	F	53
Burdekin (S)	2011	Graduate Diploma and Graduate Certificate	M	27
Burdekin (S)	2011	Postgraduate	F	30
Burdekin (S)	2011	Postgraduate	M	40
Burdekin (S)	2016		F	6243
Burdekin (S)	2016		M	5788
Burdekin (S)	2016	Certificate nfd	F	127
Burdekin (S)	2016	Certificate nfd	M	92
Burdekin (S)	2016	Certificate I and II Level	F	104
Burdekin (S)	2016	Certificate I and II Level	M	59
Burdekin (S)	2016	Certificate III and IV Level	F	776
Burdekin (S)	2016	Certificate III and IV Level	M	2110
Burdekin (S)	2016	Advanced Diploma and Diploma	F	450
Burdekin (S)	2016	Advanced Diploma and Diploma	M	250
Burdekin (S)	2016	Bachelor	F	582
Burdekin (S)	2016	Bachelor	M	296
Burdekin (S)	2016	Graduate Diploma and Graduate Certificate	F	72
Burdekin (S)	2016	Graduate Diploma and Graduate Certificate	M	34
Burdekin (S)	2016	Postgraduate	F	48
Burdekin (S)	2016	Postgraduate	M	44
Burke (S)	2006		F	158
Burke (S)	2006		M	226
Burke (S)	2006	Certificate nfd	F	0
Burke (S)	2006	Certificate nfd	M	0
Burke (S)	2006	Certificate I and II Level	F	4
Burke (S)	2006	Certificate I and II Level	M	5
