STE_NAME16	Year	Age	FOE	adults
South Australia	2011	55-64	Education	12896
South Australia	2011	55-64	Engineering and related technologies	20259
South Australia	2011	55-64	Field of study not stated	15045
South Australia	2011	55-64	Food hospitality and personal services	3845
South Australia	2011	55-64	Health	12845
South Australia	2011	55-64	Information technology	1241
South Australia	2011	55-64	Management and commerce	14355
South Australia	2011	55-64	Mixed field programmes	136
South Australia	2011	55-64	Natural and physical sciences	3011
South Australia	2011	55-64	Society and culture	12224
South Australia	2011	65-74	Agriculture environmental and related studies	841
South Australia	2011	65-74	Architecture and building	3602
South Australia	2011	65-74	Creative arts	1030
South Australia	2011	65-74	Education	6328
South Australia	2011	65-74	Engineering and related technologies	13242
South Australia	2011	65-74	Field of study not stated	14303
South Australia	2011	65-74	Food hospitality and personal services	1947
South Australia	2011	65-74	Health	5879
South Australia	2011	65-74	Information technology	248
South Australia	2011	65-74	Management and commerce	6296
South Australia	2011	65-74	Mixed field programmes	93
South Australia	2011	65-74	Natural and physical sciences	1449
South Australia	2011	65-74	Society and culture	4779
South Australia	2011	75-84	Agriculture environmental and related studies	363
South Australia	2011	75-84	Architecture and building	1922
South Australia	2011	75-84	Creative arts	418
South Australia	2011	75-84	Education	2087
South Australia	2011	75-84	Engineering and related technologies	7123
South Australia	2011	75-84	Field of study not stated	15507
South Australia	2011	75-84	Food hospitality and personal services	761
South Australia	2011	75-84	Health	2960
South Australia	2011	75-84	Information technology	25
South Australia	2011	75-84	Management and commerce	2641
South Australia	2011	75-84	Mixed field programmes	76
South Australia	2011	75-84	Natural and physical sciences	502
South Australia	2011	75-84	Society and culture	1543
South Australia	2011	85+	Agriculture environmental and related studies	107
South Australia	2011	85+	Architecture and building	544
South Australia	2011	85+	Creative arts	147
South Australia	2011	85+	Education	765
South Australia	2011	85+	Engineering and related technologies	2136
South Australia	2011	85+	Field of study not stated	9592
South Australia	2011	85+	Food hospitality and personal services	215
South Australia	2011	85+	Health	998
South Australia	2011	85+	Information technology	3
South Australia	2011	85+	Management and commerce	960
South Australia	2011	85+	Mixed field programmes	33
South Australia	2011	85+	Natural and physical sciences	157
South Australia	2011	85+	Society and culture	386
South Australia	2016	15-19	Agriculture environmental and related studies	346
South Australia	2016	15-19	Architecture and building	662
South Australia	2016	15-19	Creative arts	470
South Australia	2016	15-19	Education	135
South Australia	2016	15-19	Engineering and related technologies	930
South Australia	2016	15-19	Field of study not stated	7708
South Australia	2016	15-19	Food hospitality and personal services	1395
South Australia	2016	15-19	Health	445
South Australia	2016	15-19	Information technology	276
South Australia	2016	15-19	Management and commerce	1360
South Australia	2016	15-19	Mixed field programmes	145
South Australia	2016	15-19	Natural and physical sciences	38
South Australia	2016	15-19	Society and culture	1546
South Australia	2016	20-24	Agriculture environmental and related studies	1332
South Australia	2016	20-24	Architecture and building	3214
South Australia	2016	20-24	Creative arts	2392
South Australia	2016	20-24	Education	1980
South Australia	2016	20-24	Engineering and related technologies	6363
South Australia	2016	20-24	Field of study not stated	7670
South Australia	2016	20-24	Food hospitality and personal services	4417
South Australia	2016	20-24	Health	4846
South Australia	2016	20-24	Information technology	1191
South Australia	2016	20-24	Management and commerce	8401
South Australia	2016	20-24	Mixed field programmes	206
South Australia	2016	20-24	Natural and physical sciences	1524
South Australia	2016	20-24	Society and culture	6856
South Australia	2016	25-34	Agriculture environmental and related studies	4033
South Australia	2016	25-34	Architecture and building	8381
South Australia	2016	25-34	Creative arts	6225
South Australia	2016	25-34	Education	9796
South Australia	2016	25-34	Engineering and related technologies	21082
South Australia	2016	25-34	Field of study not stated	17332
South Australia	2016	25-34	Food hospitality and personal services	10387
South Australia	2016	25-34	Health	18393
South Australia	2016	25-34	Information technology	5495
South Australia	2016	25-34	Management and commerce	31171
South Australia	2016	25-34	Mixed field programmes	236
South Australia	2016	25-34	Natural and physical sciences	5172
South Australia	2016	25-34	Society and culture	20514
South Australia	2016	35-44	Agriculture environmental and related studies	4274
South Australia	2016	35-44	Architecture and building	6282
South Australia	2016	35-44	Creative arts	4743
South Australia	2016	35-44	Education	10224
South Australia	2016	35-44	Engineering and related technologies	20952
South Australia	2016	35-44	Field of study not stated	16379
South Australia	2016	35-44	Food hospitality and personal services	8165
South Australia	2016	35-44	Health	16237
South Australia	2016	35-44	Information technology	5064
South Australia	2016	35-44	Management and commerce	31201
South Australia	2016	35-44	Mixed field programmes	226
South Australia	2016	35-44	Natural and physical sciences	5042
South Australia	2016	35-44	Society and culture	19853
South Australia	2016	45-54	Agriculture environmental and related studies	3729
South Australia	2016	45-54	Architecture and building	6607
South Australia	2016	45-54	Creative arts	3346
South Australia	2016	45-54	Education	9970
South Australia	2016	45-54	Engineering and related technologies	23496
South Australia	2016	45-54	Field of study not stated	17571
South Australia	2016	45-54	Food hospitality and personal services	6869
South Australia	2016	45-54	Health	16852
South Australia	2016	45-54	Information technology	2940
South Australia	2016	45-54	Management and commerce	25760
South Australia	2016	45-54	Mixed field programmes	300
South Australia	2016	45-54	Natural and physical sciences	4053
South Australia	2016	45-54	Society and culture	18737
South Australia	2016	55-64	Agriculture environmental and related studies	2614
South Australia	2016	55-64	Architecture and building	6064
South Australia	2016	55-64	Creative arts	2441
South Australia	2016	55-64	Education	13080
South Australia	2016	55-64	Engineering and related technologies	21206
South Australia	2016	55-64	Field of study not stated	16626
South Australia	2016	55-64	Food hospitality and personal services	4469
South Australia	2016	55-64	Health	16790
South Australia	2016	55-64	Information technology	1773
South Australia	2016	55-64	Management and commerce	18418
South Australia	2016	55-64	Mixed field programmes	282
South Australia	2016	55-64	Natural and physical sciences	3381
South Australia	2016	55-64	Society and culture	15676
South Australia	2016	65-74	Agriculture environmental and related studies	1437
South Australia	2016	65-74	Architecture and building	4484
South Australia	2016	65-74	Creative arts	1531
South Australia	2016	65-74	Education	10060
South Australia	2016	65-74	Engineering and related technologies	17039
South Australia	2016	65-74	Field of study not stated	15430
South Australia	2016	65-74	Food hospitality and personal services	3142
South Australia	2016	65-74	Health	8789
South Australia	2016	65-74	Information technology	600
South Australia	2016	65-74	Management and commerce	10568
South Australia	2016	65-74	Mixed field programmes	386
South Australia	2016	65-74	Natural and physical sciences	2299
South Australia	2016	65-74	Society and culture	8762
South Australia	2016	75-84	Agriculture environmental and related studies	506
South Australia	2016	75-84	Architecture and building	2503
South Australia	2016	75-84	Creative arts	605
South Australia	2016	75-84	Education	3110
South Australia	2016	75-84	Engineering and related technologies	8951
South Australia	2016	75-84	Field of study not stated	12362
South Australia	2016	75-84	Food hospitality and personal services	1062
South Australia	2016	75-84	Health	3697
South Australia	2016	75-84	Information technology	92
South Australia	2016	75-84	Management and commerce	3705
South Australia	2016	75-84	Mixed field programmes	379
South Australia	2016	75-84	Natural and physical sciences	793
South Australia	2016	75-84	Society and culture	2359
South Australia	2016	85+	Agriculture environmental and related studies	196
South Australia	2016	85+	Architecture and building	774
South Australia	2016	85+	Creative arts	232
South Australia	2016	85+	Education	1090
South Australia	2016	85+	Engineering and related technologies	3037
South Australia	2016	85+	Field of study not stated	8346
South Australia	2016	85+	Food hospitality and personal services	335
South Australia	2016	85+	Health	1495
South Australia	2016	85+	Information technology	10
South Australia	2016	85+	Management and commerce	1399
South Australia	2016	85+	Mixed field programmes	187
South Australia	2016	85+	Natural and physical sciences	235
South Australia	2016	85+	Society and culture	652
Western Australia	2006	15-19	Agriculture environmental and related studies	515
Western Australia	2006	15-19	Architecture and building	633
Western Australia	2006	15-19	Creative arts	584
Western Australia	2006	15-19	Education	325
Western Australia	2006	15-19	Engineering and related technologies	1594
Western Australia	2006	15-19	Field of study not stated	17607
Western Australia	2006	15-19	Food hospitality and personal services	1604
Western Australia	2006	15-19	Health	342
Western Australia	2006	15-19	Information technology	539
Western Australia	2006	15-19	Management and commerce	2704
Western Australia	2006	15-19	Mixed field programmes	159
Western Australia	2006	15-19	Natural and physical sciences	99
Western Australia	2006	15-19	Society and culture	1373
Western Australia	2006	20-24	Agriculture environmental and related studies	1922
Western Australia	2006	20-24	Architecture and building	2807
Western Australia	2006	20-24	Creative arts	3568
Western Australia	2006	20-24	Education	2447
Western Australia	2006	20-24	Engineering and related technologies	9071
Western Australia	2006	20-24	Field of study not stated	14944
Western Australia	2006	20-24	Food hospitality and personal services	5121
Western Australia	2006	20-24	Health	3830
Western Australia	2006	20-24	Information technology	2968
Western Australia	2006	20-24	Management and commerce	13051
Western Australia	2006	20-24	Mixed field programmes	135
Western Australia	2006	20-24	Natural and physical sciences	2221
Western Australia	2006	20-24	Society and culture	6251
Western Australia	2006	25-34	Agriculture environmental and related studies	4817
Western Australia	2006	25-34	Architecture and building	7796
Western Australia	2006	25-34	Creative arts	6286
Western Australia	2006	25-34	Education	10362
Western Australia	2006	25-34	Engineering and related technologies	28402
Western Australia	2006	25-34	Field of study not stated	27624
Western Australia	2006	25-34	Food hospitality and personal services	10610
Western Australia	2006	25-34	Health	12841
Western Australia	2006	25-34	Information technology	5642
Western Australia	2006	25-34	Management and commerce	29634
Western Australia	2006	25-34	Mixed field programmes	164
Western Australia	2006	25-34	Natural and physical sciences	6736
Western Australia	2006	25-34	Society and culture	16076
Western Australia	2006	35-44	Agriculture environmental and related studies	4222
Western Australia	2006	35-44	Architecture and building	9385
Western Australia	2006	35-44	Creative arts	4513
Western Australia	2006	35-44	Education	14418
Western Australia	2006	35-44	Engineering and related technologies	34979
Western Australia	2006	35-44	Field of study not stated	30811
Western Australia	2006	35-44	Food hospitality and personal services	9896
Western Australia	2006	35-44	Health	16620
Western Australia	2006	35-44	Information technology	4182
Western Australia	2006	35-44	Management and commerce	29055
Western Australia	2006	35-44	Mixed field programmes	192
Western Australia	2006	35-44	Natural and physical sciences	6073
Western Australia	2006	35-44	Society and culture	15526
Western Australia	2006	45-54	Agriculture environmental and related studies	3100
Western Australia	2006	45-54	Architecture and building	9164
Western Australia	2006	45-54	Creative arts	3325
Western Australia	2006	45-54	Education	17366
Western Australia	2006	45-54	Engineering and related technologies	33993
Western Australia	2006	45-54	Field of study not stated	28115
Western Australia	2006	45-54	Food hospitality and personal services	6356
Western Australia	2006	45-54	Health	17493
Western Australia	2006	45-54	Information technology	2318
Western Australia	2006	45-54	Management and commerce	23187
Western Australia	2006	45-54	Mixed field programmes	190
Western Australia	2006	45-54	Natural and physical sciences	4848
Western Australia	2006	45-54	Society and culture	14751
Western Australia	2006	55-64	Agriculture environmental and related studies	1915
Western Australia	2006	55-64	Architecture and building	6924
Western Australia	2006	55-64	Creative arts	2149
Western Australia	2006	55-64	Education	10695
Western Australia	2006	55-64	Engineering and related technologies	24177
Western Australia	2006	55-64	Field of study not stated	23006
Western Australia	2006	55-64	Food hospitality and personal services	4236
Western Australia	2006	55-64	Health	10942
Western Australia	2006	55-64	Information technology	789
Western Australia	2006	55-64	Management and commerce	15259
Western Australia	2006	55-64	Mixed field programmes	154
Western Australia	2006	55-64	Natural and physical sciences	2993
Western Australia	2006	55-64	Society and culture	9193
Western Australia	2006	65-74	Agriculture environmental and related studies	930
Western Australia	2006	65-74	Architecture and building	4421
Western Australia	2006	65-74	Creative arts	965
Western Australia	2006	65-74	Education	4657
Western Australia	2006	65-74	Engineering and related technologies	12766
Western Australia	2006	65-74	Field of study not stated	19252
Western Australia	2006	65-74	Food hospitality and personal services	1540
Western Australia	2006	65-74	Health	5457
Western Australia	2006	65-74	Information technology	137
Western Australia	2006	65-74	Management and commerce	6433
Western Australia	2006	65-74	Mixed field programmes	85
Western Australia	2006	65-74	Natural and physical sciences	993
Western Australia	2006	65-74	Society and culture	3228
Western Australia	2006	75-84	Agriculture environmental and related studies	394
Western Australia	2006	75-84	Architecture and building	1877
Western Australia	2006	75-84	Creative arts	474
Western Australia	2006	75-84	Education	1860
Western Australia	2006	75-84	Engineering and related technologies	5890
Western Australia	2006	75-84	Field of study not stated	19225
Western Australia	2006	75-84	Food hospitality and personal services	764
Western Australia	2006	75-84	Health	2480
Western Australia	2006	75-84	Information technology	29
Western Australia	2006	75-84	Management and commerce	3147
Western Australia	2006	75-84	Mixed field programmes	71
Western Australia	2006	75-84	Natural and physical sciences	482
Western Australia	2006	75-84	Society and culture	1361
Western Australia	2006	85+	Agriculture environmental and related studies	74
Western Australia	2006	85+	Architecture and building	350
Western Australia	2006	85+	Creative arts	140
Western Australia	2006	85+	Education	571
Western Australia	2006	85+	Engineering and related technologies	1198
Western Australia	2006	85+	Field of study not stated	8384
Western Australia	2006	85+	Food hospitality and personal services	219
Western Australia	2006	85+	Health	691
Western Australia	2006	85+	Information technology	3
Western Australia	2006	85+	Management and commerce	784
Western Australia	2006	85+	Mixed field programmes	22
Western Australia	2006	85+	Natural and physical sciences	95
Western Australia	2006	85+	Society and culture	267
Western Australia	2011	15-19	Agriculture environmental and related studies	521
Western Australia	2011	15-19	Architecture and building	1185
Western Australia	2011	15-19	Creative arts	861
Western Australia	2011	15-19	Education	451
Western Australia	2011	15-19	Engineering and related technologies	2185
Western Australia	2011	15-19	Field of study not stated	14965
Western Australia	2011	15-19	Food hospitality and personal services	1819
Western Australia	2011	15-19	Health	509
Western Australia	2011	15-19	Information technology	695
Western Australia	2011	15-19	Management and commerce	2764
Western Australia	2011	15-19	Mixed field programmes	191
Western Australia	2011	15-19	Natural and physical sciences	103
Western Australia	2011	15-19	Society and culture	1720
Western Australia	2011	20-24	Agriculture environmental and related studies	1703
Western Australia	2011	20-24	Architecture and building	5704
Western Australia	2011	20-24	Creative arts	4083
Western Australia	2011	20-24	Education	2889
Western Australia	2011	20-24	Engineering and related technologies	13167
Western Australia	2011	20-24	Field of study not stated	15802
Western Australia	2011	20-24	Food hospitality and personal services	6756
Western Australia	2011	20-24	Health	5632
Western Australia	2011	20-24	Information technology	2001
Western Australia	2011	20-24	Management and commerce	14030
Western Australia	2011	20-24	Mixed field programmes	220
Western Australia	2011	20-24	Natural and physical sciences	2548
Western Australia	2011	20-24	Society and culture	7800
Western Australia	2011	25-34	Agriculture environmental and related studies	5706
Western Australia	2011	25-34	Architecture and building	11940
Western Australia	2011	25-34	Creative arts	8925
Western Australia	2011	25-34	Education	12950
Western Australia	2011	25-34	Engineering and related technologies	38589
Western Australia	2011	25-34	Field of study not stated	33658
Western Australia	2011	25-34	Food hospitality and personal services	13719
Western Australia	2011	25-34	Health	18938
Western Australia	2011	25-34	Information technology	8244
Western Australia	2011	25-34	Management and commerce	42035
Western Australia	2011	25-34	Mixed field programmes	197
Western Australia	2011	25-34	Natural and physical sciences	8603
Western Australia	2011	25-34	Society and culture	22244
Western Australia	2011	35-44	Agriculture environmental and related studies	5117
Western Australia	2011	35-44	Architecture and building	11286
Western Australia	2011	35-44	Creative arts	6002
Western Australia	2011	35-44	Education	16844
Western Australia	2011	35-44	Engineering and related technologies	40142
Western Australia	2011	35-44	Field of study not stated	31806
Western Australia	2011	35-44	Food hospitality and personal services	12314
Western Australia	2011	35-44	Health	19618
Western Australia	2011	35-44	Information technology	5629
Western Australia	2011	35-44	Management and commerce	39271
Western Australia	2011	35-44	Mixed field programmes	189
Western Australia	2011	35-44	Natural and physical sciences	7887
Western Australia	2011	35-44	Society and culture	20983
Western Australia	2011	45-54	Agriculture environmental and related studies	3929
Western Australia	2011	45-54	Architecture and building	10872
Western Australia	2011	45-54	Creative arts	3875
Western Australia	2011	45-54	Education	18060
Western Australia	2011	45-54	Engineering and related technologies	39547
Western Australia	2011	45-54	Field of study not stated	28312
Western Australia	2011	45-54	Food hospitality and personal services	8305
Western Australia	2011	45-54	Health	20243
Western Australia	2011	45-54	Information technology	3431
Western Australia	2011	45-54	Management and commerce	30532
Western Australia	2011	45-54	Mixed field programmes	194
Western Australia	2011	45-54	Natural and physical sciences	6073
Western Australia	2011	45-54	Society and culture	18019
Western Australia	2011	55-64	Agriculture environmental and related studies	2544
Western Australia	2011	55-64	Architecture and building	8511
Western Australia	2011	55-64	Creative arts	2826
Western Australia	2011	55-64	Education	15148
Western Australia	2011	55-64	Engineering and related technologies	30442
Western Australia	2011	55-64	Field of study not stated	23512
Western Australia	2011	55-64	Food hospitality and personal services	5224
Western Australia	2011	55-64	Health	14495
Western Australia	2011	55-64	Information technology	1420
Western Australia	2011	55-64	Management and commerce	20576
Western Australia	2011	55-64	Mixed field programmes	189
Western Australia	2011	55-64	Natural and physical sciences	4066
Western Australia	2011	55-64	Society and culture	13551
Western Australia	2011	65-74	Agriculture environmental and related studies	1296
Western Australia	2011	65-74	Architecture and building	5191
Western Australia	2011	65-74	Creative arts	1361
Western Australia	2011	65-74	Education	7084
Western Australia	2011	65-74	Engineering and related technologies	16378
Western Australia	2011	65-74	Field of study not stated	17896
Western Australia	2011	65-74	Food hospitality and personal services	2508
Western Australia	2011	65-74	Health	7602
Western Australia	2011	65-74	Information technology	305
Western Australia	2011	65-74	Management and commerce	9630
Western Australia	2011	65-74	Mixed field programmes	141
Western Australia	2011	65-74	Natural and physical sciences	1814
Western Australia	2011	65-74	Society and culture	5302
Western Australia	2011	75-84	Agriculture environmental and related studies	548
Western Australia	2011	75-84	Architecture and building	2448
Western Australia	2011	75-84	Creative arts	563
Western Australia	2011	75-84	Education	2616
Western Australia	2011	75-84	Engineering and related technologies	7293
Western Australia	2011	75-84	Field of study not stated	16729
Western Australia	2011	75-84	Food hospitality and personal services	899
Western Australia	2011	75-84	Health	3390
Western Australia	2011	75-84	Information technology	28
Western Australia	2011	75-84	Management and commerce	3757
Western Australia	2011	75-84	Mixed field programmes	74
Western Australia	2011	75-84	Natural and physical sciences	630
Western Australia	2011	75-84	Society and culture	1805
Western Australia	2011	85+	Agriculture environmental and related studies	109
Western Australia	2011	85+	Architecture and building	554
Western Australia	2011	85+	Creative arts	169
Western Australia	2011	85+	Education	835
Western Australia	2011	85+	Engineering and related technologies	1876
Western Australia	2011	85+	Field of study not stated	9238
Western Australia	2011	85+	Food hospitality and personal services	245
Western Australia	2011	85+	Health	970
Western Australia	2011	85+	Information technology	6
Western Australia	2011	85+	Management and commerce	1207
Western Australia	2011	85+	Mixed field programmes	44
Western Australia	2011	85+	Natural and physical sciences	175
Western Australia	2011	85+	Society and culture	400
Western Australia	2016	15-19	Agriculture environmental and related studies	443
Western Australia	2016	15-19	Architecture and building	993
Western Australia	2016	15-19	Creative arts	1093
Western Australia	2016	15-19	Education	514
Western Australia	2016	15-19	Engineering and related technologies	2019
Western Australia	2016	15-19	Field of study not stated	12836
Western Australia	2016	15-19	Food hospitality and personal services	1832
Western Australia	2016	15-19	Health	904
Western Australia	2016	15-19	Information technology	593
Western Australia	2016	15-19	Management and commerce	2787
Western Australia	2016	15-19	Mixed field programmes	331
Western Australia	2016	15-19	Natural and physical sciences	124
Western Australia	2016	15-19	Society and culture	2245
Western Australia	2016	20-24	Agriculture environmental and related studies	1606
Western Australia	2016	20-24	Architecture and building	5238
Western Australia	2016	20-24	Creative arts	4438
Western Australia	2016	20-24	Education	3332
Western Australia	2016	20-24	Engineering and related technologies	13773
Western Australia	2016	20-24	Field of study not stated	15129
Western Australia	2016	20-24	Food hospitality and personal services	6204
Western Australia	2016	20-24	Health	7091
Western Australia	2016	20-24	Information technology	2103
Western Australia	2016	20-24	Management and commerce	13363
Western Australia	2016	20-24	Mixed field programmes	357
Western Australia	2016	20-24	Natural and physical sciences	3521
Western Australia	2016	20-24	Society and culture	8919
Western Australia	2016	25-34	Agriculture environmental and related studies	5476
Western Australia	2016	25-34	Architecture and building	16800
Western Australia	2016	25-34	Creative arts	10623
Western Australia	2016	25-34	Education	15547
Western Australia	2016	25-34	Engineering and related technologies	48164
Western Australia	2016	25-34	Field of study not stated	40423
Western Australia	2016	25-34	Food hospitality and personal services	17634
Western Australia	2016	25-34	Health	27455
Western Australia	2016	25-34	Information technology	8534
Western Australia	2016	25-34	Management and commerce	51537
Western Australia	2016	25-34	Mixed field programmes	424
Western Australia	2016	25-34	Natural and physical sciences	10141
Western Australia	2016	25-34	Society and culture	28693
Western Australia	2016	35-44	Agriculture environmental and related studies	5810
Western Australia	2016	35-44	Architecture and building	12659
Western Australia	2016	35-44	Creative arts	7459
Western Australia	2016	35-44	Education	18738
Western Australia	2016	35-44	Engineering and related technologies	45029
Western Australia	2016	35-44	Field of study not stated	33909
Western Australia	2016	35-44	Food hospitality and personal services	13154
Western Australia	2016	35-44	Health	23599
Western Australia	2016	35-44	Information technology	8032
Western Australia	2016	35-44	Management and commerce	48591
Western Australia	2016	35-44	Mixed field programmes	352
Western Australia	2016	35-44	Natural and physical sciences	9305
Western Australia	2016	35-44	Society and culture	26323
Western Australia	2016	45-54	Agriculture environmental and related studies	4704
Western Australia	2016	45-54	Architecture and building	11849
Western Australia	2016	45-54	Creative arts	4863
Western Australia	2016	45-54	Education	19642
Western Australia	2016	45-54	Engineering and related technologies	42311
Western Australia	2016	45-54	Field of study not stated	32002
Western Australia	2016	45-54	Food hospitality and personal services	10645
Western Australia	2016	45-54	Health	22154
Western Australia	2016	45-54	Information technology	4491
Western Australia	2016	45-54	Management and commerce	39735
Western Australia	2016	45-54	Mixed field programmes	333
Western Australia	2016	45-54	Natural and physical sciences	7256
Western Australia	2016	45-54	Society and culture	21997
Western Australia	2016	55-64	Agriculture environmental and related studies	3298
Western Australia	2016	55-64	Architecture and building	9455
Western Australia	2016	55-64	Creative arts	3276
Western Australia	2016	55-64	Education	18417
Western Australia	2016	55-64	Engineering and related technologies	34531
Western Australia	2016	55-64	Field of study not stated	26497
Western Australia	2016	55-64	Food hospitality and personal services	6465
Western Australia	2016	55-64	Health	18818
Western Australia	2016	55-64	Information technology	2185
Western Australia	2016	55-64	Management and commerce	26156
Western Australia	2016	55-64	Mixed field programmes	382
Western Australia	2016	55-64	Natural and physical sciences	5031
Western Australia	2016	55-64	Society and culture	17649
Western Australia	2016	65-74	Agriculture environmental and related studies	1929
Western Australia	2016	65-74	Architecture and building	6320
Western Australia	2016	65-74	Creative arts	2076
Western Australia	2016	65-74	Education	10249
Western Australia	2016	65-74	Engineering and related technologies	22432
Western Australia	2016	65-74	Field of study not stated	21076
Western Australia	2016	65-74	Food hospitality and personal services	3944
Western Australia	2016	65-74	Health	10726
Western Australia	2016	65-74	Information technology	695
Western Australia	2016	65-74	Management and commerce	15216
Western Australia	2016	65-74	Mixed field programmes	482
Western Australia	2016	65-74	Natural and physical sciences	2979
Western Australia	2016	65-74	Society and culture	9259
Western Australia	2016	75-84	Agriculture environmental and related studies	822
Western Australia	2016	75-84	Architecture and building	3377
Western Australia	2016	75-84	Creative arts	832
Western Australia	2016	75-84	Education	4070
Western Australia	2016	75-84	Engineering and related technologies	10053
Western Australia	2016	75-84	Field of study not stated	16611
Western Australia	2016	75-84	Food hospitality and personal services	1284
Western Australia	2016	75-84	Health	4882
Western Australia	2016	75-84	Information technology	106
Western Australia	2016	75-84	Management and commerce	5628
Western Australia	2016	75-84	Mixed field programmes	416
Western Australia	2016	75-84	Natural and physical sciences	898
Western Australia	2016	75-84	Society and culture	2663
Western Australia	2016	85+	Agriculture environmental and related studies	210
Western Australia	2016	85+	Architecture and building	825
Western Australia	2016	85+	Creative arts	269
Western Australia	2016	85+	Education	1086
Western Australia	2016	85+	Engineering and related technologies	2662
Western Australia	2016	85+	Field of study not stated	10620
Western Australia	2016	85+	Food hospitality and personal services	431
Western Australia	2016	85+	Health	1509
Western Australia	2016	85+	Information technology	7
Western Australia	2016	85+	Management and commerce	1758
Western Australia	2016	85+	Mixed field programmes	147
Western Australia	2016	85+	Natural and physical sciences	285
Western Australia	2016	85+	Society and culture	688
Tasmania	2006	15-19	Agriculture environmental and related studies	104
Tasmania	2006	15-19	Architecture and building	153
Tasmania	2006	15-19	Creative arts	70
Tasmania	2006	15-19	Education	17
Tasmania	2006	15-19	Engineering and related technologies	262
Tasmania	2006	15-19	Field of study not stated	3844
Tasmania	2006	15-19	Food hospitality and personal services	434
Tasmania	2006	15-19	Health	42
Tasmania	2006	15-19	Information technology	89
Tasmania	2006	15-19	Management and commerce	519
Tasmania	2006	15-19	Mixed field programmes	33
Tasmania	2006	15-19	Natural and physical sciences	8
Tasmania	2006	15-19	Society and culture	198
Tasmania	2006	20-24	Agriculture environmental and related studies	490
Tasmania	2006	20-24	Architecture and building	610
Tasmania	2006	20-24	Creative arts	473
Tasmania	2006	20-24	Education	429
Tasmania	2006	20-24	Engineering and related technologies	1487
Tasmania	2006	20-24	Field of study not stated	2487
Tasmania	2006	20-24	Food hospitality and personal services	1444
Tasmania	2006	20-24	Health	647
Tasmania	2006	20-24	Information technology	679
Tasmania	2006	20-24	Management and commerce	2757
Tasmania	2006	20-24	Mixed field programmes	20
Tasmania	2006	20-24	Natural and physical sciences	331
Tasmania	2006	20-24	Society and culture	1272
Tasmania	2006	25-34	Agriculture environmental and related studies	1443
Tasmania	2006	25-34	Architecture and building	1694
Tasmania	2006	25-34	Creative arts	1003
Tasmania	2006	25-34	Education	1972
Tasmania	2006	25-34	Engineering and related technologies	4765
Tasmania	2006	25-34	Field of study not stated	4356
Tasmania	2006	25-34	Food hospitality and personal services	2602
Tasmania	2006	25-34	Health	2228
Tasmania	2006	25-34	Information technology	965
Tasmania	2006	25-34	Management and commerce	5137
Tasmania	2006	25-34	Mixed field programmes	22
Tasmania	2006	25-34	Natural and physical sciences	1073
Tasmania	2006	25-34	Society and culture	3346
Tasmania	2006	35-44	Agriculture environmental and related studies	1399
Tasmania	2006	35-44	Architecture and building	2428
Tasmania	2006	35-44	Creative arts	1002
Tasmania	2006	35-44	Education	2617
Tasmania	2006	35-44	Engineering and related technologies	6409
Tasmania	2006	35-44	Field of study not stated	5573
Tasmania	2006	35-44	Food hospitality and personal services	2300
Tasmania	2006	35-44	Health	3522
Tasmania	2006	35-44	Information technology	667
Tasmania	2006	35-44	Management and commerce	5136
Tasmania	2006	35-44	Mixed field programmes	31
Tasmania	2006	35-44	Natural and physical sciences	1116
Tasmania	2006	35-44	Society and culture	3906
Tasmania	2006	45-54	Agriculture environmental and related studies	972
Tasmania	2006	45-54	Architecture and building	2734
Tasmania	2006	45-54	Creative arts	901
Tasmania	2006	45-54	Education	4224
Tasmania	2006	45-54	Engineering and related technologies	6604
Tasmania	2006	45-54	Field of study not stated	5734
Tasmania	2006	45-54	Food hospitality and personal services	1542
Tasmania	2006	45-54	Health	4449
Tasmania	2006	45-54	Information technology	489
Tasmania	2006	45-54	Management and commerce	4735
Tasmania	2006	45-54	Mixed field programmes	43
Tasmania	2006	45-54	Natural and physical sciences	1010
Tasmania	2006	45-54	Society and culture	4172
Tasmania	2006	55-64	Agriculture environmental and related studies	556
Tasmania	2006	55-64	Architecture and building	1886
Tasmania	2006	55-64	Creative arts	705
Tasmania	2006	55-64	Education	3238
Tasmania	2006	55-64	Engineering and related technologies	5056
Tasmania	2006	55-64	Field of study not stated	5633
Tasmania	2006	55-64	Food hospitality and personal services	1075
Tasmania	2006	55-64	Health	2967
Tasmania	2006	55-64	Information technology	213
Tasmania	2006	55-64	Management and commerce	3044
Tasmania	2006	55-64	Mixed field programmes	38
Tasmania	2006	55-64	Natural and physical sciences	753
Tasmania	2006	55-64	Society and culture	2511
Tasmania	2006	65-74	Agriculture environmental and related studies	259
Tasmania	2006	65-74	Architecture and building	1121
Tasmania	2006	65-74	Creative arts	300
Tasmania	2006	65-74	Education	1758
Tasmania	2006	65-74	Engineering and related technologies	3176
Tasmania	2006	65-74	Field of study not stated	5848
Tasmania	2006	65-74	Food hospitality and personal services	379
Tasmania	2006	65-74	Health	1550
Tasmania	2006	65-74	Information technology	42
Tasmania	2006	65-74	Management and commerce	1233
Tasmania	2006	65-74	Mixed field programmes	27
Tasmania	2006	65-74	Natural and physical sciences	294
Tasmania	2006	65-74	Society and culture	830
Tasmania	2006	75-84	Agriculture environmental and related studies	145
Tasmania	2006	75-84	Architecture and building	535
Tasmania	2006	75-84	Creative arts	159
