STE_NAME16	Year	Age	NonSchoolQualification	adults
Tasmania	2006	75-84	Graduate Diploma and Graduate Certificate	98
Tasmania	2006	75-84	Postgraduate	202
Tasmania	2006	85+		2726
Tasmania	2006	85+	Certificate nfd	67
Tasmania	2006	85+	Certificate I and II Level	12
Tasmania	2006	85+	Certificate III and IV Level	435
Tasmania	2006	85+	Advanced Diploma and Diploma	290
Tasmania	2006	85+	Bachelor	220
Tasmania	2006	85+	Graduate Diploma and Graduate Certificate	15
Tasmania	2006	85+	Postgraduate	48
Tasmania	2011	15-19		3042
Tasmania	2011	15-19	Certificate nfd	95
Tasmania	2011	15-19	Certificate I and II Level	714
Tasmania	2011	15-19	Certificate III and IV Level	1480
Tasmania	2011	15-19	Advanced Diploma and Diploma	62
Tasmania	2011	15-19	Bachelor	10
Tasmania	2011	15-19	Graduate Diploma and Graduate Certificate	0
Tasmania	2011	15-19	Postgraduate	0
Tasmania	2011	20-24		2134
Tasmania	2011	20-24	Certificate nfd	306
Tasmania	2011	20-24	Certificate I and II Level	1183
Tasmania	2011	20-24	Certificate III and IV Level	6408
Tasmania	2011	20-24	Advanced Diploma and Diploma	870
Tasmania	2011	20-24	Bachelor	2527
Tasmania	2011	20-24	Graduate Diploma and Graduate Certificate	107
Tasmania	2011	20-24	Postgraduate	112
Tasmania	2011	25-34		3937
Tasmania	2011	25-34	Certificate nfd	669
Tasmania	2011	25-34	Certificate I and II Level	1652
Tasmania	2011	25-34	Certificate III and IV Level	13280
Tasmania	2011	25-34	Advanced Diploma and Diploma	3280
Tasmania	2011	25-34	Bachelor	9796
Tasmania	2011	25-34	Graduate Diploma and Graduate Certificate	932
Tasmania	2011	25-34	Postgraduate	1608
Tasmania	2011	35-44		4749
Tasmania	2011	35-44	Certificate nfd	955
Tasmania	2011	35-44	Certificate I and II Level	989
Tasmania	2011	35-44	Certificate III and IV Level	13958
Tasmania	2011	35-44	Advanced Diploma and Diploma	5516
Tasmania	2011	35-44	Bachelor	9235
Tasmania	2011	35-44	Graduate Diploma and Graduate Certificate	1431
Tasmania	2011	35-44	Postgraduate	2121
Tasmania	2011	45-54		5703
Tasmania	2011	45-54	Certificate nfd	1171
Tasmania	2011	45-54	Certificate I and II Level	915
Tasmania	2011	45-54	Certificate III and IV Level	14473
Tasmania	2011	45-54	Advanced Diploma and Diploma	6169
Tasmania	2011	45-54	Bachelor	8374
Tasmania	2011	45-54	Graduate Diploma and Graduate Certificate	1543
Tasmania	2011	45-54	Postgraduate	2295
Tasmania	2011	55-64		6555
Tasmania	2011	55-64	Certificate nfd	1116
Tasmania	2011	55-64	Certificate I and II Level	536
Tasmania	2011	55-64	Certificate III and IV Level	10719
Tasmania	2011	55-64	Advanced Diploma and Diploma	5690
Tasmania	2011	55-64	Bachelor	6930
Tasmania	2011	55-64	Graduate Diploma and Graduate Certificate	1352
Tasmania	2011	55-64	Postgraduate	2064
Tasmania	2011	65-74		6513
Tasmania	2011	65-74	Certificate nfd	605
Tasmania	2011	65-74	Certificate I and II Level	232
Tasmania	2011	65-74	Certificate III and IV Level	5839
Tasmania	2011	65-74	Advanced Diploma and Diploma	3234
Tasmania	2011	65-74	Bachelor	3076
Tasmania	2011	65-74	Graduate Diploma and Graduate Certificate	439
Tasmania	2011	65-74	Postgraduate	974
Tasmania	2011	75-84		5790
Tasmania	2011	75-84	Certificate nfd	262
Tasmania	2011	75-84	Certificate I and II Level	88
Tasmania	2011	75-84	Certificate III and IV Level	2534
Tasmania	2011	75-84	Advanced Diploma and Diploma	1363
Tasmania	2011	75-84	Bachelor	1189
Tasmania	2011	75-84	Graduate Diploma and Graduate Certificate	133
Tasmania	2011	75-84	Postgraduate	297
Tasmania	2011	85+		2746
Tasmania	2011	85+	Certificate nfd	101
Tasmania	2011	85+	Certificate I and II Level	33
Tasmania	2011	85+	Certificate III and IV Level	670
Tasmania	2011	85+	Advanced Diploma and Diploma	423
Tasmania	2011	85+	Bachelor	386
Tasmania	2011	85+	Graduate Diploma and Graduate Certificate	33
Tasmania	2011	85+	Postgraduate	70
Tasmania	2016	15-19		3073
Tasmania	2016	15-19	Certificate nfd	192
Tasmania	2016	15-19	Certificate I and II Level	621
Tasmania	2016	15-19	Certificate III and IV Level	1171
Tasmania	2016	15-19	Advanced Diploma and Diploma	77
Tasmania	2016	15-19	Bachelor	13
Tasmania	2016	15-19	Graduate Diploma and Graduate Certificate	10
Tasmania	2016	15-19	Postgraduate	3
Tasmania	2016	20-24		2431
Tasmania	2016	20-24	Certificate nfd	492
Tasmania	2016	20-24	Certificate I and II Level	1254
Tasmania	2016	20-24	Certificate III and IV Level	6228
Tasmania	2016	20-24	Advanced Diploma and Diploma	993
Tasmania	2016	20-24	Bachelor	2534
Tasmania	2016	20-24	Graduate Diploma and Graduate Certificate	126
Tasmania	2016	20-24	Postgraduate	145
Tasmania	2016	25-34		4867
Tasmania	2016	25-34	Certificate nfd	1052
Tasmania	2016	25-34	Certificate I and II Level	1588
Tasmania	2016	25-34	Certificate III and IV Level	14633
Tasmania	2016	25-34	Advanced Diploma and Diploma	3905
Tasmania	2016	25-34	Bachelor	10304
Tasmania	2016	25-34	Graduate Diploma and Graduate Certificate	1168
Tasmania	2016	25-34	Postgraduate	2728
Tasmania	2016	35-44		4897
Tasmania	2016	35-44	Certificate nfd	1370
Tasmania	2016	35-44	Certificate I and II Level	1069
Tasmania	2016	35-44	Certificate III and IV Level	13222
Tasmania	2016	35-44	Advanced Diploma and Diploma	5568
Tasmania	2016	35-44	Bachelor	10076
Tasmania	2016	35-44	Graduate Diploma and Graduate Certificate	1480
Tasmania	2016	35-44	Postgraduate	2923
Tasmania	2016	45-54		6258
Tasmania	2016	45-54	Certificate nfd	1637
Tasmania	2016	45-54	Certificate I and II Level	904
Tasmania	2016	45-54	Certificate III and IV Level	14337
Tasmania	2016	45-54	Advanced Diploma and Diploma	6892
Tasmania	2016	45-54	Bachelor	8412
Tasmania	2016	45-54	Graduate Diploma and Graduate Certificate	1824
Tasmania	2016	45-54	Postgraduate	2796
Tasmania	2016	55-64		7255
Tasmania	2016	55-64	Certificate nfd	1821
Tasmania	2016	55-64	Certificate I and II Level	709
Tasmania	2016	55-64	Certificate III and IV Level	12953
Tasmania	2016	55-64	Advanced Diploma and Diploma	6707
Tasmania	2016	55-64	Bachelor	8287
Tasmania	2016	55-64	Graduate Diploma and Graduate Certificate	1710
Tasmania	2016	55-64	Postgraduate	2549
Tasmania	2016	65-74		7856
Tasmania	2016	65-74	Certificate nfd	1263
Tasmania	2016	65-74	Certificate I and II Level	373
Tasmania	2016	65-74	Certificate III and IV Level	7475
Tasmania	2016	65-74	Advanced Diploma and Diploma	4775
Tasmania	2016	65-74	Bachelor	5053
Tasmania	2016	65-74	Graduate Diploma and Graduate Certificate	934
Tasmania	2016	65-74	Postgraduate	1690
Tasmania	2016	75-84		5730
Tasmania	2016	75-84	Certificate nfd	589
Tasmania	2016	75-84	Certificate I and II Level	107
Tasmania	2016	75-84	Certificate III and IV Level	3348
Tasmania	2016	75-84	Advanced Diploma and Diploma	2002
Tasmania	2016	75-84	Bachelor	1656
Tasmania	2016	75-84	Graduate Diploma and Graduate Certificate	224
Tasmania	2016	75-84	Postgraduate	455
Tasmania	2016	85+		2657
Tasmania	2016	85+	Certificate nfd	216
Tasmania	2016	85+	Certificate I and II Level	41
Tasmania	2016	85+	Certificate III and IV Level	900
Tasmania	2016	85+	Advanced Diploma and Diploma	572
Tasmania	2016	85+	Bachelor	585
Tasmania	2016	85+	Graduate Diploma and Graduate Certificate	44
Tasmania	2016	85+	Postgraduate	118
Northern Territory	2006	15-19		2704
Northern Territory	2006	15-19	Certificate nfd	62
Northern Territory	2006	15-19	Certificate I and II Level	279
Northern Territory	2006	15-19	Certificate III and IV Level	442
Northern Territory	2006	15-19	Advanced Diploma and Diploma	20
Northern Territory	2006	15-19	Bachelor	4
Northern Territory	2006	15-19	Graduate Diploma and Graduate Certificate	3
Northern Territory	2006	15-19	Postgraduate	0
Northern Territory	2006	20-24		2513
Northern Territory	2006	20-24	Certificate nfd	188
Northern Territory	2006	20-24	Certificate I and II Level	522
Northern Territory	2006	20-24	Certificate III and IV Level	2054
Northern Territory	2006	20-24	Advanced Diploma and Diploma	439
Northern Territory	2006	20-24	Bachelor	908
Northern Territory	2006	20-24	Graduate Diploma and Graduate Certificate	26
Northern Territory	2006	20-24	Postgraduate	22
Northern Territory	2006	25-34		5125
Northern Territory	2006	25-34	Certificate nfd	490
Northern Territory	2006	25-34	Certificate I and II Level	647
Northern Territory	2006	25-34	Certificate III and IV Level	5267
Northern Territory	2006	25-34	Advanced Diploma and Diploma	1875
Northern Territory	2006	25-34	Bachelor	4156
Northern Territory	2006	25-34	Graduate Diploma and Graduate Certificate	475
Northern Territory	2006	25-34	Postgraduate	428
Northern Territory	2006	35-44		5080
Northern Territory	2006	35-44	Certificate nfd	502
Northern Territory	2006	35-44	Certificate I and II Level	401
Northern Territory	2006	35-44	Certificate III and IV Level	5322
Northern Territory	2006	35-44	Advanced Diploma and Diploma	2402
Northern Territory	2006	35-44	Bachelor	3209
Northern Territory	2006	35-44	Graduate Diploma and Graduate Certificate	636
Northern Territory	2006	35-44	Postgraduate	852
Northern Territory	2006	45-54		4489
Northern Territory	2006	45-54	Certificate nfd	421
Northern Territory	2006	45-54	Certificate I and II Level	320
Northern Territory	2006	45-54	Certificate III and IV Level	4022
Northern Territory	2006	45-54	Advanced Diploma and Diploma	2092
Northern Territory	2006	45-54	Bachelor	2691
Northern Territory	2006	45-54	Graduate Diploma and Graduate Certificate	676
Northern Territory	2006	45-54	Postgraduate	860
Northern Territory	2006	55-64		2841
Northern Territory	2006	55-64	Certificate nfd	238
Northern Territory	2006	55-64	Certificate I and II Level	132
Northern Territory	2006	55-64	Certificate III and IV Level	2555
Northern Territory	2006	55-64	Advanced Diploma and Diploma	1228
Northern Territory	2006	55-64	Bachelor	1454
Northern Territory	2006	55-64	Graduate Diploma and Graduate Certificate	311
Northern Territory	2006	55-64	Postgraduate	564
Northern Territory	2006	65-74		1338
Northern Territory	2006	65-74	Certificate nfd	61
Northern Territory	2006	65-74	Certificate I and II Level	26
Northern Territory	2006	65-74	Certificate III and IV Level	824
Northern Territory	2006	65-74	Advanced Diploma and Diploma	327
Northern Territory	2006	65-74	Bachelor	368
Northern Territory	2006	65-74	Graduate Diploma and Graduate Certificate	63
Northern Territory	2006	65-74	Postgraduate	119
Northern Territory	2006	75-84		641
Northern Territory	2006	75-84	Certificate nfd	8
Northern Territory	2006	75-84	Certificate I and II Level	4
Northern Territory	2006	75-84	Certificate III and IV Level	218
Northern Territory	2006	75-84	Advanced Diploma and Diploma	80
Northern Territory	2006	75-84	Bachelor	101
Northern Territory	2006	75-84	Graduate Diploma and Graduate Certificate	8
Northern Territory	2006	75-84	Postgraduate	23
Northern Territory	2006	85+		162
Northern Territory	2006	85+	Certificate nfd	5
Northern Territory	2006	85+	Certificate I and II Level	0
Northern Territory	2006	85+	Certificate III and IV Level	26
Northern Territory	2006	85+	Advanced Diploma and Diploma	14
Northern Territory	2006	85+	Bachelor	23
Northern Territory	2006	85+	Graduate Diploma and Graduate Certificate	4
Northern Territory	2006	85+	Postgraduate	0
Northern Territory	2011	15-19		2587
Northern Territory	2011	15-19	Certificate nfd	47
Northern Territory	2011	15-19	Certificate I and II Level	288
Northern Territory	2011	15-19	Certificate III and IV Level	589
Northern Territory	2011	15-19	Advanced Diploma and Diploma	36
Northern Territory	2011	15-19	Bachelor	15
Northern Territory	2011	15-19	Graduate Diploma and Graduate Certificate	0
Northern Territory	2011	15-19	Postgraduate	0
Northern Territory	2011	20-24		2663
Northern Territory	2011	20-24	Certificate nfd	139
Northern Territory	2011	20-24	Certificate I and II Level	521
Northern Territory	2011	20-24	Certificate III and IV Level	2747
Northern Territory	2011	20-24	Advanced Diploma and Diploma	527
Northern Territory	2011	20-24	Bachelor	1108
Northern Territory	2011	20-24	Graduate Diploma and Graduate Certificate	40
Northern Territory	2011	20-24	Postgraduate	50
Northern Territory	2011	25-34		5799
Northern Territory	2011	25-34	Certificate nfd	356
Northern Territory	2011	25-34	Certificate I and II Level	817
Northern Territory	2011	25-34	Certificate III and IV Level	6665
Northern Territory	2011	25-34	Advanced Diploma and Diploma	2280
Northern Territory	2011	25-34	Bachelor	5702
Northern Territory	2011	25-34	Graduate Diploma and Graduate Certificate	615
Northern Territory	2011	25-34	Postgraduate	1010
Northern Territory	2011	35-44		5169
Northern Territory	2011	35-44	Certificate nfd	461
Northern Territory	2011	35-44	Certificate I and II Level	548
Northern Territory	2011	35-44	Certificate III and IV Level	6154
Northern Territory	2011	35-44	Advanced Diploma and Diploma	2824
Northern Territory	2011	35-44	Bachelor	4173
Northern Territory	2011	35-44	Graduate Diploma and Graduate Certificate	792
Northern Territory	2011	35-44	Postgraduate	1077
Northern Territory	2011	45-54		4357
Northern Territory	2011	45-54	Certificate nfd	369
Northern Territory	2011	45-54	Certificate I and II Level	390
Northern Territory	2011	45-54	Certificate III and IV Level	5210
Northern Territory	2011	45-54	Advanced Diploma and Diploma	2537
Northern Territory	2011	45-54	Bachelor	3037
Northern Territory	2011	45-54	Graduate Diploma and Graduate Certificate	812
Northern Territory	2011	45-54	Postgraduate	1069
Northern Territory	2011	55-64		3237
Northern Territory	2011	55-64	Certificate nfd	267
Northern Territory	2011	55-64	Certificate I and II Level	201
Northern Territory	2011	55-64	Certificate III and IV Level	3274
Northern Territory	2011	55-64	Advanced Diploma and Diploma	1745
Northern Territory	2011	55-64	Bachelor	2138
Northern Territory	2011	55-64	Graduate Diploma and Graduate Certificate	542
Northern Territory	2011	55-64	Postgraduate	811
Northern Territory	2011	65-74		1643
Northern Territory	2011	65-74	Certificate nfd	109
Northern Territory	2011	65-74	Certificate I and II Level	55
Northern Territory	2011	65-74	Certificate III and IV Level	1197
Northern Territory	2011	65-74	Advanced Diploma and Diploma	553
Northern Territory	2011	65-74	Bachelor	614
Northern Territory	2011	65-74	Graduate Diploma and Graduate Certificate	102
Northern Territory	2011	65-74	Postgraduate	260
Northern Territory	2011	75-84		758
Northern Territory	2011	75-84	Certificate nfd	17
Northern Territory	2011	75-84	Certificate I and II Level	17
Northern Territory	2011	75-84	Certificate III and IV Level	282
Northern Territory	2011	75-84	Advanced Diploma and Diploma	124
Northern Territory	2011	75-84	Bachelor	128
Northern Territory	2011	75-84	Graduate Diploma and Graduate Certificate	15
Northern Territory	2011	75-84	Postgraduate	25
Northern Territory	2011	85+		228
Northern Territory	2011	85+	Certificate nfd	4
Northern Territory	2011	85+	Certificate I and II Level	0
Northern Territory	2011	85+	Certificate III and IV Level	32
Northern Territory	2011	85+	Advanced Diploma and Diploma	24
Northern Territory	2011	85+	Bachelor	26
Northern Territory	2011	85+	Graduate Diploma and Graduate Certificate	5
Northern Territory	2011	85+	Postgraduate	9
Northern Territory	2016	15-19		2664
Northern Territory	2016	15-19	Certificate nfd	92
Northern Territory	2016	15-19	Certificate I and II Level	317
Northern Territory	2016	15-19	Certificate III and IV Level	573
Northern Territory	2016	15-19	Advanced Diploma and Diploma	31
Northern Territory	2016	15-19	Bachelor	9
Northern Territory	2016	15-19	Graduate Diploma and Graduate Certificate	0
Northern Territory	2016	15-19	Postgraduate	3
Northern Territory	2016	20-24		3250
Northern Territory	2016	20-24	Certificate nfd	240
Northern Territory	2016	20-24	Certificate I and II Level	437
Northern Territory	2016	20-24	Certificate III and IV Level	2644
Northern Territory	2016	20-24	Advanced Diploma and Diploma	568
Northern Territory	2016	20-24	Bachelor	1145
Northern Territory	2016	20-24	Graduate Diploma and Graduate Certificate	57
Northern Territory	2016	20-24	Postgraduate	63
Northern Territory	2016	25-34		7874
Northern Territory	2016	25-34	Certificate nfd	684
Northern Territory	2016	25-34	Certificate I and II Level	730
Northern Territory	2016	25-34	Certificate III and IV Level	8254
Northern Territory	2016	25-34	Advanced Diploma and Diploma	2901
Northern Territory	2016	25-34	Bachelor	7267
Northern Territory	2016	25-34	Graduate Diploma and Graduate Certificate	830
Northern Territory	2016	25-34	Postgraduate	1725
Northern Territory	2016	35-44		5949
Northern Territory	2016	35-44	Certificate nfd	682
Northern Territory	2016	35-44	Certificate I and II Level	512
Northern Territory	2016	35-44	Certificate III and IV Level	6294
Northern Territory	2016	35-44	Advanced Diploma and Diploma	3070
Northern Territory	2016	35-44	Bachelor	5235
Northern Territory	2016	35-44	Graduate Diploma and Graduate Certificate	915
Northern Territory	2016	35-44	Postgraduate	1700
Northern Territory	2016	45-54		5400
Northern Territory	2016	45-54	Certificate nfd	630
Northern Territory	2016	45-54	Certificate I and II Level	425
Northern Territory	2016	45-54	Certificate III and IV Level	5786
Northern Territory	2016	45-54	Advanced Diploma and Diploma	3098
Northern Territory	2016	45-54	Bachelor	3429
Northern Territory	2016	45-54	Graduate Diploma and Graduate Certificate	831
Northern Territory	2016	45-54	Postgraduate	1286
Northern Territory	2016	55-64		4053
Northern Territory	2016	55-64	Certificate nfd	475
Northern Territory	2016	55-64	Certificate I and II Level	244
Northern Territory	2016	55-64	Certificate III and IV Level	3910
Northern Territory	2016	55-64	Advanced Diploma and Diploma	2127
Northern Territory	2016	55-64	Bachelor	2492
Northern Territory	2016	55-64	Graduate Diploma and Graduate Certificate	647
Northern Territory	2016	55-64	Postgraduate	1021
Northern Territory	2016	65-74		2220
Northern Territory	2016	65-74	Certificate nfd	252
Northern Territory	2016	65-74	Certificate I and II Level	78
Northern Territory	2016	65-74	Certificate III and IV Level	1632
Northern Territory	2016	65-74	Advanced Diploma and Diploma	816
Northern Territory	2016	65-74	Bachelor	1022
Northern Territory	2016	65-74	Graduate Diploma and Graduate Certificate	191
Northern Territory	2016	65-74	Postgraduate	422
Northern Territory	2016	75-84		821
Northern Territory	2016	75-84	Certificate nfd	65
Northern Territory	2016	75-84	Certificate I and II Level	11
Northern Territory	2016	75-84	Certificate III and IV Level	426
Northern Territory	2016	75-84	Advanced Diploma and Diploma	229
Northern Territory	2016	75-84	Bachelor	243
Northern Territory	2016	75-84	Graduate Diploma and Graduate Certificate	35
Northern Territory	2016	75-84	Postgraduate	78
Northern Territory	2016	85+		260
Northern Territory	2016	85+	Certificate nfd	20
Northern Territory	2016	85+	Certificate I and II Level	3
Northern Territory	2016	85+	Certificate III and IV Level	80
Northern Territory	2016	85+	Advanced Diploma and Diploma	27
Northern Territory	2016	85+	Bachelor	52
Northern Territory	2016	85+	Graduate Diploma and Graduate Certificate	0
Northern Territory	2016	85+	Postgraduate	3
Australian Capital Territory	2006	15-19		2378
Australian Capital Territory	2006	15-19	Certificate nfd	117
Australian Capital Territory	2006	15-19	Certificate I and II Level	337
Australian Capital Territory	2006	15-19	Certificate III and IV Level	528
Australian Capital Territory	2006	15-19	Advanced Diploma and Diploma	116
Australian Capital Territory	2006	15-19	Bachelor	27
Australian Capital Territory	2006	15-19	Graduate Diploma and Graduate Certificate	0
Australian Capital Territory	2006	15-19	Postgraduate	0
Australian Capital Territory	2006	20-24		2218
Australian Capital Territory	2006	20-24	Certificate nfd	361
Australian Capital Territory	2006	20-24	Certificate I and II Level	633
Australian Capital Territory	2006	20-24	Certificate III and IV Level	2649
Australian Capital Territory	2006	20-24	Advanced Diploma and Diploma	1813
Australian Capital Territory	2006	20-24	Bachelor	5171
Australian Capital Territory	2006	20-24	Graduate Diploma and Graduate Certificate	131
Australian Capital Territory	2006	20-24	Postgraduate	184
Australian Capital Territory	2006	25-34		3999
Australian Capital Territory	2006	25-34	Certificate nfd	959
Australian Capital Territory	2006	25-34	Certificate I and II Level	773
Australian Capital Territory	2006	25-34	Certificate III and IV Level	6346
Australian Capital Territory	2006	25-34	Advanced Diploma and Diploma	4380
Australian Capital Territory	2006	25-34	Bachelor	15116
Australian Capital Territory	2006	25-34	Graduate Diploma and Graduate Certificate	1801
Australian Capital Territory	2006	25-34	Postgraduate	3552
Australian Capital Territory	2006	35-44		3895
Australian Capital Territory	2006	35-44	Certificate nfd	1012
Australian Capital Territory	2006	35-44	Certificate I and II Level	429
Australian Capital Territory	2006	35-44	Certificate III and IV Level	5767
Australian Capital Territory	2006	35-44	Advanced Diploma and Diploma	4926
Australian Capital Territory	2006	35-44	Bachelor	11231
Australian Capital Territory	2006	35-44	Graduate Diploma and Graduate Certificate	2336
Australian Capital Territory	2006	35-44	Postgraduate	4825
Australian Capital Territory	2006	45-54		3945
Australian Capital Territory	2006	45-54	Certificate nfd	1042
Australian Capital Territory	2006	45-54	Certificate I and II Level	348
Australian Capital Territory	2006	45-54	Certificate III and IV Level	4978
Australian Capital Territory	2006	45-54	Advanced Diploma and Diploma	4831
Australian Capital Territory	2006	45-54	Bachelor	9994
Australian Capital Territory	2006	45-54	Graduate Diploma and Graduate Certificate	2740
Australian Capital Territory	2006	45-54	Postgraduate	4703
Australian Capital Territory	2006	55-64		3314
Australian Capital Territory	2006	55-64	Certificate nfd	839
Australian Capital Territory	2006	55-64	Certificate I and II Level	224
Australian Capital Territory	2006	55-64	Certificate III and IV Level	3481
Australian Capital Territory	2006	55-64	Advanced Diploma and Diploma	3431
Australian Capital Territory	2006	55-64	Bachelor	6340
Australian Capital Territory	2006	55-64	Graduate Diploma and Graduate Certificate	1700
Australian Capital Territory	2006	55-64	Postgraduate	3065
Australian Capital Territory	2006	65-74		2422
Australian Capital Territory	2006	65-74	Certificate nfd	318
Australian Capital Territory	2006	65-74	Certificate I and II Level	88
Australian Capital Territory	2006	65-74	Certificate III and IV Level	1877
Australian Capital Territory	2006	65-74	Advanced Diploma and Diploma	1528
Australian Capital Territory	2006	65-74	Bachelor	2389
Australian Capital Territory	2006	65-74	Graduate Diploma and Graduate Certificate	366
Australian Capital Territory	2006	65-74	Postgraduate	1022
Australian Capital Territory	2006	75-84		2208
Australian Capital Territory	2006	75-84	Certificate nfd	205
Australian Capital Territory	2006	75-84	Certificate I and II Level	29
Australian Capital Territory	2006	75-84	Certificate III and IV Level	994
Australian Capital Territory	2006	75-84	Advanced Diploma and Diploma	784
Australian Capital Territory	2006	75-84	Bachelor	1111
Australian Capital Territory	2006	75-84	Graduate Diploma and Graduate Certificate	99
Australian Capital Territory	2006	75-84	Postgraduate	438
Australian Capital Territory	2006	85+		908
Australian Capital Territory	2006	85+	Certificate nfd	45
Australian Capital Territory	2006	85+	Certificate I and II Level	5
Australian Capital Territory	2006	85+	Certificate III and IV Level	195
Australian Capital Territory	2006	85+	Advanced Diploma and Diploma	241
Australian Capital Territory	2006	85+	Bachelor	277
Australian Capital Territory	2006	85+	Graduate Diploma and Graduate Certificate	15
Australian Capital Territory	2006	85+	Postgraduate	80
Australian Capital Territory	2011	15-19		1947
Australian Capital Territory	2011	15-19	Certificate nfd	78
Australian Capital Territory	2011	15-19	Certificate I and II Level	372
Australian Capital Territory	2011	15-19	Certificate III and IV Level	640
Australian Capital Territory	2011	15-19	Advanced Diploma and Diploma	110
Australian Capital Territory	2011	15-19	Bachelor	30
Australian Capital Territory	2011	15-19	Graduate Diploma and Graduate Certificate	0
Australian Capital Territory	2011	15-19	Postgraduate	4
Australian Capital Territory	2011	20-24		2450
Australian Capital Territory	2011	20-24	Certificate nfd	283
Australian Capital Territory	2011	20-24	Certificate I and II Level	591
Australian Capital Territory	2011	20-24	Certificate III and IV Level	3523
Australian Capital Territory	2011	20-24	Advanced Diploma and Diploma	1744
Australian Capital Territory	2011	20-24	Bachelor	5580
Australian Capital Territory	2011	20-24	Graduate Diploma and Graduate Certificate	178
Australian Capital Territory	2011	20-24	Postgraduate	344
Australian Capital Territory	2011	25-34		3895
Australian Capital Territory	2011	25-34	Certificate nfd	572
Australian Capital Territory	2011	25-34	Certificate I and II Level	736
Australian Capital Territory	2011	25-34	Certificate III and IV Level	7466
Australian Capital Territory	2011	25-34	Advanced Diploma and Diploma	5250
Australian Capital Territory	2011	25-34	Bachelor	19077
Australian Capital Territory	2011	25-34	Graduate Diploma and Graduate Certificate	2219
Australian Capital Territory	2011	25-34	Postgraduate	6170
Australian Capital Territory	2011	35-44		3289
Australian Capital Territory	2011	35-44	Certificate nfd	863
Australian Capital Territory	2011	35-44	Certificate I and II Level	514
Australian Capital Territory	2011	35-44	Certificate III and IV Level	6722
Australian Capital Territory	2011	35-44	Advanced Diploma and Diploma	5992
Australian Capital Territory	2011	35-44	Bachelor	13390
Australian Capital Territory	2011	35-44	Graduate Diploma and Graduate Certificate	2705
Australian Capital Territory	2011	35-44	Postgraduate	6674
Australian Capital Territory	2011	45-54		3140
Australian Capital Territory	2011	45-54	Certificate nfd	869
Australian Capital Territory	2011	45-54	Certificate I and II Level	403
Australian Capital Territory	2011	45-54	Certificate III and IV Level	5750
Australian Capital Territory	2011	45-54	Advanced Diploma and Diploma	5565
Australian Capital Territory	2011	45-54	Bachelor	10488
Australian Capital Territory	2011	45-54	Graduate Diploma and Graduate Certificate	2863
Australian Capital Territory	2011	45-54	Postgraduate	5882
Australian Capital Territory	2011	55-64		2934
Australian Capital Territory	2011	55-64	Certificate nfd	919
Australian Capital Territory	2011	55-64	Certificate I and II Level	299
Australian Capital Territory	2011	55-64	Certificate III and IV Level	3983
Australian Capital Territory	2011	55-64	Advanced Diploma and Diploma	4193
Australian Capital Territory	2011	55-64	Bachelor	7824
Australian Capital Territory	2011	55-64	Graduate Diploma and Graduate Certificate	2313
Australian Capital Territory	2011	55-64	Postgraduate	4201
Australian Capital Territory	2011	65-74		2415
Australian Capital Territory	2011	65-74	Certificate nfd	449
Australian Capital Territory	2011	65-74	Certificate I and II Level	138
Australian Capital Territory	2011	65-74	Certificate III and IV Level	2170
Australian Capital Territory	2011	65-74	Advanced Diploma and Diploma	2075
Australian Capital Territory	2011	65-74	Bachelor	3731
Australian Capital Territory	2011	65-74	Graduate Diploma and Graduate Certificate	724
Australian Capital Territory	2011	65-74	Postgraduate	1741
Australian Capital Territory	2011	75-84		2100
Australian Capital Territory	2011	75-84	Certificate nfd	185
Australian Capital Territory	2011	75-84	Certificate I and II Level	48
Australian Capital Territory	2011	75-84	Certificate III and IV Level	1143
Australian Capital Territory	2011	75-84	Advanced Diploma and Diploma	855
Australian Capital Territory	2011	75-84	Bachelor	1409
Australian Capital Territory	2011	75-84	Graduate Diploma and Graduate Certificate	128
Australian Capital Territory	2011	75-84	Postgraduate	588
Australian Capital Territory	2011	85+		1344
Australian Capital Territory	2011	85+	Certificate nfd	74
Australian Capital Territory	2011	85+	Certificate I and II Level	14
Australian Capital Territory	2011	85+	Certificate III and IV Level	309
Australian Capital Territory	2011	85+	Advanced Diploma and Diploma	300
Australian Capital Territory	2011	85+	Bachelor	426
Australian Capital Territory	2011	85+	Graduate Diploma and Graduate Certificate	16
Australian Capital Territory	2011	85+	Postgraduate	134
Australian Capital Territory	2016	15-19		1442
Australian Capital Territory	2016	15-19	Certificate nfd	85
Australian Capital Territory	2016	15-19	Certificate I and II Level	350
Australian Capital Territory	2016	15-19	Certificate III and IV Level	696
Australian Capital Territory	2016	15-19	Advanced Diploma and Diploma	131
Australian Capital Territory	2016	15-19	Bachelor	30
Australian Capital Territory	2016	15-19	Graduate Diploma and Graduate Certificate	7
Australian Capital Territory	2016	15-19	Postgraduate	8
Australian Capital Territory	2016	20-24		2235
Australian Capital Territory	2016	20-24	Certificate nfd	286
Australian Capital Territory	2016	20-24	Certificate I and II Level	526
Australian Capital Territory	2016	20-24	Certificate III and IV Level	3523
Australian Capital Territory	2016	20-24	Advanced Diploma and Diploma	1627
Australian Capital Territory	2016	20-24	Bachelor	6191
Australian Capital Territory	2016	20-24	Graduate Diploma and Graduate Certificate	235
Australian Capital Territory	2016	20-24	Postgraduate	386
Australian Capital Territory	2016	25-34		5003
Australian Capital Territory	2016	25-34	Certificate nfd	548
Australian Capital Territory	2016	25-34	Certificate I and II Level	642
