STE_NAME16	Year	Age	NonSchoolQualification	Sex	adults
Western Australia	2011	35-44	Bachelor	M	25005
Western Australia	2011	35-44	Graduate Diploma and Graduate Certificate	F	5231
Western Australia	2011	35-44	Graduate Diploma and Graduate Certificate	M	2969
Western Australia	2011	35-44	Postgraduate	F	6367
Western Australia	2011	35-44	Postgraduate	M	7341
Western Australia	2011	45-54		F	14602
Western Australia	2011	45-54		M	16756
Western Australia	2011	45-54	Certificate nfd	F	4271
Western Australia	2011	45-54	Certificate nfd	M	1623
Western Australia	2011	45-54	Certificate I and II Level	F	2199
Western Australia	2011	45-54	Certificate I and II Level	M	888
Western Australia	2011	45-54	Certificate III and IV Level	F	15339
Western Australia	2011	45-54	Certificate III and IV Level	M	44111
Western Australia	2011	45-54	Advanced Diploma and Diploma	F	19071
Western Australia	2011	45-54	Advanced Diploma and Diploma	M	13044
Western Australia	2011	45-54	Bachelor	F	21724
Western Australia	2011	45-54	Bachelor	M	19017
Western Australia	2011	45-54	Graduate Diploma and Graduate Certificate	F	4579
Western Australia	2011	45-54	Graduate Diploma and Graduate Certificate	M	2710
Western Australia	2011	45-54	Postgraduate	F	4772
Western Australia	2011	45-54	Postgraduate	M	6705
Western Australia	2011	55-64		F	14267
Western Australia	2011	55-64		M	13657
Western Australia	2011	55-64	Certificate nfd	F	3276
Western Australia	2011	55-64	Certificate nfd	M	1587
Western Australia	2011	55-64	Certificate I and II Level	F	1451
Western Australia	2011	55-64	Certificate I and II Level	M	615
Western Australia	2011	55-64	Certificate III and IV Level	F	9161
Western Australia	2011	55-64	Certificate III and IV Level	M	33228
Western Australia	2011	55-64	Advanced Diploma and Diploma	F	13137
Western Australia	2011	55-64	Advanced Diploma and Diploma	M	11536
Western Australia	2011	55-64	Bachelor	F	14055
Western Australia	2011	55-64	Bachelor	M	13738
Western Australia	2011	55-64	Graduate Diploma and Graduate Certificate	F	2899
Western Australia	2011	55-64	Graduate Diploma and Graduate Certificate	M	1936
Western Australia	2011	55-64	Postgraduate	F	3082
Western Australia	2011	55-64	Postgraduate	M	4883
Western Australia	2011	65-74		F	12207
Western Australia	2011	65-74		M	9504
Western Australia	2011	65-74	Certificate nfd	F	1615
Western Australia	2011	65-74	Certificate nfd	M	875
Western Australia	2011	65-74	Certificate I and II Level	F	532
Western Australia	2011	65-74	Certificate I and II Level	M	282
Western Australia	2011	65-74	Certificate III and IV Level	F	3362
Western Australia	2011	65-74	Certificate III and IV Level	M	18899
Western Australia	2011	65-74	Advanced Diploma and Diploma	F	6222
Western Australia	2011	65-74	Advanced Diploma and Diploma	M	6104
Western Australia	2011	65-74	Bachelor	F	6161
Western Australia	2011	65-74	Bachelor	M	5927
Western Australia	2011	65-74	Graduate Diploma and Graduate Certificate	F	871
Western Australia	2011	65-74	Graduate Diploma and Graduate Certificate	M	696
Western Australia	2011	65-74	Postgraduate	F	937
Western Australia	2011	65-74	Postgraduate	M	2314
Western Australia	2011	75-84		F	11086
Western Australia	2011	75-84		M	7263
Western Australia	2011	75-84	Certificate nfd	F	618
Western Australia	2011	75-84	Certificate nfd	M	387
Western Australia	2011	75-84	Certificate I and II Level	F	184
Western Australia	2011	75-84	Certificate I and II Level	M	101
Western Australia	2011	75-84	Certificate III and IV Level	F	1820
Western Australia	2011	75-84	Certificate III and IV Level	M	8535
Western Australia	2011	75-84	Advanced Diploma and Diploma	F	2453
Western Australia	2011	75-84	Advanced Diploma and Diploma	M	2460
Western Australia	2011	75-84	Bachelor	F	2414
Western Australia	2011	75-84	Bachelor	M	2127
Western Australia	2011	75-84	Graduate Diploma and Graduate Certificate	F	224
Western Australia	2011	75-84	Graduate Diploma and Graduate Certificate	M	193
Western Australia	2011	75-84	Postgraduate	F	227
Western Australia	2011	75-84	Postgraduate	M	683
Western Australia	2011	85+		F	6671
Western Australia	2011	85+		M	3139
Western Australia	2011	85+	Certificate nfd	F	218
Western Australia	2011	85+	Certificate nfd	M	89
Western Australia	2011	85+	Certificate I and II Level	F	55
Western Australia	2011	85+	Certificate I and II Level	M	25
Western Australia	2011	85+	Certificate III and IV Level	F	746
Western Australia	2011	85+	Certificate III and IV Level	M	2091
Western Australia	2011	85+	Advanced Diploma and Diploma	F	738
Western Australia	2011	85+	Advanced Diploma and Diploma	M	611
Western Australia	2011	85+	Bachelor	F	626
Western Australia	2011	85+	Bachelor	M	566
Western Australia	2011	85+	Graduate Diploma and Graduate Certificate	F	43
Western Australia	2011	85+	Graduate Diploma and Graduate Certificate	M	32
Western Australia	2011	85+	Postgraduate	F	36
Western Australia	2011	85+	Postgraduate	M	148
Western Australia	2016	15-19		F	6099
Western Australia	2016	15-19		M	6711
Western Australia	2016	15-19	Certificate nfd	F	470
Western Australia	2016	15-19	Certificate nfd	M	340
Western Australia	2016	15-19	Certificate I and II Level	F	2137
Western Australia	2016	15-19	Certificate I and II Level	M	1839
Western Australia	2016	15-19	Certificate III and IV Level	F	3641
Western Australia	2016	15-19	Certificate III and IV Level	M	3803
Western Australia	2016	15-19	Advanced Diploma and Diploma	F	955
Western Australia	2016	15-19	Advanced Diploma and Diploma	M	507
Western Australia	2016	15-19	Bachelor	F	97
Western Australia	2016	15-19	Bachelor	M	64
Western Australia	2016	15-19	Graduate Diploma and Graduate Certificate	F	23
Western Australia	2016	15-19	Graduate Diploma and Graduate Certificate	M	3
Western Australia	2016	15-19	Postgraduate	F	8
Western Australia	2016	15-19	Postgraduate	M	3
Western Australia	2016	20-24		F	6955
Western Australia	2016	20-24		M	8188
Western Australia	2016	20-24	Certificate nfd	F	1349
Western Australia	2016	20-24	Certificate nfd	M	834
Western Australia	2016	20-24	Certificate I and II Level	F	2251
Western Australia	2016	20-24	Certificate I and II Level	M	1800
Western Australia	2016	20-24	Certificate III and IV Level	F	11891
Western Australia	2016	20-24	Certificate III and IV Level	M	17778
Western Australia	2016	20-24	Advanced Diploma and Diploma	F	5853
Western Australia	2016	20-24	Advanced Diploma and Diploma	M	4100
Western Australia	2016	20-24	Bachelor	F	13374
Western Australia	2016	20-24	Bachelor	M	8818
Western Australia	2016	20-24	Graduate Diploma and Graduate Certificate	F	651
Western Australia	2016	20-24	Graduate Diploma and Graduate Certificate	M	236
Western Australia	2016	20-24	Postgraduate	F	603
Western Australia	2016	20-24	Postgraduate	M	389
Western Australia	2016	25-34		F	17642
Western Australia	2016	25-34		M	22824
Western Australia	2016	25-34	Certificate nfd	F	3495
Western Australia	2016	25-34	Certificate nfd	M	2297
Western Australia	2016	25-34	Certificate I and II Level	F	3390
Western Australia	2016	25-34	Certificate I and II Level	M	2123
Western Australia	2016	25-34	Certificate III and IV Level	F	26554
Western Australia	2016	25-34	Certificate III and IV Level	M	51410
Western Australia	2016	25-34	Advanced Diploma and Diploma	F	19948
Western Australia	2016	25-34	Advanced Diploma and Diploma	M	15281
Western Australia	2016	25-34	Bachelor	F	52350
Western Australia	2016	25-34	Bachelor	M	35694
Western Australia	2016	25-34	Graduate Diploma and Graduate Certificate	F	5590
Western Australia	2016	25-34	Graduate Diploma and Graduate Certificate	M	2506
Western Australia	2016	25-34	Postgraduate	F	11424
Western Australia	2016	25-34	Postgraduate	M	8933
Western Australia	2016	35-44		F	14734
Western Australia	2016	35-44		M	19395
Western Australia	2016	35-44	Certificate nfd	F	4995
Western Australia	2016	35-44	Certificate nfd	M	2645
Western Australia	2016	35-44	Certificate I and II Level	F	2797
Western Australia	2016	35-44	Certificate I and II Level	M	1353
Western Australia	2016	35-44	Certificate III and IV Level	F	21370
Western Australia	2016	35-44	Certificate III and IV Level	M	44815
Western Australia	2016	35-44	Advanced Diploma and Diploma	F	21120
Western Australia	2016	35-44	Advanced Diploma and Diploma	M	15979
Western Australia	2016	35-44	Bachelor	F	42003
Western Australia	2016	35-44	Bachelor	M	30367
Western Australia	2016	35-44	Graduate Diploma and Graduate Certificate	F	6430
Western Australia	2016	35-44	Graduate Diploma and Graduate Certificate	M	3199
Western Australia	2016	35-44	Postgraduate	F	10674
Western Australia	2016	35-44	Postgraduate	M	11073
Western Australia	2016	45-54		F	15191
Western Australia	2016	45-54		M	17964
Western Australia	2016	45-54	Certificate nfd	F	5390
Western Australia	2016	45-54	Certificate nfd	M	2748
Western Australia	2016	45-54	Certificate I and II Level	F	2358
Western Australia	2016	45-54	Certificate I and II Level	M	1034
Western Australia	2016	45-54	Certificate III and IV Level	F	19749
Western Australia	2016	45-54	Certificate III and IV Level	M	45863
Western Australia	2016	45-54	Advanced Diploma and Diploma	F	21247
Western Australia	2016	45-54	Advanced Diploma and Diploma	M	15585
Western Australia	2016	45-54	Bachelor	F	27830
Western Australia	2016	45-54	Bachelor	M	22408
Western Australia	2016	45-54	Graduate Diploma and Graduate Certificate	F	5796
Western Australia	2016	45-54	Graduate Diploma and Graduate Certificate	M	3307
Western Australia	2016	45-54	Postgraduate	F	7051
Western Australia	2016	45-54	Postgraduate	M	8478
Western Australia	2016	55-64		F	15286
Western Australia	2016	55-64		M	14766
Western Australia	2016	55-64	Certificate nfd	F	4831
Western Australia	2016	55-64	Certificate nfd	M	2486
Western Australia	2016	55-64	Certificate I and II Level	F	1824
Western Australia	2016	55-64	Certificate I and II Level	M	695
Western Australia	2016	55-64	Certificate III and IV Level	F	12920
Western Australia	2016	55-64	Certificate III and IV Level	M	37502
Western Australia	2016	55-64	Advanced Diploma and Diploma	F	17085
Western Australia	2016	55-64	Advanced Diploma and Diploma	M	12940
Western Australia	2016	55-64	Bachelor	F	18124
Western Australia	2016	55-64	Bachelor	M	16205
Western Australia	2016	55-64	Graduate Diploma and Graduate Certificate	F	4422
Western Australia	2016	55-64	Graduate Diploma and Graduate Certificate	M	2636
Western Australia	2016	55-64	Postgraduate	F	4427
Western Australia	2016	55-64	Postgraduate	M	6011
Western Australia	2016	65-74		F	14437
Western Australia	2016	65-74		M	11894
Western Australia	2016	65-74	Certificate nfd	F	3238
Western Australia	2016	65-74	Certificate nfd	M	2023
Western Australia	2016	65-74	Certificate I and II Level	F	972
Western Australia	2016	65-74	Certificate I and II Level	M	351
Western Australia	2016	65-74	Certificate III and IV Level	F	5254
Western Australia	2016	65-74	Certificate III and IV Level	M	23718
Western Australia	2016	65-74	Advanced Diploma and Diploma	F	9220
Western Australia	2016	65-74	Advanced Diploma and Diploma	M	8805
Western Australia	2016	65-74	Bachelor	F	9577
Western Australia	2016	65-74	Bachelor	M	9397
Western Australia	2016	65-74	Graduate Diploma and Graduate Certificate	F	1623
Western Australia	2016	65-74	Graduate Diploma and Graduate Certificate	M	1282
Western Australia	2016	65-74	Postgraduate	F	1929
Western Australia	2016	65-74	Postgraduate	M	3661
Western Australia	2016	75-84		F	12020
Western Australia	2016	75-84		M	8068
Western Australia	2016	75-84	Certificate nfd	F	1224
Western Australia	2016	75-84	Certificate nfd	M	973
Western Australia	2016	75-84	Certificate I and II Level	F	292
Western Australia	2016	75-84	Certificate I and II Level	M	107
Western Australia	2016	75-84	Certificate III and IV Level	F	1536
Western Australia	2016	75-84	Certificate III and IV Level	M	11134
Western Australia	2016	75-84	Advanced Diploma and Diploma	F	3657
Western Australia	2016	75-84	Advanced Diploma and Diploma	M	3408
Western Australia	2016	75-84	Bachelor	F	3708
Western Australia	2016	75-84	Bachelor	M	3172
Western Australia	2016	75-84	Graduate Diploma and Graduate Certificate	F	424
Western Australia	2016	75-84	Graduate Diploma and Graduate Certificate	M	303
Western Australia	2016	75-84	Postgraduate	F	432
Western Australia	2016	75-84	Postgraduate	M	1203
Western Australia	2016	85+		F	8226
Western Australia	2016	85+		M	3851
Western Australia	2016	85+	Certificate nfd	F	459
Western Australia	2016	85+	Certificate nfd	M	261
Western Australia	2016	85+	Certificate I and II Level	F	95
Western Australia	2016	85+	Certificate I and II Level	M	29
Western Australia	2016	85+	Certificate III and IV Level	F	566
Western Australia	2016	85+	Certificate III and IV Level	M	2694
Western Australia	2016	85+	Advanced Diploma and Diploma	F	1111
Western Australia	2016	85+	Advanced Diploma and Diploma	M	854
Western Australia	2016	85+	Bachelor	F	950
Western Australia	2016	85+	Bachelor	M	897
Western Australia	2016	85+	Graduate Diploma and Graduate Certificate	F	89
Western Australia	2016	85+	Graduate Diploma and Graduate Certificate	M	56
Western Australia	2016	85+	Postgraduate	F	89
Western Australia	2016	85+	Postgraduate	M	270
Tasmania	2006	15-19		F	1743
Tasmania	2006	15-19		M	2089
Tasmania	2006	15-19	Certificate nfd	F	83
Tasmania	2006	15-19	Certificate nfd	M	51
Tasmania	2006	15-19	Certificate I and II Level	F	421
Tasmania	2006	15-19	Certificate I and II Level	M	193
Tasmania	2006	15-19	Certificate III and IV Level	F	463
Tasmania	2006	15-19	Certificate III and IV Level	M	610
Tasmania	2006	15-19	Advanced Diploma and Diploma	F	57
Tasmania	2006	15-19	Advanced Diploma and Diploma	M	20
Tasmania	2006	15-19	Bachelor	F	9
Tasmania	2006	15-19	Bachelor	M	23
Tasmania	2006	15-19	Graduate Diploma and Graduate Certificate	F	0
Tasmania	2006	15-19	Graduate Diploma and Graduate Certificate	M	0
Tasmania	2006	15-19	Postgraduate	F	0
Tasmania	2006	15-19	Postgraduate	M	0
Tasmania	2006	20-24		F	1120
Tasmania	2006	20-24		M	1440
Tasmania	2006	20-24	Certificate nfd	F	282
Tasmania	2006	20-24	Certificate nfd	M	170
Tasmania	2006	20-24	Certificate I and II Level	F	793
Tasmania	2006	20-24	Certificate I and II Level	M	441
Tasmania	2006	20-24	Certificate III and IV Level	F	2210
Tasmania	2006	20-24	Certificate III and IV Level	M	2768
Tasmania	2006	20-24	Advanced Diploma and Diploma	F	541
Tasmania	2006	20-24	Advanced Diploma and Diploma	M	375
Tasmania	2006	20-24	Bachelor	F	1792
Tasmania	2006	20-24	Bachelor	M	1104
Tasmania	2006	20-24	Graduate Diploma and Graduate Certificate	F	32
Tasmania	2006	20-24	Graduate Diploma and Graduate Certificate	M	20
Tasmania	2006	20-24	Postgraduate	F	15
Tasmania	2006	20-24	Postgraduate	M	13
Tasmania	2006	25-34		F	2257
Tasmania	2006	25-34		M	2490
Tasmania	2006	25-34	Certificate nfd	F	713
Tasmania	2006	25-34	Certificate nfd	M	300
Tasmania	2006	25-34	Certificate I and II Level	F	746
Tasmania	2006	25-34	Certificate I and II Level	M	399
Tasmania	2006	25-34	Certificate III and IV Level	F	3656
Tasmania	2006	25-34	Certificate III and IV Level	M	7104
Tasmania	2006	25-34	Advanced Diploma and Diploma	F	1893
Tasmania	2006	25-34	Advanced Diploma and Diploma	M	1299
Tasmania	2006	25-34	Bachelor	F	5046
Tasmania	2006	25-34	Bachelor	M	3276
Tasmania	2006	25-34	Graduate Diploma and Graduate Certificate	F	421
Tasmania	2006	25-34	Graduate Diploma and Graduate Certificate	M	197
Tasmania	2006	25-34	Postgraduate	F	456
Tasmania	2006	25-34	Postgraduate	M	353
Tasmania	2006	35-44		F	3133
Tasmania	2006	35-44		M	3002
Tasmania	2006	35-44	Certificate nfd	F	883
Tasmania	2006	35-44	Certificate nfd	M	310
Tasmania	2006	35-44	Certificate I and II Level	F	622
Tasmania	2006	35-44	Certificate I and II Level	M	212
Tasmania	2006	35-44	Certificate III and IV Level	F	3661
Tasmania	2006	35-44	Certificate III and IV Level	M	9253
Tasmania	2006	35-44	Advanced Diploma and Diploma	F	2675
Tasmania	2006	35-44	Advanced Diploma and Diploma	M	2025
Tasmania	2006	35-44	Bachelor	F	4564
Tasmania	2006	35-44	Bachelor	M	3125
Tasmania	2006	35-44	Graduate Diploma and Graduate Certificate	F	683
Tasmania	2006	35-44	Graduate Diploma and Graduate Certificate	M	435
Tasmania	2006	35-44	Postgraduate	F	711
Tasmania	2006	35-44	Postgraduate	M	789
Tasmania	2006	45-54		F	3518
Tasmania	2006	45-54		M	3255
Tasmania	2006	45-54	Certificate nfd	F	911
Tasmania	2006	45-54	Certificate nfd	M	380
Tasmania	2006	45-54	Certificate I and II Level	F	463
Tasmania	2006	45-54	Certificate I and II Level	M	185
Tasmania	2006	45-54	Certificate III and IV Level	F	3117
Tasmania	2006	45-54	Certificate III and IV Level	M	9228
Tasmania	2006	45-54	Advanced Diploma and Diploma	F	3001
Tasmania	2006	45-54	Advanced Diploma and Diploma	M	2434
Tasmania	2006	45-54	Bachelor	F	4710
Tasmania	2006	45-54	Bachelor	M	3322
Tasmania	2006	45-54	Graduate Diploma and Graduate Certificate	F	787
Tasmania	2006	45-54	Graduate Diploma and Graduate Certificate	M	469
Tasmania	2006	45-54	Postgraduate	F	828
Tasmania	2006	45-54	Postgraduate	M	1013
Tasmania	2006	55-64		F	3741
Tasmania	2006	55-64		M	3028
Tasmania	2006	55-64	Certificate nfd	F	555
Tasmania	2006	55-64	Certificate nfd	M	348
Tasmania	2006	55-64	Certificate I and II Level	F	180
Tasmania	2006	55-64	Certificate I and II Level	M	143
Tasmania	2006	55-64	Certificate III and IV Level	F	1460
Tasmania	2006	55-64	Certificate III and IV Level	M	6608
Tasmania	2006	55-64	Advanced Diploma and Diploma	F	2453
Tasmania	2006	55-64	Advanced Diploma and Diploma	M	2096
Tasmania	2006	55-64	Bachelor	F	2607
Tasmania	2006	55-64	Bachelor	M	2176
Tasmania	2006	55-64	Graduate Diploma and Graduate Certificate	F	551
Tasmania	2006	55-64	Graduate Diploma and Graduate Certificate	M	354
Tasmania	2006	55-64	Postgraduate	F	510
Tasmania	2006	55-64	Postgraduate	M	871
Tasmania	2006	65-74		F	3897
Tasmania	2006	65-74		M	2876
Tasmania	2006	65-74	Certificate nfd	F	258
Tasmania	2006	65-74	Certificate nfd	M	181
Tasmania	2006	65-74	Certificate I and II Level	F	87
Tasmania	2006	65-74	Certificate I and II Level	M	52
Tasmania	2006	65-74	Certificate III and IV Level	F	465
Tasmania	2006	65-74	Certificate III and IV Level	M	3989
Tasmania	2006	65-74	Advanced Diploma and Diploma	F	1353
Tasmania	2006	65-74	Advanced Diploma and Diploma	M	1006
Tasmania	2006	65-74	Bachelor	F	1009
Tasmania	2006	65-74	Bachelor	M	882
Tasmania	2006	65-74	Graduate Diploma and Graduate Certificate	F	151
Tasmania	2006	65-74	Graduate Diploma and Graduate Certificate	M	105
Tasmania	2006	65-74	Postgraduate	F	139
Tasmania	2006	65-74	Postgraduate	M	384
Tasmania	2006	75-84		F	4199
Tasmania	2006	75-84		M	2654
Tasmania	2006	75-84	Certificate nfd	F	156
Tasmania	2006	75-84	Certificate nfd	M	67
Tasmania	2006	75-84	Certificate I and II Level	F	42
Tasmania	2006	75-84	Certificate I and II Level	M	23
Tasmania	2006	75-84	Certificate III and IV Level	F	241
Tasmania	2006	75-84	Certificate III and IV Level	M	1886
Tasmania	2006	75-84	Advanced Diploma and Diploma	F	621
Tasmania	2006	75-84	Advanced Diploma and Diploma	M	523
Tasmania	2006	75-84	Bachelor	F	459
Tasmania	2006	75-84	Bachelor	M	533
Tasmania	2006	75-84	Graduate Diploma and Graduate Certificate	F	51
Tasmania	2006	75-84	Graduate Diploma and Graduate Certificate	M	47
Tasmania	2006	75-84	Postgraduate	F	45
Tasmania	2006	75-84	Postgraduate	M	159
Tasmania	2006	85+		F	1909
Tasmania	2006	85+		M	824
Tasmania	2006	85+	Certificate nfd	F	44
Tasmania	2006	85+	Certificate nfd	M	23
Tasmania	2006	85+	Certificate I and II Level	F	4
Tasmania	2006	85+	Certificate I and II Level	M	7
Tasmania	2006	85+	Certificate III and IV Level	F	84
Tasmania	2006	85+	Certificate III and IV Level	M	355
Tasmania	2006	85+	Advanced Diploma and Diploma	F	181
Tasmania	2006	85+	Advanced Diploma and Diploma	M	108
Tasmania	2006	85+	Bachelor	F	123
Tasmania	2006	85+	Bachelor	M	96
Tasmania	2006	85+	Graduate Diploma and Graduate Certificate	F	14
Tasmania	2006	85+	Graduate Diploma and Graduate Certificate	M	4
Tasmania	2006	85+	Postgraduate	F	10
Tasmania	2006	85+	Postgraduate	M	34
Tasmania	2011	15-19		F	1477
Tasmania	2011	15-19		M	1567
Tasmania	2011	15-19	Certificate nfd	F	62
Tasmania	2011	15-19	Certificate nfd	M	34
Tasmania	2011	15-19	Certificate I and II Level	F	453
Tasmania	2011	15-19	Certificate I and II Level	M	268
Tasmania	2011	15-19	Certificate III and IV Level	F	696
Tasmania	2011	15-19	Certificate III and IV Level	M	783
Tasmania	2011	15-19	Advanced Diploma and Diploma	F	43
Tasmania	2011	15-19	Advanced Diploma and Diploma	M	21
Tasmania	2011	15-19	Bachelor	F	3
Tasmania	2011	15-19	Bachelor	M	0
Tasmania	2011	15-19	Graduate Diploma and Graduate Certificate	F	0
Tasmania	2011	15-19	Graduate Diploma and Graduate Certificate	M	0
Tasmania	2011	15-19	Postgraduate	F	0
Tasmania	2011	15-19	Postgraduate	M	0
Tasmania	2011	20-24		F	933
Tasmania	2011	20-24		M	1203
Tasmania	2011	20-24	Certificate nfd	F	205
Tasmania	2011	20-24	Certificate nfd	M	102
Tasmania	2011	20-24	Certificate I and II Level	F	798
Tasmania	2011	20-24	Certificate I and II Level	M	386
Tasmania	2011	20-24	Certificate III and IV Level	F	2626
Tasmania	2011	20-24	Certificate III and IV Level	M	3784
Tasmania	2011	20-24	Advanced Diploma and Diploma	F	500
Tasmania	2011	20-24	Advanced Diploma and Diploma	M	370
Tasmania	2011	20-24	Bachelor	F	1614
Tasmania	2011	20-24	Bachelor	M	913
Tasmania	2011	20-24	Graduate Diploma and Graduate Certificate	F	71
Tasmania	2011	20-24	Graduate Diploma and Graduate Certificate	M	29
Tasmania	2011	20-24	Postgraduate	F	58
Tasmania	2011	20-24	Postgraduate	M	55
Tasmania	2011	25-34		F	1817
Tasmania	2011	25-34		M	2117
Tasmania	2011	25-34	Certificate nfd	F	438
Tasmania	2011	25-34	Certificate nfd	M	231
Tasmania	2011	25-34	Certificate I and II Level	F	1082
Tasmania	2011	25-34	Certificate I and II Level	M	574
Tasmania	2011	25-34	Certificate III and IV Level	F	5290
Tasmania	2011	25-34	Certificate III and IV Level	M	7990
Tasmania	2011	25-34	Advanced Diploma and Diploma	F	1948
Tasmania	2011	25-34	Advanced Diploma and Diploma	M	1332
Tasmania	2011	25-34	Bachelor	F	5995
Tasmania	2011	25-34	Bachelor	M	3801
Tasmania	2011	25-34	Graduate Diploma and Graduate Certificate	F	651
Tasmania	2011	25-34	Graduate Diploma and Graduate Certificate	M	287
Tasmania	2011	25-34	Postgraduate	F	899
Tasmania	2011	25-34	Postgraduate	M	707
Tasmania	2011	35-44		F	2317
Tasmania	2011	35-44		M	2424
Tasmania	2011	35-44	Certificate nfd	F	679
Tasmania	2011	35-44	Certificate nfd	M	275
Tasmania	2011	35-44	Certificate I and II Level	F	717
Tasmania	2011	35-44	Certificate I and II Level	M	266
Tasmania	2011	35-44	Certificate III and IV Level	F	4758
Tasmania	2011	35-44	Certificate III and IV Level	M	9198
Tasmania	2011	35-44	Advanced Diploma and Diploma	F	3250
Tasmania	2011	35-44	Advanced Diploma and Diploma	M	2264
Tasmania	2011	35-44	Bachelor	F	5561
Tasmania	2011	35-44	Bachelor	M	3676
Tasmania	2011	35-44	Graduate Diploma and Graduate Certificate	F	918
Tasmania	2011	35-44	Graduate Diploma and Graduate Certificate	M	515
Tasmania	2011	35-44	Postgraduate	F	1120
Tasmania	2011	35-44	Postgraduate	M	1003
Tasmania	2011	45-54		F	2900
Tasmania	2011	45-54		M	2808
Tasmania	2011	45-54	Certificate nfd	F	878
Tasmania	2011	45-54	Certificate nfd	M	290
Tasmania	2011	45-54	Certificate I and II Level	F	665
Tasmania	2011	45-54	Certificate I and II Level	M	245
Tasmania	2011	45-54	Certificate III and IV Level	F	4342
Tasmania	2011	45-54	Certificate III and IV Level	M	10134
Tasmania	2011	45-54	Advanced Diploma and Diploma	F	3516
Tasmania	2011	45-54	Advanced Diploma and Diploma	M	2656
Tasmania	2011	45-54	Bachelor	F	5049
Tasmania	2011	45-54	Bachelor	M	3334
Tasmania	2011	45-54	Graduate Diploma and Graduate Certificate	F	984
Tasmania	2011	45-54	Graduate Diploma and Graduate Certificate	M	553
Tasmania	2011	45-54	Postgraduate	F	1156
Tasmania	2011	45-54	Postgraduate	M	1139
Tasmania	2011	55-64		F	3558
Tasmania	2011	55-64		M	2996
Tasmania	2011	55-64	Certificate nfd	F	743
Tasmania	2011	55-64	Certificate nfd	M	374
Tasmania	2011	55-64	Certificate I and II Level	F	370
Tasmania	2011	55-64	Certificate I and II Level	M	168
Tasmania	2011	55-64	Certificate III and IV Level	F	2604
Tasmania	2011	55-64	Certificate III and IV Level	M	8112
Tasmania	2011	55-64	Advanced Diploma and Diploma	F	3158
Tasmania	2011	55-64	Advanced Diploma and Diploma	M	2533
Tasmania	2011	55-64	Bachelor	F	3841
Tasmania	2011	55-64	Bachelor	M	3092
Tasmania	2011	55-64	Graduate Diploma and Graduate Certificate	F	859
Tasmania	2011	55-64	Graduate Diploma and Graduate Certificate	M	488
Tasmania	2011	55-64	Postgraduate	F	946
Tasmania	2011	55-64	Postgraduate	M	1115
Tasmania	2011	65-74		F	3740
Tasmania	2011	65-74		M	2774
Tasmania	2011	65-74	Certificate nfd	F	361
Tasmania	2011	65-74	Certificate nfd	M	243
Tasmania	2011	65-74	Certificate I and II Level	F	139
Tasmania	2011	65-74	Certificate I and II Level	M	96
Tasmania	2011	65-74	Certificate III and IV Level	F	759
Tasmania	2011	65-74	Certificate III and IV Level	M	5086
Tasmania	2011	65-74	Advanced Diploma and Diploma	F	1774
Tasmania	2011	65-74	Advanced Diploma and Diploma	M	1458
Tasmania	2011	65-74	Bachelor	F	1690
Tasmania	2011	65-74	Bachelor	M	1387
Tasmania	2011	65-74	Graduate Diploma and Graduate Certificate	F	255
Tasmania	2011	65-74	Graduate Diploma and Graduate Certificate	M	179
Tasmania	2011	65-74	Postgraduate	F	309
Tasmania	2011	65-74	Postgraduate	M	664
Tasmania	2011	75-84		F	3493
Tasmania	2011	75-84		M	2297
Tasmania	2011	75-84	Certificate nfd	F	161
Tasmania	2011	75-84	Certificate nfd	M	95
Tasmania	2011	75-84	Certificate I and II Level	F	51
Tasmania	2011	75-84	Certificate I and II Level	M	43
Tasmania	2011	75-84	Certificate III and IV Level	F	288
Tasmania	2011	75-84	Certificate III and IV Level	M	2247
Tasmania	2011	75-84	Advanced Diploma and Diploma	F	733
Tasmania	2011	75-84	Advanced Diploma and Diploma	M	631
Tasmania	2011	75-84	Bachelor	F	600
Tasmania	2011	75-84	Bachelor	M	589
Tasmania	2011	75-84	Graduate Diploma and Graduate Certificate	F	80
Tasmania	2011	75-84	Graduate Diploma and Graduate Certificate	M	52
Tasmania	2011	75-84	Postgraduate	F	86
Tasmania	2011	75-84	Postgraduate	M	214
Tasmania	2011	85+		F	1822
Tasmania	2011	85+		M	921
Tasmania	2011	85+	Certificate nfd	F	76
Tasmania	2011	85+	Certificate nfd	M	24
Tasmania	2011	85+	Certificate I and II Level	F	27
Tasmania	2011	85+	Certificate I and II Level	M	12
Tasmania	2011	85+	Certificate III and IV Level	F	93
Tasmania	2011	85+	Certificate III and IV Level	M	574
Tasmania	2011	85+	Advanced Diploma and Diploma	F	247
Tasmania	2011	85+	Advanced Diploma and Diploma	M	176
Tasmania	2011	85+	Bachelor	F	205
Tasmania	2011	85+	Bachelor	M	176
Tasmania	2011	85+	Graduate Diploma and Graduate Certificate	F	19
Tasmania	2011	85+	Graduate Diploma and Graduate Certificate	M	12
Tasmania	2011	85+	Postgraduate	F	17
Tasmania	2011	85+	Postgraduate	M	51
Tasmania	2016	15-19		F	1511
Tasmania	2016	15-19		M	1562
Tasmania	2016	15-19	Certificate nfd	F	131
Tasmania	2016	15-19	Certificate nfd	M	63
Tasmania	2016	15-19	Certificate I and II Level	F	383
Tasmania	2016	15-19	Certificate I and II Level	M	242
Tasmania	2016	15-19	Certificate III and IV Level	F	577
