SA3_NAME16	Year	Sex	employmentToPopulation
Bringelly - Green Valley	2011	F	47.5
Bringelly - Green Valley	2011	M	61.9
Bringelly - Green Valley	2016	F	49.8
Bringelly - Green Valley	2016	M	62.2
Fairfield	2006	F	38.6
Fairfield	2006	M	55.8
Fairfield	2011	F	39.3
Fairfield	2011	M	54.1
Fairfield	2016	F	39
Fairfield	2016	M	51.8
Liverpool	2006	F	47.6
Liverpool	2006	M	62.9
Liverpool	2011	F	47
Liverpool	2011	M	61.2
Liverpool	2016	F	46.6
Liverpool	2016	M	59.1
Cronulla - Miranda - Caringbah	2006	F	55.8
Cronulla - Miranda - Caringbah	2006	M	67.6
Cronulla - Miranda - Caringbah	2011	F	57.8
Cronulla - Miranda - Caringbah	2011	M	68
Cronulla - Miranda - Caringbah	2016	F	57.6
Cronulla - Miranda - Caringbah	2016	M	66.6
Sutherland - Menai - Heathcote	2006	F	62.9
Sutherland - Menai - Heathcote	2006	M	74.2
Sutherland - Menai - Heathcote	2011	F	62.3
Sutherland - Menai - Heathcote	2011	M	71.8
Sutherland - Menai - Heathcote	2016	F	61.9
Sutherland - Menai - Heathcote	2016	M	69.6
Migratory - Offshore - Shipping (NSW)	2006	F	71.4
Migratory - Offshore - Shipping (NSW)	2006	M	81.1
Migratory - Offshore - Shipping (NSW)	2011	F	12.7
Migratory - Offshore - Shipping (NSW)	2011	M	41.2
Migratory - Offshore - Shipping (NSW)	2016	F	31.4
Migratory - Offshore - Shipping (NSW)	2016	M	36.3
No usual address (NSW)	2006	F	34
No usual address (NSW)	2006	M	40.7
No usual address (NSW)	2011	F	30.3
No usual address (NSW)	2011	M	31.8
No usual address (NSW)	2016	F	28.1
No usual address (NSW)	2016	M	29.3
Ballarat	2006	F	49.4
Ballarat	2006	M	61.6
Ballarat	2011	F	51.7
Ballarat	2011	M	61.5
Ballarat	2016	F	51
Ballarat	2016	M	58.6
Creswick - Daylesford - Ballan	2006	F	48.8
Creswick - Daylesford - Ballan	2006	M	60.8
Creswick - Daylesford - Ballan	2011	F	50.7
Creswick - Daylesford - Ballan	2011	M	60.8
Creswick - Daylesford - Ballan	2016	F	49.4
Creswick - Daylesford - Ballan	2016	M	56.8
Maryborough - Pyrenees	2006	F	39.1
Maryborough - Pyrenees	2006	M	50.4
Maryborough - Pyrenees	2011	F	42
Maryborough - Pyrenees	2011	M	49.8
Maryborough - Pyrenees	2016	F	40.9
Maryborough - Pyrenees	2016	M	45.4
Bendigo	2006	F	49.9
Bendigo	2006	M	61.1
Bendigo	2011	F	51.8
Bendigo	2011	M	62.2
Bendigo	2016	F	51.1
Bendigo	2016	M	58.4
Heathcote - Castlemaine - Kyneton	2006	F	48.5
Heathcote - Castlemaine - Kyneton	2006	M	58.1
Heathcote - Castlemaine - Kyneton	2011	F	50.8
Heathcote - Castlemaine - Kyneton	2011	M	58.2
Heathcote - Castlemaine - Kyneton	2016	F	49.4
Heathcote - Castlemaine - Kyneton	2016	M	54.3
Loddon - Elmore	2006	F	47.6
Loddon - Elmore	2006	M	60
Loddon - Elmore	2011	F	46.3
Loddon - Elmore	2011	M	55.6
Loddon - Elmore	2016	F	45.4
Loddon - Elmore	2016	M	52
Barwon - West	2006	F	55.3
Barwon - West	2006	M	70
Barwon - West	2011	F	56.5
Barwon - West	2011	M	69.8
Barwon - West	2016	F	57.1
Barwon - West	2016	M	66.7
Geelong	2006	F	48.2
Geelong	2006	M	61.1
Geelong	2011	F	51
Geelong	2011	M	61.3
Geelong	2016	F	51
Geelong	2016	M	58.3
Surf Coast - Bellarine Peninsula	2006	F	48.4
Surf Coast - Bellarine Peninsula	2006	M	60.2
Surf Coast - Bellarine Peninsula	2011	F	50.6
Surf Coast - Bellarine Peninsula	2011	M	61
Surf Coast - Bellarine Peninsula	2016	F	51.3
Surf Coast - Bellarine Peninsula	2016	M	58.5
Upper Goulburn Valley	2006	F	49.1
Upper Goulburn Valley	2006	M	60.5
Upper Goulburn Valley	2011	F	49.8
Upper Goulburn Valley	2011	M	60
Upper Goulburn Valley	2016	F	47.9
Upper Goulburn Valley	2016	M	55.7
Wangaratta - Benalla	2006	F	51.3
Wangaratta - Benalla	2006	M	64.2
Wangaratta - Benalla	2011	F	51.3
Wangaratta - Benalla	2011	M	62.2
Wangaratta - Benalla	2016	F	48.9
Wangaratta - Benalla	2016	M	56.6
Wodonga - Alpine	2006	F	53.7
Wodonga - Alpine	2006	M	66.4
Wodonga - Alpine	2011	F	54.3
Wodonga - Alpine	2011	M	64.2
Wodonga - Alpine	2016	F	53.2
Wodonga - Alpine	2016	M	60.5
Baw Baw	2006	F	50.9
Baw Baw	2006	M	64.9
Baw Baw	2011	F	51.6
Baw Baw	2011	M	64.3
Baw Baw	2016	F	49.3
Baw Baw	2016	M	59.5
Gippsland - East	2006	F	44.3
Gippsland - East	2006	M	53
Gippsland - East	2011	F	45.5
Gippsland - East	2011	M	52.1
Gippsland - East	2016	F	42.9
Gippsland - East	2016	M	46.9
Gippsland - South West	2006	F	45
Gippsland - South West	2006	M	56.1
Gippsland - South West	2011	F	47.2
Gippsland - South West	2011	M	58.8
Gippsland - South West	2016	F	44.8
Gippsland - South West	2016	M	52.4
Latrobe Valley	2006	F	45
