SA3_NAME16	Year	CountryOfBirth	Sex	persons
Snowy Mountains	2016	ZWE	F	3
Snowy Mountains	2016	ZWE	M	5
South Coast	2006		F	2242
South Coast	2006		M	2305
South Coast	2006	AUS	F	27620
South Coast	2006	AUS	M	26625
South Coast	2006	CAN	F	48
South Coast	2006	CAN	M	46
South Coast	2006	CHN	F	24
South Coast	2006	CHN	M	28
South Coast	2006	DEU	F	308
South Coast	2006	DEU	M	272
South Coast	2006	EGY	F	7
South Coast	2006	EGY	M	20
South Coast	2006	FJI	F	12
South Coast	2006	FJI	M	8
South Coast	2006	GBR	F	2013
South Coast	2006	GBR	M	1869
South Coast	2006	GRC	F	39
South Coast	2006	GRC	M	41
South Coast	2006	HKG	F	14
South Coast	2006	HKG	M	13
South Coast	2006	HRV	F	72
South Coast	2006	HRV	M	77
South Coast	2006	IDN	F	14
South Coast	2006	IDN	M	17
South Coast	2006	IND	F	17
South Coast	2006	IND	M	20
South Coast	2006	IRL	F	45
South Coast	2006	IRL	M	53
South Coast	2006	IRN	F	0
South Coast	2006	IRN	M	5
South Coast	2006	IRQ	F	0
South Coast	2006	IRQ	M	3
South Coast	2006	ITA	F	56
South Coast	2006	ITA	M	103
South Coast	2006	JPN	F	19
South Coast	2006	JPN	M	7
South Coast	2006	KOR	F	10
South Coast	2006	KOR	M	5
South Coast	2006	LBN	F	7
South Coast	2006	LBN	M	7
South Coast	2006	LKA	F	5
South Coast	2006	LKA	M	7
South Coast	2006	MKD	F	6
South Coast	2006	MKD	M	3
South Coast	2006	MLT	F	40
South Coast	2006	MLT	M	62
South Coast	2006	MYS	F	21
South Coast	2006	MYS	M	20
South Coast	2006	NLD	F	235
South Coast	2006	NLD	M	205
South Coast	2006	NZL	F	366
South Coast	2006	NZL	M	395
South Coast	2006	PAK	F	3
South Coast	2006	PAK	M	0
South Coast	2006	PHL	F	107
South Coast	2006	PHL	M	15
South Coast	2006	POL	F	31
South Coast	2006	POL	M	32
South Coast	2006	SGP	F	11
South Coast	2006	SGP	M	9
South Coast	2006	THA	F	22
