SA2_NAME16	Year	labourForceParticipation
Port Macquarie - East	2011	53.7
Port Macquarie - East	2016	53.2
Port Macquarie - West	2006	43.3
Port Macquarie - West	2011	44.3
Port Macquarie - West	2016	44.7
Port Macquarie Region	2006	59.2
Port Macquarie Region	2011	57.4
Port Macquarie Region	2016	54.8
Wauchope	2006	53.1
Wauchope	2011	54
Wauchope	2016	51.6
Gloucester	2006	51
Gloucester	2011	50.6
Gloucester	2016	46.4
Old Bar - Manning Point - Red Head	2006	51.2
Old Bar - Manning Point - Red Head	2011	50.8
Old Bar - Manning Point - Red Head	2016	47.9
Taree	2006	48.4
Taree	2011	46.4
Taree	2016	44.3
Taree Region	2006	49.9
Taree Region	2011	47.2
Taree Region	2016	44.5
Wingham	2006	50.1
Wingham	2011	48.5
Wingham	2016	46.7
Albury - East	2006	66.9
Albury - East	2011	67.7
Albury - East	2016	66.1
Albury - North	2006	60.4
Albury - North	2011	59.6
Albury - North	2016	57.5
Albury - South	2006	60.8
Albury - South	2011	59.4
Albury - South	2016	57.5
Albury Region	2006	63.7
Albury Region	2011	62.8
Albury Region	2016	61
Lavington	2006	60.3
Lavington	2011	59
Lavington	2016	53.8
Hay	2006	60.7
Hay	2011	57.8
Hay	2016	55.9
Wentworth - Buronga	2006	59.9
Wentworth - Buronga	2011	57
Wentworth - Buronga	2016	52.7
Wentworth-Balranald Region	2006	62.8
Wentworth-Balranald Region	2011	60.9
Wentworth-Balranald Region	2016	58
Corowa	2006	54.6
Corowa	2011	53.8
Corowa	2016	51.3
Corowa Region	2006	55.8
Corowa Region	2011	54.8
Corowa Region	2016	51.6
Deniliquin	2006	57.4
Deniliquin	2011	54.9
Deniliquin	2016	53.2
Deniliquin Region	2006	62.3
Deniliquin Region	2011	60
Deniliquin Region	2016	56.8
Moama	2006	55.9
Moama	2011	54.2
Moama	2016	52.8
Tocumwal - Finley - Jerilderie	2006	58.2
Tocumwal - Finley - Jerilderie	2011	53.9
Tocumwal - Finley - Jerilderie	2016	50
Armidale	2006	56.5
Armidale	2011	56.5
Armidale	2016	54.7
Armidale Region - North	2006	61.5
Armidale Region - North	2011	62.7
Armidale Region - North	2016	60.2
Armidale Region - South	2006	62.4
Armidale Region - South	2011	62.3
Armidale Region - South	2016	59
Walcha	2006	62.5
Walcha	2011	61.4
Walcha	2016	57
Glen Innes	2006	51.4
Glen Innes	2011	51.6
Glen Innes	2016	47.9
Inverell	2006	54.5
Inverell	2011	53.1
Inverell	2016	52.8
Inverell Region - East	2006	52.9
Inverell Region - East	2011	52.4
Inverell Region - East	2016	47.8
Inverell Region - West	2006	54.9
Inverell Region - West	2011	53.3
Inverell Region - West	2016	51.3
Tenterfield	2006	52.7
Tenterfield	2011	50.3
Tenterfield	2016	45.8
Moree	2006	58.6
Moree	2011	56.5
Moree	2016	55.1
Moree Region	2006	67.5
Moree Region	2011	67
Moree Region	2016	62.2
Narrabri	2006	60.4
Narrabri	2011	60.7
Narrabri	2016	59.2
Narrabri Region	2006	65.3
Narrabri Region	2011	64.6
Narrabri Region	2016	58.7
Gunnedah	2006	54.9
Gunnedah	2011	56.2
Gunnedah	2016	57.1
Gunnedah Region	2006	59.5
Gunnedah Region	2011	61.2
Gunnedah Region	2016	60.7
Quirindi	2006	53.4
Quirindi	2011	54.6
Quirindi	2016	52.2
Tamworth - East	2006	61.8
Tamworth - East	2011	60.3
Tamworth - East	2016	59.2
Tamworth - North	2006	57.7
Tamworth - North	2011	57.7
Tamworth - North	2016	57.8
Tamworth - West	2006	56.3
Tamworth - West	2011	56.8
Tamworth - West	2016	54.2
Tamworth Region	2006	59
Tamworth Region	2011	60.3
