SA2_MAINCODE_2016,C16_1PF_lf_ns_Fi_1000_1499,C16_1PF_lf_ns_Fi_1500_1999,C16_1PF_lf_ns_Fi_2000_2499,C16_1PF_lf_ns_Fi_2500_2999,C16_1PF_lf_ns_Fi_3000_3999,C16_1PF_LFns_4000mo,C16_1PF_LFns_Ns,C16_1PF_LF_NS_T,C16_1PF_TFI_N,C16_1PF_TFI_1_149,C16_1PF_TFI_150_299,C16_1PF_TFI_300_399,C16_1PF_TFI_400_499,C16_1PF_TFI_500_649,C16_1PF_T_Fi_650_799,C16_1PF_T_Fi_800_999,C16_1PF_T_Fi_1000_1499,C16_1PF_T_Fi_1500_1999,C16_1PF_T_Fi_2000_2499,C16_1PF_T_Fi_2500_2999,C16_1PF_T_Fi_3000_3999,C16_1PF_TFI_4000_mr,C16_One_par_f_TFI_Ns,C16_One_parent_f_T_T,C16_TFI_N,C16_TFI_1_149,C16_TFI_150_299,C16_TFI_300_399,C16_TFI_400_499,C16_TFI_500_649,C16_TFI_650_799,C16_TFI_800_999,C16_TFI_1000_1499,C16_TFI_1500_1999,C16_TFI_2000_2499,C16_TFI_2500_2999,C16_TFI_3000_3999,C16_TFI_4000_more,C16_TFI_Ns,C16_T_T
310031293,0,0,0,0,0,0,4,11,4,3,10,24,48,102,84,91,171,84,43,23,13,3,75,776,25,13,18,33,94,149,290,270,728,599,562,351,278,137,419,3969
310031294,0,0,0,0,0,0,0,0,0,0,0,7,13,14,15,13,31,17,11,4,4,3,18,157,5,10,3,8,23,19,62,58,166,204,233,144,142,52,137,1258
310031295,0,0,0,0,0,0,6,10,4,3,11,14,20,36,37,23,36,18,7,3,3,0,29,241,6,8,9,17,43,50,101,57,130,61,58,24,14,10,72,657
310041296,0,0,0,0,0,0,3,3,11,4,9,14,31,47,55,54,110,50,46,13,7,8,44,511,23,14,20,18,60,71,152,160,506,473,563,428,476,322,352,3641
310041297,0,0,0,0,0,0,3,3,12,3,7,13,28,47,48,59,97,34,37,14,3,5,50,453,21,5,23,28,82,86,195,178,430,320,371,233,156,67,260,2447
310041298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310041299,0,0,0,0,0,0,3,4,5,0,8,12,25,56,68,65,109,39,26,12,3,3,40,476,28,10,19,19,64,85,162,161,423,337,263,168,124,51,210,2123
310041300,0,0,0,0,0,0,11,17,27,5,27,41,56,87,93,72,119,57,37,6,8,3,69,716,49,16,37,48,108,139,240,192,520,343,287,125,101,36,268,2495
310041301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310041302,0,0,0,0,0,0,5,8,28,10,35,43,86,154,184,145,236,112,55,25,13,5,98,1222,53,20,46,56,150,230,384,375,1024,764,627,277,172,56,445,4673
310041303,0,0,0,0,0,0,0,0,4,0,3,9,19,40,29,39,63,41,20,10,13,0,36,326,15,3,3,7,39,48,76,97,261,269,321,198,198,60,173,1778
310041304,4,0,0,0,0,0,5,9,8,4,8,15,22,71,69,74,179,103,47,20,6,0,50,685,24,8,18,18,46,106,160,143,647,696,749,468,441,192,410,4127
