SA4_NAME16	Year	Rent.min	TotalHouseholdIncome.min	occupied_private_dwellings_being_rented
Central Coast	2006	18375	15600	12
Central Coast	2006	18375	20800	9
Central Coast	2006	18375	26000	61
Central Coast	2006	18375	33800	41
Central Coast	2006	18375	41600	64
Central Coast	2006	18375	52000	103
Central Coast	2006	18375	65000	59
Central Coast	2006	18375	78000	131
Central Coast	2006	18375	104000	77
Central Coast	2006	18375	130000	92
Central Coast	2006	18375	156000	56
Central Coast	2006	18375	208000	5
Central Coast	2006	23625		24
Central Coast	2006	23625	-1	3
Central Coast	2006	23625	52	0
Central Coast	2006	23625	7800	0
Central Coast	2006	23625	15600	4
Central Coast	2006	23625	20800	5
Central Coast	2006	23625	26000	8
Central Coast	2006	23625	33800	3
Central Coast	2006	23625	41600	9
Central Coast	2006	23625	52000	20
Central Coast	2006	23625	65000	16
Central Coast	2006	23625	78000	22
Central Coast	2006	23625	104000	22
Central Coast	2006	23625	130000	20
Central Coast	2006	23625	156000	14
Central Coast	2006	23625	208000	0
Central Coast	2006	28875		13
Central Coast	2006	28875	-1	0
Central Coast	2006	28875	52	0
Central Coast	2006	28875	7800	8
Central Coast	2006	28875	15600	6
Central Coast	2006	28875	20800	0
Central Coast	2006	28875	26000	7
Central Coast	2006	28875	33800	0
Central Coast	2006	28875	41600	0
Central Coast	2006	28875	52000	0
Central Coast	2006	28875	65000	0
Central Coast	2006	28875	78000	4
Central Coast	2006	28875	104000	6
Central Coast	2006	28875	130000	14
Central Coast	2006	28875	156000	3
Central Coast	2006	28875	208000	0
Central Coast	2006	34125		41
Central Coast	2006	34125	-1	3
Central Coast	2006	34125	52	13
Central Coast	2006	34125	7800	30
Central Coast	2006	34125	15600	24
Central Coast	2006	34125	20800	8
Central Coast	2006	34125	26000	28
Central Coast	2006	34125	33800	8
Central Coast	2006	34125	41600	8
Central Coast	2006	34125	52000	15
Central Coast	2006	34125	65000	5
Central Coast	2006	34125	78000	13
Central Coast	2006	34125	104000	3
Central Coast	2006	34125	130000	4
Central Coast	2006	34125	156000	3
Central Coast	2006	34125	208000	0
Central Coast	2011			289
Central Coast	2011		-1	47
Central Coast	2011		52	30
Central Coast	2011		7800	74
Central Coast	2011		15600	110
Central Coast	2011		20800	84
Central Coast	2011		26000	43
Central Coast	2011		33800	87
Central Coast	2011		41600	54
Central Coast	2011		52000	43
Central Coast	2011		65000	34
Central Coast	2011		78000	36
Central Coast	2011		104000	20
Central Coast	2011		130000	15
Central Coast	2011		156000	3
Central Coast	2011		208000	5
Central Coast	2011	0		121
Central Coast	2011	0	-1	29
Central Coast	2011	0	52	57
Central Coast	2011	0	7800	184
Central Coast	2011	0	15600	255
Central Coast	2011	0	20800	114
Central Coast	2011	0	26000	83
Central Coast	2011	0	33800	99
Central Coast	2011	0	41600	82
Central Coast	2011	0	52000	77
Central Coast	2011	0	65000	59
Central Coast	2011	0	78000	76
Central Coast	2011	0	104000	34
Central Coast	2011	0	130000	39
Central Coast	2011	0	156000	15
Central Coast	2011	0	208000	5
Central Coast	2011	3937		120
Central Coast	2011	3937	-1	8
Central Coast	2011	3937	52	68
Central Coast	2011	3937	7800	323
Central Coast	2011	3937	15600	621
Central Coast	2011	3937	20800	98
Central Coast	2011	3937	26000	32
Central Coast	2011	3937	33800	61
Central Coast	2011	3937	41600	20
Central Coast	2011	3937	52000	12
Central Coast	2011	3937	65000	13
Central Coast	2011	3937	78000	7
Central Coast	2011	3937	104000	7
Central Coast	2011	3937	130000	9
Central Coast	2011	3937	156000	0
Central Coast	2011	3937	208000	0
Central Coast	2011	5250		194
Central Coast	2011	5250	-1	25
Central Coast	2011	5250	52	48
Central Coast	2011	5250	7800	243
Central Coast	2011	5250	15600	402
Central Coast	2011	5250	20800	337
Central Coast	2011	5250	26000	254
Central Coast	2011	5250	33800	185
Central Coast	2011	5250	41600	102
Central Coast	2011	5250	52000	55
Central Coast	2011	5250	65000	26
Central Coast	2011	5250	78000	38
Central Coast	2011	5250	104000	10
Central Coast	2011	5250	130000	7
Central Coast	2011	5250	156000	7
Central Coast	2011	5250	208000	0
Central Coast	2011	7875		213
Central Coast	2011	7875	-1	28
Central Coast	2011	7875	52	61
Central Coast	2011	7875	7800	305
Central Coast	2011	7875	15600	441
Central Coast	2011	7875	20800	555
Central Coast	2011	7875	26000	213
Central Coast	2011	7875	33800	425
