SA4_NAME16	Year	EduInstitutionType	students
Sydney - South West	2011	University or other tertiary	13780
Sydney - South West	2016		32609
Sydney - South West	2016	Infants/Primary	35724
Sydney - South West	2016	Pre-school	6241
Sydney - South West	2016	Secondary	30989
Sydney - South West	2016	Technical or Further Educational Institution	8678
Sydney - South West	2016	University or other tertiary	19213
Sydney - Sutherland	2006		13949
Sydney - Sutherland	2006	Infants/Primary	17072
Sydney - Sutherland	2006	Pre-school	4130
Sydney - Sutherland	2006	Secondary	14564
Sydney - Sutherland	2006	Technical or Further Educational Institution	5060
Sydney - Sutherland	2006	University or other tertiary	6979
Sydney - Sutherland	2011		11418
Sydney - Sutherland	2011	Infants/Primary	17398
Sydney - Sutherland	2011	Pre-school	4431
Sydney - Sutherland	2011	Secondary	14043
Sydney - Sutherland	2011	Technical or Further Educational Institution	4813
Sydney - Sutherland	2011	University or other tertiary	8818
Sydney - Sutherland	2016		10644
Sydney - Sutherland	2016	Infants/Primary	18907
Sydney - Sutherland	2016	Pre-school	4448
Sydney - Sutherland	2016	Secondary	14680
Sydney - Sutherland	2016	Technical or Further Educational Institution	3790
Sydney - Sutherland	2016	University or other tertiary	9502
Migratory - Offshore - Shipping (NSW)	2006		3
Migratory - Offshore - Shipping (NSW)	2006	Infants/Primary	0
Migratory - Offshore - Shipping (NSW)	2006	Pre-school	0
Migratory - Offshore - Shipping (NSW)	2006	Secondary	0
Migratory - Offshore - Shipping (NSW)	2006	Technical or Further Educational Institution	0
Migratory - Offshore - Shipping (NSW)	2006	University or other tertiary	3
Migratory - Offshore - Shipping (NSW)	2011		11
Migratory - Offshore - Shipping (NSW)	2011	Infants/Primary	3
Migratory - Offshore - Shipping (NSW)	2011	Pre-school	0
Migratory - Offshore - Shipping (NSW)	2011	Secondary	0
Migratory - Offshore - Shipping (NSW)	2011	Technical or Further Educational Institution	0
Migratory - Offshore - Shipping (NSW)	2011	University or other tertiary	0
Migratory - Offshore - Shipping (NSW)	2016		53
Migratory - Offshore - Shipping (NSW)	2016	Infants/Primary	10
Migratory - Offshore - Shipping (NSW)	2016	Pre-school	0
Migratory - Offshore - Shipping (NSW)	2016	Secondary	16
Migratory - Offshore - Shipping (NSW)	2016	Technical or Further Educational Institution	3
Migratory - Offshore - Shipping (NSW)	2016	University or other tertiary	7
No usual address (NSW)	2006		1420
No usual address (NSW)	2006	Infants/Primary	311
No usual address (NSW)	2006	Pre-school	52
No usual address (NSW)	2006	Secondary	177
No usual address (NSW)	2006	Technical or Further Educational Institution	239
No usual address (NSW)	2006	University or other tertiary	412
No usual address (NSW)	2011		2943
No usual address (NSW)	2011	Infants/Primary	371
No usual address (NSW)	2011	Pre-school	76
No usual address (NSW)	2011	Secondary	300
No usual address (NSW)	2011	Technical or Further Educational Institution	306
No usual address (NSW)	2011	University or other tertiary	488
No usual address (NSW)	2016		3489
No usual address (NSW)	2016	Infants/Primary	243
No usual address (NSW)	2016	Pre-school	49
No usual address (NSW)	2016	Secondary	134
No usual address (NSW)	2016	Technical or Further Educational Institution	217
No usual address (NSW)	2016	University or other tertiary	461
Ballarat	2006		11056
Ballarat	2006	Infants/Primary	11820
Ballarat	2006	Pre-school	2103
Ballarat	2006	Secondary	10105
Ballarat	2006	Technical or Further Educational Institution	2395
Ballarat	2006	University or other tertiary	4655
Ballarat	2011		10797
Ballarat	2011	Infants/Primary	11632
Ballarat	2011	Pre-school	2488
Ballarat	2011	Secondary	10096
Ballarat	2011	Technical or Further Educational Institution	2543
Ballarat	2011	University or other tertiary	5945
Ballarat	2016		13358
Ballarat	2016	Infants/Primary	12965
Ballarat	2016	Pre-school	2496
Ballarat	2016	Secondary	9827
Ballarat	2016	Technical or Further Educational Institution	2069
Ballarat	2016	University or other tertiary	6236
Bendigo	2006		10697
Bendigo	2006	Infants/Primary	11860
Bendigo	2006	Pre-school	2038
Bendigo	2006	Secondary	9703
Bendigo	2006	Technical or Further Educational Institution	2377
Bendigo	2006	University or other tertiary	3939
Bendigo	2011		10424
Bendigo	2011	Infants/Primary	11320
Bendigo	2011	Pre-school	2256
Bendigo	2011	Secondary	9463
Bendigo	2011	Technical or Further Educational Institution	3050
Bendigo	2011	University or other tertiary	4670
Bendigo	2016		14307
Bendigo	2016	Infants/Primary	12332
Bendigo	2016	Pre-school	2374
Bendigo	2016	Secondary	9530
Bendigo	2016	Technical or Further Educational Institution	2414
Bendigo	2016	University or other tertiary	4826
Geelong	2006		17745
Geelong	2006	Infants/Primary	19638
Geelong	2006	Pre-school	3959
Geelong	2006	Secondary	16484
Geelong	2006	Technical or Further Educational Institution	4785
Geelong	2006	University or other tertiary	6690
Geelong	2011		17209
Geelong	2011	Infants/Primary	20172
Geelong	2011	Pre-school	4212
Geelong	2011	Secondary	17002
Geelong	2011	Technical or Further Educational Institution	5674
Geelong	2011	University or other tertiary	8857
Geelong	2016		21701
Geelong	2016	Infants/Primary	22748
Geelong	2016	Pre-school	4612
Geelong	2016	Secondary	17911
Geelong	2016	Technical or Further Educational Institution	4735
Geelong	2016	University or other tertiary	11972
Hume	2006		11267
Hume	2006	Infants/Primary	13720
Hume	2006	Pre-school	2346
Hume	2006	Secondary	11626
Hume	2006	Technical or Further Educational Institution	3459
